Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2s^22p^4	^3P	2	5.0	0.00000	0			L13237
2s^22p^4	^3P	1	3.0	0.13716	0.00012			
2s^22p^4	^3P	0	1.0	0.19540	0.00012			
2s^22p^4	^1D	2	5.0	3.82365	0.00012			
2s^22p^4	^1S	0	1.0	8.24445	0.00025			
2s2p^5	^3P°	2	5.0	30.21271	0.00012		99	
2s2p^5	^3P°	1	3.0	30.33740	0.00012		99	
2s2p^5	^3P°	0	1.0	30.40574	0.00012		99	
2s2p^5	^1P°	1	3.0	42.61188	0.00025		99	
2s^22p^3(^4S°)3s	^3S°	1	3.0	60.3369	0.0012		100	
2s^22p^3(^2D°)3s	^3D°	3	7.0	65.1022	0.0012		100	
2s^22p^3(^2D°)3s	^3D°	2	5.0	65.1062	0.0012		100	
2s^22p^3(^2D°)3s	^3D°	1	3.0	65.1089	0.0012		100	
2s^22p^3(^2D°)3s	^1D°	2	5.0	65.8864	0.0012		99	
2s^22p^3(^4S°)3p	^3P	1	3.0	66.4753	0.0012		94	
2s^22p^3(^4S°)3p	^3P	2	5.0	66.4777	0.0012		94	
2s^22p^3(^4S°)3p	^3P	0	1.0	66.4785	0.0012		94	
2s^22p^3(^2P°)3s	^3P°	1	3.0	68.2108	0.0012		99	
2s^22p^3(^2P°)3s	^3P°	0	1.0	68.2109?	0.0012		99	
2s^22p^3(^2P°)3s	^3P°	2	5.0	68.2144	0.0012		99	
2s^22p^3(^2P°)3s	^1P°	1	3.0	69.0339	0.0012		99	
2p^6	^1S	0	1.0	70.77303	0.00025			
2s^22p^3(^2D°)3p	^3D	1	3.0	70.9660	0.0012		92	
2s^22p^3(^2D°)3p	^3D	2	5.0	70.9678	0.0012		94	
2s^22p^3(^2D°)3p	^3D	3	7.0	70.9867	0.0012		95	
2s^22p^3(^2D°)3p	^3F	2	5.0	71.3861	0.0012		99	
2s^22p^3(^2D°)3p	^3F	3	7.0	71.3927	0.0012		99	
2s^22p^3(^2D°)3p	^3F	4	9.0	71.4008	0.0012		100	
2s^22p^3(^2D°)3p	^1F	3	7.0	71.6359	0.0012		100	
2s^22p^3(^4S°)3d	^3D°	1	3.0	73.7567	0.0012		99	
2s^22p^3(^4S°)3d	^3D°	2	5.0	73.7581	0.0012		99	
2s^22p^3(^4S°)3d	^3D°	3	7.0	73.7624	0.0012		99	
2s^22p^3(^2D°)3p	^1D	2	5.0	73.9664	0.0012		96	
2s^22p^3(^2P°)3p	^3D	3	7.0	74.4537	0.0012		95	
2s^22p^3(^2P°)3p	^3D	2	5.0	74.4567	0.0012		94	
2s^22p^3(^2P°)3p	^3D	1	3.0	74.4609	0.0012		94	
2s^22p^3(^2P°)3p	^1P	1	3.0	75.2375?	0.0012		75	
2s^22p^3(^2P°)3p	^1D	2	5.0	75.9541?	0.0012		98	
2s^22p^3(^2D°)3d	^3F°	2	5.0	78.8001	0.0012		97	
2s^22p^3(^2D°)3d	^3F°	3	7.0	78.8137	0.0012		97	
2s^22p^3(^2D°)3d	^3F°	4	9.0	78.8313	0.0012		98	
2s^22p^3(^2D°)3d	^3G°	5	11.0	79.0610	0.0012		100	
2s^22p^3(^2D°)3d	^3G°	4	9.0	79.0654	0.0012		99	
2s^22p^3(^2D°)3d	^3G°	3	7.0	79.0682	0.0012		99	
2s^22p^3(^2D°)3d	^1G°	4	9.0	79.1253	0.0012		99	
2s^22p^3(^2D°)3d	^3D°	3	7.0	79.2042	0.0012		98	
2s^22p^3(^2D°)3d	^3D°	2	5.0	79.2188	0.0012		99	
2s^22p^3(^2D°)3d	^3D°	1	3.0	79.2268	0.0012		99	
2s^22p^3(^2D°)3d	^1P°	1	3.0	79.4978	0.0012		95	
2s^22p^3(^2D°)3d	^3P°	2	5.0	79.7283	0.0012		97	
2s^22p^3(^2D°)3d	^3P°	1	3.0	79.7604	0.0012		95	
2s^22p^3(^2D°)3d	^3P°	0	1.0	79.7739?	0.0012		98	
2s^22p^3(^2D°)3d	^1D°	2	5.0	79.7994	0.0012		94	
2s^22p^3(^2D°)3d	^3S°	1	3.0	79.8664	0.0012		97	
2s^22p^3(^4S°)4s	^3S°	1	3.0	79.9474	0.0012			
2s^22p^3(^2D°)3d	^1F°	3	7.0	80.1458	0.0012		100	
2s^22p^3(^2P°)3d	^3P°	0	1.0	82.2185?	0.0012		99	
2s^22p^3(^2P°)3d	^3F°	4	9.0	82.2202	0.0012		98	
2s^22p^3(^2P°)3d	^3F°	3	7.0	82.2234	0.0012		98	
2s^22p^3(^2P°)3d	^3F°	2	5.0	82.2279	0.0012		96	
2s^22p^3(^2P°)3d	^3P°	1	3.0	82.2646	0.0012		99	
2s^22p^3(^2P°)3d	^3P°	2	5.0	82.2788	0.0012		98	
2s^22p^3(^2P°)3d	^1D°	2	5.0	82.4045	0.0012		86	
2s^22p^3(^2P°)3d	^3D°	3	7.0	82.4921	0.0012		98	
2s^22p^3(^2P°)3d	^3D°	2	5.0	82.4954	0.0012		91	
2s^22p^3(^2P°)3d	^3D°	1	3.0	82.4991	0.0012		99	
2s^22p^3(^2P°)3d	^1F°	3	7.0	82.7523	0.0012		100	
2s^22p^3(^2P°)3d	^1P°	1	3.0	83.4587	0.0012		98	
2s^22p^3(^4S°)4d	^3D°	2	5.0	84.8828	0.0012			
2s^22p^3(^4S°)4d	^3D°	3	7.0	84.8833	0.0012			
2s^22p^3(^4S°)4d	^3D°	1	3.0	84.8845	0.0012			
2s^22p^3(^2D°)4s	^3D°	3	7.0	85.5185	0.0012			
2s^22p^3(^2D°)4s	^3D°	2	5.0	85.5229	0.0012			
2s^22p^3(^2D°)4s	^3D°	1	3.0	85.5253	0.0012			
2s^22p^3(^2D°)4s	^1D°	2	5.0	85.7699	0.0012			
2s^22p^3(^2P°)4s	^3P°	0	1.0	88.5827?	0.0012			
2s^22p^3(^2P°)4s	^3P°	1	3.0	88.5827	0.0012			
2s^22p^3(^2P°)4s	^3P°	2	5.0	88.5846	0.0012			
2s^22p^3(^2P°)4s	^1P°	1	3.0	88.8358	0.0012			
2s^22p^3(^2D°)4d	^3D°	3	7.0	90.5955	0.0012			
2s^22p^3(^2D°)4d	^3D°	2	5.0	90.5987	0.0012			
2s^22p^3(^2D°)4d	^3D°	1	3.0	90.6005	0.0012			
2s^22p^3(^2D°)4d	^1P°	1	3.0	90.7173	0.0012			
2s^22p^3(^2D°)4d	^3P°	2	5.0	90.7967	0.0012			
2s^22p^3(^2D°)4d	^3P°	1	3.0	90.7993	0.0012			
2s^22p^3(^2D°)4d	^3S°	1	3.0	90.8778	0.0012			
2s^22p^3(^2D°)4d	^1D°	2	5.0	90.9161	0.0012			
2s^22p^3(^2D°)4d	^1F°	3	7.0	90.9944	0.0012			
2s^22p^3(^2P°)4d	^1D°	2	5.0	93.7054	0.0012			
2s^22p^3(^2P°)4d	^1F°	3	7.0	93.8554	0.0012			
