Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2p^63s	^2S	^1/_2	2.0	0.000000000	0			L13237
2p^63p	^2P°	^1/_2	2.0	2.102297177	0.000000005			
2p^63p	^2P°	^3/_2	4.0	2.104429202	0.000000006			
2p^64s	^2S	^1/_2	2.0	3.1913531	0.0000004			
2p^63d	^2D	^5/_2	6.0	3.61697081	0.00000025			
2p^63d	^2D	^3/_2	4.0	3.61697701	0.00000025			
2p^64p	^2P°	^1/_2	2.0	3.7526285	0.0000025			
2p^64p	^2P°	^3/_2	4.0	3.7533216	0.0000025			
2p^65s	^2S	^1/_2	2.0	4.11635883	0.00000025			
2p^64d	^2D	^5/_2	6.0	4.28349647	0.00000025			
2p^64d	^2D	^3/_2	4.0	4.28350081	0.00000025			
2p^64f	^2F°	^7/_2	8.0	4.2882316	0.0000025			
2p^64f	^2F°	^5/_2	6.0	4.2882316	0.0000025			
2p^65p	^2P°	^1/_2	2.0	4.3444534	0.0000025			
2p^65p	^2P°	^3/_2	4.0	4.3447597	0.0000025			
2p^66s	^2S	^1/_2	2.0	4.50962989	0.00000025			
2p^65d	^2D	^5/_2	6.0	4.59197201	0.00000025			
2p^65d	^2D	^3/_2	4.0	4.59197449	0.00000025			
2p^65f	^2F°	^7/_2	8.0	4.5945630	0.0000025			
2p^65f	^2F°	^5/_2	6.0	4.5945630	0.0000025			
2p^65g	^2G	^7/_2,^9/_2	18.0	4.594797	0.000009			
2p^66p	^2P°	^1/_2	2.0	4.6241543	0.0000025			
2p^66p	^2P°	^3/_2	4.0	4.6243143	0.0000025			
2p^67s	^2S	^1/_2	2.0	4.71289256	0.00000025			
2p^66d	^2D	^5/_2	6.0	4.75941304	0.00000025			
2p^66d	^2D	^3/_2	4.0	4.75941465	0.00000025			
2p^66f	^2F°	^7/_2	8.0	4.7609672	0.0000025			
2p^66f	^2F°	^5/_2	6.0	4.7609672	0.0000025			
2p^66g	^2G	^7/_2	8.0	[4.76110481]	0.00000025			
2p^66g	^2G	^9/_2	10.0	[4.76110530]	0.00000025			
2p^66h	^2H°	^11/_2	12.0	[4.76113543]	0.00000025			
