Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^3	^4F	^3/_2	4.0	0.000000	0		99	L9419
4d^3	^4F	^5/_2	6.0	0.063970			100	L9419
4d^3	^4F	^7/_2	8.0	0.145875			100	L9419
4d^3	^4F	^9/_2	10.0	0.240409			99	L9419
4d^3	^4P	^3/_2	4.0	1.067122			74	L9419
4d^3	^4P	^1/_2	2.0	1.074283			87	L9419
4d^3	^2G	^7/_2	8.0	1.145061			99	L9419
4d^3	^4P	^5/_2	6.0	1.189493			99	L9419
4d^3	^2G	^9/_2	10.0	1.215639			90	L9419
4d^3	^2P	^1/_2	2.0	1.324781			83	L9419
4d^3	^2P	^3/_2	4.0	1.352873			50	L9419
4d^3	^2H	^9/_2	10.0	1.601379			91	L9419
4d^3	^2D2	^3/_2	4.0	1.607910			54	L9419
4d^3	^2D2	^5/_2	6.0	1.623416			77	L9419
4d^3	^2H	^11/_2	12.0	1.644437			100	L9419
4d^3	^2F	^7/_2	8.0	2.462375			94	L9419
4d^3	^2F	^5/_2	6.0	2.476524			92	L9419
4d^2(^3F)5s	^4F	^3/_2	4.0	3.126874			99	L9419
4d^2(^3F)5s	^4F	^5/_2	6.0	3.190735			99	L9419
4d^2(^3F)5s	^4F	^7/_2	8.0	3.281052			100	L9419
4d^2(^3F)5s	^4F	^9/_2	10.0	3.393844			100	L9419
4d^3	^2D1	^5/_2	6.0	3.929638			75	L9419
4d^3	^2D1	^3/_2	4.0	3.964177			73	L9419
4d^2(^3F)5s	^2F	^5/_2	6.0	4.172980			84	L9419
4d^2(^3P)5s	^4P	^1/_2	2.0	4.279239			100	L9419
4d^2(^3P)5s	^4P	^3/_2	4.0	4.315543			96	L9419
4d^2(^3P)5s	^4P	^5/_2	6.0	4.338179			79	L9419
4d^2(^3F)5s	^3F	^7/_2	8.0	4.349260			93	L9419
4d^2(^1D)5s	^2D	^3/_2	4.0	4.529804			91	L9419
4d^2(^1D)5s	^2D	^5/_2	6.0	4.601630			75	L9419
4d^2(^1G)5s	^2G	^9/_2	10.0	5.067811			99	L9419
4d^2(^1G)5s	^2G	^7/_2	8.0	5.076281			98	L9419
4d^2(^3P)5s	^2P	^1/_2	2.0	5.352999			95	L9419
4d^2(^3P)5s	^2P	^3/_2	4.0	5.445578			94	L9419
4d^2(^1S)5s	^2S	^1/_2	2.0	[7.25]			99	L9419
4d^2(^3F)5p	^4G°	^5/_2	6.0	7.896101			83	L9419
4d^2(^3F)5p	^4G°	^7/_2	8.0	8.059698			92	L9419
4d^2(^3F)5p	^4F°	^3/_2	4.0	8.170979			72	L9419
4d^2(^3F)5p	^4G°	^9/_2	10.0	8.239376			97	L9419
4d^2(^3F)5p	^4F°	^5/_2	6.0	8.257093			56	L9419
4d^2(^3F)5p	^2F°	^5/_2	6.0	8.318482			38	L9419
4d^2(^3F)5p	^2D°	^3/_2	4.0	8.402913			49	L9419
4d^2(^3F)5p	^4F°	^7/_2	8.0	8.414459			94	L9419
4d^2(^3F)5p	^4G°	^11/_2	12.0	8.438389			100	L9419
4d^2(^3F)5p	^2F°	^7/_2	8.0	8.478315			72	L9419
4d^2(^3F)5p	^4F°	^9/_2	10.0	8.528420			90	L9419
4d^2(^3F)5p	^2D°	^5/_2	6.0	8.568476			36	L9419
4d^2(^3F)5p	^4D°	^1/_2	2.0	8.577612			85	L9419
4d^2(^3F)5p	^4D°	^3/_2	4.0	8.638367			76	L9419
4d^2(^3F)5p	^4D°	^5/_2	6.0	8.713669			61	L9419
4d5s^2	^2D	^3/_2	4.0	8.720686			97	L9419
4d^2(^3F)5p	^4D°	^7/_2	8.0	8.751763			77	L9419
4d^2(^3P)5p	^2S°	^1/_2	2.0	8.828752			94	L9419
4d^2(^3F)5p	^2G°	^7/_2	8.0	8.871291			80	L9419
4d5s^2	^2D	^5/_2	6.0	8.924881			97	L9419
4d^2(^3F)5p	^2G°	^9/_2	10.0	9.012368			75	L9419
4d^2(^1D)5p	^2P°	^3/_2	4.0	9.131001			41	L9419
4d^2(^3P)5p	^4D°	^1/_2	2.0	9.264936			86	L9419
4d^2(^3P)5p	^4S°	^3/_2	4.0	9.287250			41	L9419
4d^2(^3P)5p	^4D°	^3/_2	4.0	9.346358			63	L9419
4d^2(^1D)5p	^2F°	^5/_2	6.0	9.357445			48	L9419
4d^2(^1D)5p	^2P°	^1/_2	2.0	9.421289			88	L9419
