Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^4	^5D	0	1.0	0.0000000	0	0		L11823
4d^4	^5D	1	3.0	0.0197115		1.500		L11823
4d^4	^5D	2	5.0	0.0543498		1.490		L11823
4d^4	^5D	3	7.0	0.0993518		1.486		L11823
4d^4	^5D	4	9.0	0.1518587		1.495		L11823
4d^3(^4F)5s	^5F	1	3.0	0.2922079		0.000		L11823
4d^3(^4F)5s	^5F	2	5.0	0.3259708		0.996		L11823
4d^3(^4F)5s	^5F	3	7.0	0.3756261		1.248		L11823
4d^3(^4F)5s	^5F	4	9.0	0.4392216		1.350		L11823
4d^3(^4F)5s	^5F	5	11.0	0.5140431		1.390		L11823
4d^4	^3P2	0	1.0	0.6896300		0		L11823
4d^4	^3P2	1	3.0	0.7677486		1.495		L11823
4d^4	^3P2	2	5.0	0.9002894		1.450		L11823
4d^4	^3F2	2	5.0	0.9305963		0.712		L11823
4d^4	^3F2	3	7.0	0.9795550		1.070		L11823
4d^4	^3F2	4	9.0	1.0315948		1.230		L11823
4d^4	^3H	4	9.0	1.1790406		0.825		L11823
4d^4	^3H	5	11.0	1.2165890		1.050		L11823
4d^4	^3H	6	13.0	1.2629514		1.157		L11823
4d^4	^3G	3	7.0	1.2704605		0.765		L11823
4d^4	^3G	4	9.0	1.3147568		1.052		L11823
4d^3(^4P)5s	^5P	1	3.0	1.3208566		2.477		L11823
4d^3(^4P)5s	^5P	2	5.0	1.3434726		1.815		L11823
4d^4	^3G	5	11.0	1.3537182		1.180		L11823
4d^3(^4P)5s	^5P	3	7.0	1.4059300		1.663		L11823
4d^4	^1D2	2	5.0	1.5204456		1.003		L11823
4d^4	^3D	2	5.0	1.5877373		0.849		L11823
4d^4	^3D	3	7.0	1.6185760		1.246		L11823
4d^4	^3D	1	3.0	1.6264902		0.512		L11823
4d^3(^4F)5s	^3F	2	5.0	1.6712400		1.002		L11823
4d^3(^4F)5s	^3F	4	9.0	1.6943291		1.152		L11823
4d^3(^4F)5s	^3F	3	7.0	1.6973719		1.150		L11823
4d^3(^2P)5s	^3P	1	3.0	1.8134176		1.504		L11823
4d^3(^2P)5s	^3P	2	5.0	1.8177020		1.483		L11823
4d^3(^2P)5s	^3P	0	1.0	1.8198795		0		L11823
4d^4	^1G2	4	9.0	1.8338199		1.083		L11823
4d^4	^1I	6	13.0	1.9088518		1.000		L11823
4d^3(^2G)5s	^3G	3	7.0	1.9281095		0.767		L11823
4d^3(^2G)5s	^3G	4	9.0	1.9774699		1.027		L11823
4d^3(^2G)5s	^3G	5	11.0	1.9902777		1.190		L11823
4d^3(^2G)5s	^1G	4	9.0	2.0108919		0.950		L11823
4d^4	^1S2	0	1.0	2.1328352		0		L11823
4d^3(^2H)5s	^3H	5	11.0	2.1439941		1.052		L11823
4d^3(^2H)5s	^3H	6	13.0	2.1604109		1.154		L11823
4d^3(^2H)5s	^3H	4	9.0	2.1659754		0.880		L11823
4d^4	^1F	3	7.0	2.2946986		1.007		L11823
4d^3(^2D2)5s	^3D	1	3.0	2.3333231		0.681		L11823
4d^3(^2D2)5s	^3D	2	5.0	2.3993358		1.171		L11823
4d^3(^2D2)5s	^3D	3	7.0	2.4411792		1.312		L11823
4d^3(^4P)5s	^3P	0	1.0	2.5227681		0		L11823
4d^3(^4P)5s	^3P	1	3.0	2.5339274		1.115		L11823
4d^25s^2	^3F	2	5.0	2.5612377		0.670		L11823
4d^3(^2P)5s	^1P	1	3.0	2.6085691		1.218		L11823
4d^3(^2H)5s	^1H	5	11.0	2.6127167		0.992		L11823
4d^25s^2	^3F	3	7.0	2.6182258		1.080		L11823
4d^25s^2	^3F	4	9.0	2.6622466		1.240		L11823
4d^3(^4P)5s	^3P	2	5.0	2.6670707		1.468		L11823
4d^3(^2D2)5s	^1D	2	5.0	3.0168817		0.98		L11823
4d^3(^2F)5s	^3F	3	7.0	3.1434362		0.93		L11823
4d^3(^2F)5s	^3F	4	9.0	3.1439034				L11823
4d^3(^2F)5s	^3F	2	5.0	3.1509473		0.71		L11823
4d^4	^3P1	2	5.0	3.3825504		1.49		L11823
4d^4	^3P1	1	3.0	3.4460195		1.49		L11823
4d^4	^3P1	0	1.0	3.4717176		0		L11823
4d^4	^3F1	2	5.0	3.5961464				L11823
4d^4	^3F1	3	7.0	3.6491226				L11823
4d^4	^1G1	4	9.0	3.6741650		1.087		L11823
4d^4	^3F1	4	9.0	3.7435408				L11823
4d^25s^2	^1D	2	5.0	3.8515344		1.01		L11823
4d^3(^2F)5s	^1F	3	7.0	3.9380105		1.01		L11823
4d^3(^4F)5p	^5G°	2	5.0	4.1350082		0.345		L11823
4d^3(^4F)5p	^5G°	3	7.0	4.2054503		0.913		L11823
4d^3(^4F)5p	^5G°	4	9.0	4.2938249		1.152		L11823
4d^3(^4F)5p	^3D°	1	3.0	4.3253566		0.420		L11823
4d^3(^4F)5p	^5G°	5	11.0	4.3982399		1.250		L11823
4d^3(^4F)5p	^3D°	2	5.0	4.4040206		1.138		L11823
4d^3(^4F)5p	^5G°	6	13.0	4.5199006		1.31		L11823
4d^3(^4F)5p	^3D°	3	7.0	4.5320239		1.311		L11823
4d^3(^4F)5p	^5F°	1	3.0	4.5541634		0.122		L11823
4d^3(^4F)5p	^5F°	2	5.0	4.5827999		1.023		L11823
4d^3(^4F)5p	^5D°	0	1.0	4.6243926		0		L11823
4d^3(^4F)5p	^5F°	3	7.0	4.6341451		1.266		L11823
4d^3(^4F)5p	^5D°	1	3.0	4.6469372		1.460		L11823
4d^3(^4F)5p	^5F°	4	9.0	4.6529264		1.325		L11823
4d^3(^4F)5p	^5D°	2	5.0	4.6862699		1.469		L11823
4d^3(^4F)5p	^5F°	5	11.0	4.7144168		1.357		L11823
4d^3(^4F)5p	^5D°	3	7.0	4.7382281		1.466		L11823
4d^3(^4F)5p	^5D°	4	9.0	4.7475102		1.473		L11823
4d^3(^4F)5p	^3G°	3	7.0	4.7963238		0.764		L11823
4d^3(^4F)5p	^3F°	2	5.0	4.8334480		0.691		L11823
4d^3(^4F)5p	^3G°	4	9.0	4.8769519		1.072		L11823
4d^3(^4F)5p	^3F°	3	7.0	4.9320814		1.088		L11823
4d^3(^4F)5p	^3G°	5	11.0	4.9722133		1.234		L11823
4d^3(^4F)5p	^3F°	4	9.0	5.0289253		1.260		L11823
4d^3(^4P)5p	^3P°	2	5.0	5.1713986		1.312		L11823
4d^3(^4P)5p	^3P°	1	3.0	5.2237823		1.385		L11823
4d^3(^4P)5p	^5D°	0	1.0	5.2812996		0		L11823
4d^3(^2G)5p	^3H°	4	9.0	5.3150630		0.810		L11823
4d^3(^4P)5p	^5D°	2	5.0	5.3673179		1.227		L11823
4d^3(^4P)5p	^5P°	1	3.0	5.3871123		2.255		L11823
4d^3(^2G)5p	^3H°	5	11.0	5.4017314		1.040		L11823
4d^3(^2P)5p	^1D°	2	5.0	5.4079912		1.347		L11823
4d^3(^2P)5p	^3D°	1	3.0	5.4118102		0.980		L11823
4d^3(^4P)5p	^5D°	3	7.0	5.4413042		1.447		L11823
4d^3(^4P)5p	^5D°	1	3.0	5.4635701		1.230		L11823
4d^3(^4P)5p	^5P°	2	5.0	5.4834255		1.745		L11823
4d^3(^4P)5p	^3P°	0	1.0	5.4907573		0		L11823
4d^3(^2G)5p	^3H°	6	13.0	5.5213070		1.167		L11823
4d^3(^2G)5p	^1F°	3	7.0	5.5344999		1.035		L11823
4d^3(^4P)5p	^5P°	3	7.0	5.5509574		1.562		L11823
4d^3(^2P)5p	^3D°	2	5.0	5.5699409		1.253		L11823
4d^3(^4P)5p	^5D°	4	9.0	5.5756577		1.480		L11823
4d^3(^2P)5p	^3P°	0	1.0	5.6048845		0		L11823
4d^3(^2G)5p	^1H°	5	11.0	5.6217208		1.018		L11823
4d^3(^2P)5p	^3P°	1	3.0	5.6257793		1.765		L11823
4d^3(^2G)5p	^3F°	4	9.0	5.6563943		1.126		L11823
