Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4d^2	^3F	2	5.0	0.000000	0.000025		99	L12094
4d^2	^3F	3	7.0	0.134760	0.000025		100	L12094
4d^2	^3F	4	9.0	0.29079	0.00003		100	L12094
4d^2	^1D	2	5.0	1.037641	0.000022		84	L12094
4d^2	^3P	0	1.0	1.20186	0.00004		99	L12094
4d^2	^3P	1	3.0	1.25534	0.00003		100	L12094
4d^2	^3P	2	5.0	1.378727	0.000021		86	L12094
4d^2	^1G	4	9.0	1.711421	0.000025		100	L12094
4d^2	^1S	0	1.0	3.93436	0.00003		98	L12094
4d5s	^3D	1	3.0	6.455196	0.000007		100	L12094
4d5s	^3D	2	5.0	6.525283	0.000006		98	L12094
4d5s	^3D	3	7.0	6.671648	0.000010		100	L12094
4d5s	^1D	2	5.0	7.261343	0.000006		96	L12094
4d5p	^1D°	2	5.0	12.034084	0.000007		57	L12094
4d5p	^3D°	1	3.0	12.273527	0.000007		94	L12094
4d5p	^3F°	2	5.0	12.364332	0.000006		42	L12094
4d5p	^3F°	3	7.0	12.446315	0.000007		80	L12094
4d5p	^3D°	2	5.0	12.446853	0.000009		77	L12094
4d5p	^3D°	3	7.0	12.618934	0.000007		77	L12094
4d5p	^3F°	4	9.0	12.769813	0.000014		100	L12094
4d5p	^3P°	1	3.0	13.014254	0.000007		86	L12094
4d5p	^3P°	0	1.0	13.052360	0.000010		100	L12094
4d5p	^3P°	2	5.0	13.121065	0.000007		94	L12094
4d5p	^1F°	3	7.0	13.374499	0.000009		95	L12094
4d5p	^1P°	1	3.0	13.528897	0.000007		83	L12094
5s^2	^1S	0	1.0	14.496420	0.000020		96	L12094
5s5p	^3P°	0	1.0	19.48615	0.00003		99	L12094
5s5p	^3P°	1	3.0	19.607760	0.000012		99	L12094
5s5p	^3P°	2	5.0	19.885982	0.000020		99	L12094
4d5d	^1F	3	7.0	20.4285404	0.0000025		82	L12094
4d5d	^3D	1	3.0	20.4913384	0.0000025		85	L12094
4d5d	^3D	2	5.0	20.5802586	0.0000025		98	L12094
4d5d	^3G	3	7.0	20.6173200	0.0000025		83	L12094
4d5d	^3D	3	7.0	20.7010614	0.0000025		78	L12094
4d5d	^3G	4	9.0	20.708720	0.000004		98	L12094
4d5d	^1P	1	3.0	20.7571320	0.0000025		78	L12094
4d5d	^3G	5	11.0	20.857627	0.000005		100	L12094
4d5d	^3F	2	5.0	20.9780012	0.0000025		94	L12094
4d5d	^3S	1	3.0	21.049502	0.000004		89	L12094
4d5d	^3F	3	7.0	21.091536	0.000004		97	L12094
4d5d	^3F	4	9.0	21.184436	0.000004		98	L12094
4d5d	^1D	2	5.0	21.351998	0.000009		75	L12094
4d5d	^3P	0	1.0	21.386770	0.000015		96	L12094
4d5d	^3P	1	3.0	21.457453	0.000014		95	L12094
4d5d	^3P	2	5.0	21.540116	0.000005		80	L12094
4d5d	^1G	4	9.0	21.580850	0.000012		97	L12094
4d(^2D_3/2)6s	^2[^3/_2]	1	3.0	21.633343	0.000015		100 | or	L12094
4d(^2D_3/2)6s	^2[^3/_2]	2	5.0	21.670460	0.000005		94 | or	L12094
4d(^2D_5/2)6s	^2[^5/_2]	3	7.0	21.861157	0.000022		100 | or	L12094
4d(^2D_5/2)6s	^2[^5/_2]	2	5.0	21.950339	0.000015		94 | or	L12094
5s5p	^1P°	1	3.0	22.009853	0.000010		79	L12094
4d5d	^1S	0	1.0	22.16422?	0.00003		93	L12094
4d4f	^1G°	4	9.0	22.297137	0.000010		85 | or	L12094
4d4f	^3F°	2	5.0	22.462395	0.000012		87 | or	L12094
4d4f	^3H°	4	9.0	22.473949	0.000009		88 | or	L12094
4d4f	^3F°	3	7.0	22.507593	0.000010		95 | or	L12094
4d4f	^3H°	5	11.0	22.541495	0.000010		98 | or	L12094
4d4f	^3F°	4	9.0	22.586240	0.000009		87 | or	L12094
4d4f	^3H°	6	13.0	22.657732	0.000010		100 | or	L12094
4d4f	^1D°	2	5.0	22.719067	0.000020		86 | or	L12094
4d4f	^3G°	3	7.0	22.858830	0.000006		90 | or	L12094
4d4f	^3G°	4	9.0	22.963835	0.000009		94 | or	L12094
4d4f	^3G°	5	11.0	23.031234	0.000011		96 | or	L12094
4d4f	^3D°	1	3.0	23.107006	0.000007		87 | or	L12094
4d4f	^3D°	2	5.0	23.111860	0.000016		79 | or	L12094
4d4f	^3D°	3	7.0	23.124585	0.000006		68 | or	L12094
4d4f	^1F°	3	7.0	23.275756	0.000015		66 | or	L12094
4d4f	^3P°	2	5.0	23.324361	0.000024		79 | or	L12094
4d4f	^3P°	1	3.0	23.373723	0.000010		88 | or	L12094
4d4f	^3P°	0	1.0	23.403885	0.000019		96 | or	L12094
4d6p	^1P°	1	3.0	23.783041	0.000006		32 | or	L12094
4d6p	^1D°	2	5.0	23.8156300	0.0000025		48 | or	L12094
4d4f	^1H°	5	11.0	23.851097	0.000009		97 | or	L12094
4d6p	^3D°	1	3.0	23.9175847	0.0000025		73 | or	L12094
4d6p	^3F°	2	5.0	23.9566546	0.0000025		43 | or	L12094
4d6p	^3F°	3	7.0	24.0384903	0.0000025		91 | or	L12094
4d6p	^3D°	2	5.0	24.0519600	0.0000025		43 | or	L12094
4d6p	^3D°	3	7.0	24.1012214	0.0000025		85 | or	L12094
4d6p	^3P°	0	1.0	24.196664	0.000004		98 | or	L12094
4d6p	^3P°	1	3.0	24.2292909	0.0000025		92 | or	L12094
4d6p	^3F°	4	9.0	24.2348082	0.0000025		100 | or	L12094
4d6p	^1F°	3	7.0	24.3488873	0.0000025		84 | or	L12094
4d6p	^3P°	2	5.0	24.3490398	0.0000025		93 | or	L12094
4d6p	^1P°	1	3.0	24.7802605	0.0000025		60 | or	L12094
5p^2	^3P	0	1.0	26.556909	0.000022		92	L12094
5p^2	^3P	1	3.0	26.732229	0.000020		93	L12094
5p^2	^1D	2	5.0	26.763146	0.000011		49	L12094
5p^2	^3P	2	5.0	27.096308	0.000011		59	L12094
4d6d	^1F	3	7.0	27.363846	0.000004		58 | or	L12094
4d6d	^3D	1	3.0	27.3747526	0.0000025		75 | or	L12094
4d6d	^3G	3	7.0	27.4367249	0.0000025		64 | or	L12094
4d6d	^3D	2	5.0	27.446345	0.000004		82 | or	L12094
4d6d	^3G	4	9.0	27.497568	0.000005		87 | or	L12094
4d6d	^3F	2	5.0	27.5508994	0.0000025		76 | or	L12094
4d6d	^1P	1	3.0	27.552234	0.000004		47 | or	L12094
4d6d	^3D	3	7.0	27.5887965	0.0000025		66 | or	L12094
4d6d	^3G	5	11.0	27.661977	0.000004		100 | or	L12094
4d6d	^3F	3	7.0	27.686113	0.000004		80 | or	L12094
4d6d	^3S	1	3.0	27.711385	0.000012		61 | or	L12094
4d6d	^3F	4	9.0	27.742843	0.000004		90 | or	L12094
4d(^2D_3/2)7s	^2[^3/_2]	1	3.0	27.794123	0.000005		98 | or	L12094
4d6d	^3P	0	1.0	27.800594	0.000009		70 | or	L12094
4d(^2D_3/2)7s	^2[^3/_2]	2	5.0	27.805120	0.000004		56 | or	L12094
4d6d	^1D	2	5.0	27.829670	0.000004		36 | or	L12094
4d6d	^1G	4	9.0	27.889105	0.000007		90 | or	L12094
4d5f	^1G°	4	9.0	27.897539	0.000012		62 | or	L12094
4d6d	^3P	1	3.0	27.923680	0.000004		83 | or	L12094
4d5f	^3F°	2	5.0	27.942057	0.000015		71 | or	L12094
4d6d	^1S	0	1.0	27.973011	0.000005		63 | or	L12094
4d5f	^3F°	3	7.0	27.978206	0.000016		64 | or	L12094
4d5f	^3H°	4	9.0	27.981478	0.000015		71 | or	L12094
4d6d	^3P	2	5.0	27.995270	0.000006		73 | or	L12094
4d(^2D_5/2)7s	^2[^5/_2]	3	7.0	28.022388	0.000005		99 | or	L12094
4d(^2D_5/2)7s	^2[^5/_2]	2	5.0	28.050566	0.000004		92 | or	L12094
4d5f	^3H°	5	11.0	28.053164	0.000016		86 | or	L12094
4d5f	^3G°	3	7.0	28.070976	0.000011		57 | or	L12094
4d5f	^1D°	2	5.0	28.109710	0.000015		59 | or	L12094
4d5f	^3F°	4	9.0	28.117318	0.000011		57 | or	L12094
4d5f	^3H°	6	13.0	28.195526	0.000022		99 | or	L12094
4d5f	^3G°	4	9.0	28.204399	0.000012		71 | or	L12094
4d5f	^3D°	1	3.0	28.243488	0.000019		78 | or	L12094
4d5f	^3G°	5	11.0	28.254218	0.000014		86 | or	L12094
4d5f	^3D°	2	5.0	28.26813	0.00003		53 | or	L12094
4d5f	^3D°	3	7.0	28.302529	0.000011		59 | or	L12094
4d5f	^3P°	2	5.0	28.424154	0.000022		63 | or	L12094
4d5f	^1F°	3	7.0	28.435780	0.000012		66 | or	L12094
4d5f	^3P°	1	3.0	28.459349	0.000017		81 | or	L12094
4d5f	^3P°	0	1.0	28.482452	0.000024		98 | or	L12094
4d5f	^1P°	1	3.0	28.72030	0.00003		66 | or	L12094
4d5f	^1H°	5	11.0	28.755525	0.000024		94 | or	L12094
4d(^2D_3/2)5g	^2[^9/_2]	5	11.0	28.812839	0.000011		100 | or	L12094
4d(^2D_3/2)5g	^2[^9/_2]	4	9.0	28.816414	0.000012		99 | or	L12094
4d(^2D_3/2)5g	^2[^7/_2]	3	7.0	28.837269	0.000014		99 | or	L12094
4d(^2D_3/2)5g	^2[^7/_2]	4	9.0	28.839455	0.000011		99 | or	L12094
4d(^2D_3/2)5g	^2[^11/_2]	5	11.0	28.878450	0.000014		97 | or	L12094
4d(^2D_3/2)5g	^2[^11/_2]	6	13.0	28.885841	0.000010		96 | or	L12094
4d(^2D_3/2)5g	^2[^5/_2]	3	7.0	28.890539	0.000021		94 | or	L12094
4d(^2D_3/2)5g	^2[^5/_2]	2	5.0	28.895905	0.000015		95 | or	L12094
4d(^2D_5/2)5g	^2[^9/_2]	5	11.0	29.048537	0.000014		95 | or	L12094
4d(^2D_5/2)5g	^2[^9/_2]	4	9.0	29.052228	0.000009		99 | or	L12094
4d(^2D_5/2)5g	^2[^11/_2]	5	11.0	29.056499	0.000022		92 | or	L12094
4d(^2D_5/2)5g	^2[^11/_2]	6	13.0	29.061537	0.000014		96 | or	L12094
4d(^2D_5/2)5g	^2[^7/_2]	3	7.0	29.075585	0.000015		99 | or	L12094
4d(^2D_5/2)5g	^2[^7/_2]	4	9.0	29.077647	0.000012		98 | or	L12094
4d(^2D_5/2)5g	^2[^5/_2]	3	7.0	29.101159	0.000016		91 | or	L12094
4d(^2D_5/2)5g	^2[^5/_2]	2	5.0	29.101531	0.000019		63 | or	L12094
4d(^2D_5/2)5g	^2[^3/_2]	1	3.0	29.102903	0.000014		74 | or	L12094
4d(^2D_5/2)5g	^2[^13/_2]	7	15.0	29.126735	0.000020		100 | or	L12094
4d(^2D_5/2)7p	^2[^5/_2]°	3	7.0	29.13167	0.00015			L12094
4d(^2D_5/2)5g	^2[^13/_2]	6	13.0	29.137810	0.000012		99 | or	L12094
4d(^2D_5/2)5g	^2[^3/_2]	2	5.0	29.137963	0.000007		61 | or	L12094
4d(^2D_5/2)7p	^2[^7/_2]°	4	9.0	29.20709	0.00003			L12094
4d(^2D_5/2)7p	^2[^7/_2]°	3	7.0	29.22269	0.00016			L12094
5s5d	^3D	1	3.0	29.42359	0.00003		73	L12094
5s5d	^3D	2	5.0	29.43214	0.00004		78	L12094
5s5d	^3D	3	7.0	29.45111	0.00005		86	L12094
5p^2	^1S	0	1.0	30.07533	0.00003		79	L12094
5s6s	^3S	1	3.0	30.28667	0.00003			L12094
5s5d	^1D	2	5.0	30.39303	0.00003		74	L12094
4d6f	^1G°	4	9.0	30.925892	0.000005			L12094
4d6f	^3F°	2	5.0	30.947616?	0.000006			L12094
4d6f	^3G°	3	7.0	30.950568?	0.000006			L12094
4d6f	^3H°	4	9.0	30.987340	0.000006			L12094
4d6f	^3F°	3	7.0	31.001000?	0.000006			L12094
5s4f	^3F°	2	5.0	31.02100	0.00017			L12094
5s4f	^3F°	4	9.0	31.02650	0.00024			L12094
5s4f	^3F°	3	7.0	31.02938	0.00017			L12094
4d6f	^3H°	5	11.0	31.044365	0.000006			L12094
4d6f	^3P°	2	5.0	31.049324?	0.000006			L12094
4d6f	^3D°	1	3.0	31.088378?	0.000010			L12094
4d6f	^1G°	4	9.0	31.144599	0.000006			L12094
4d6f	^3G°	5	11.0	31.180547	0.000005			L12094
4d6f	^3F°	4	9.0	31.186517?	0.000006			L12094
4d6f	^1F°	3	7.0	31.197942?	0.000006			L12094
4d6f	^1D°	2	5.0	31.203235?	0.000014			L12094
4d6f	^3H°	6	13.0	31.229057	0.000006			L12094
4d6f	^3P°	0	1.0	31.255014?	0.000006			L12094
4d6f	^3D°	3	7.0	31.286982?	0.000007			L12094
4d6f	^3P°	1	3.0	31.293303?	0.000006			L12094
5s4f	^1F°	3	7.0	31.44620	0.00022			L12094
4d6f	^1H°	5	11.0	31.485798	0.000009			L12094
4d6f	^1P°	1	3.0	31.515853?	0.000007			L12094
