Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d^8	^3F	4	9.0	0.00000	0		100	L7185
3p^63d^8	^3F	3	7.0	0.16871			100	
3p^63d^8	^3F	2	5.0	0.28139			99	
3p^63d^8	^1D	2	5.0	1.73970			83	
3p^63d^8	^3P	2	5.0	2.06578			84	
3p^63d^8	^3P	1	3.0	2.10498			100	
3p^63d^8	^3P	0	1.0	2.13633			100	
3p^63d^8	^1G	4	9.0	2.86511			100	
3p^63d^8	^1S	0	1.0	6.51314			100	
3p^63d^7(^4F)4s	^5F	5	11.0	6.658439				
3p^63d^7(^4F)4s	^5F	4	9.0	6.776707				
3p^63d^7(^4F)4s	^5F	3	7.0	6.869504				
3p^63d^7(^4F)4s	^5F	2	5.0	6.937190				
3p^63d^7(^4F)4s	^5F	1	3.0	6.981332				
3p^63d^7(^4F)4s	^3F	4	9.0	7.605015				
3p^63d^7(^4F)4s	^3F	3	7.0	7.762103				
3p^63d^7(^4F)4s	^3F	2	5.0	7.869516				
3p^63d^7(^4P)4s	^5P	3	7.0	8.811228				
3p^63d^7(^4P)4s	^5P	2	5.0	8.850500				
3p^63d^7(^4P)4s	^5P	1	3.0	8.907325				
3p^63d^7(^2G)4s	^3G	5	11.0	9.314146				
3p^63d^7(^2G)4s	^3G	4	9.0	9.378984				
3p^63d^7(^2G)4s	^3G	3	7.0	9.452214				
3p^63d^7(^4P)4s	^3P	2	5.0	9.708402			47	
3p^63d^7(^4P)4s	^3P	1	3.0	9.730581			52	
3p^63d^7(^4P)4s	^3P	0	1.0	9.752293			48	
3p^63d^7(^2P)4s	^3P	2	5.0	9.812483			47	
3p^63d^7(^2G)4s	^1G	4	9.0	9.825761				
3p^63d^7(^2P)4s	^3P	1	3.0	9.887643			56	
3p^63d^7(^2P)4s	^3P	0	1.0	9.995742			43	
3p^63d^7(^2H)4s	^3H	6	13.0	10.127872				
3p^63d^7(a ^2D)4s	^3D	3	7.0	10.188104				
3p^63d^7(^2H)4s	^3H	5	11.0	10.190732				
3p^63d^7(a ^2D)4s	^3D	1	3.0	10.201080			54	
3p^63d^7(^2H)4s	^3H	4	9.0	10.269165				
3p^63d^7(a ^2D)4s	^3D	2	5.0	10.294836				
3p^63d^7(^2P)4s	^1P	1	3.0	10.489572			48	
3p^63d^7(^2H)4s	^1H	5	11.0	10.642084				
3p^63d^7(a ^2D)4s	^1D	2	5.0	10.742720				
3p^63d^7(^2F)4s	^3F	2	5.0	12.130812				
3p^63d^7(^2F)4s	^3F	3	7.0	12.149932				
3p^63d^7(^2F)4s	^3F	4	9.0	12.179951				
3p^63d^7(^2F)4s	^1F	3	7.0	12.640797				
3p^63d^7(^4F)4p	^5F°	5	11.0	13.664646			94	
3p^63d^7(^4F)4p	^5F°	4	9.0	13.684303			65	
3p^63d^7(^4F)4p	^5F°	3	7.0	13.789671			78	
3p^63d^7(^4F)4p	^5D°	4	9.0	13.873664			63	
3p^63d^7(^4F)4p	^5F°	2	5.0	13.875633			88	
3p^63d^7(^4F)4p	^5F°	1	3.0	13.936028			96	
3p^63d^7(^4F)4p	^5G°	6	13.0	13.983911			100	
3p^63d^7(^4F)4p	^5D°	3	7.0	14.002209			73	
3p^63d^7(^4F)4p	^5G°	5	11.0	14.027686			82	
3p^63d^7(^4F)4p	^5D°	2	5.0	14.090986			78	
3p^63d^7(^4F)4p	^5G°	4	9.0	14.097638			84	
3p^63d^7(^4F)4p	^5D°	1	3.0	14.146052			88	
3p^63d^7(^4F)4p	^5G°	3	7.0	14.147862			86	
3p^63d^7(^4F)4p	^5D°	0	1.0	14.170830			91	
3p^63d^7(^4F)4p	^5G°	2	5.0	14.180198			88	
3p^63d^7(^4F)4p	^3G°	5	11.0	14.291939			87	
3p^63d^7(^4F)4p	^3F°	4	9.0	14.405963			85	
3p^63d^7(^4F)4p	^3G°	4	9.0	14.465781			83	
3p^63d^7(^4F)4p	^3F°	3	7.0	14.537246			83	
3p^63d^7(^4F)4p	^3G°	3	7.0	14.581329			88	
3p^63d^7(^4F)4p	^3F°	2	5.0	14.644387			92	
3p^63d^7(^4F)4p	^3D°	3	7.0	14.722535			90	
3p^63d^7(^4F)4p	^3D°	2	5.0	14.837132			92	
3p^63d^7(^4F)4p	^3D°	1	3.0	14.911867			93	
3p^63d^7(b ^2D)4s	^3D	1	3.0	15.026008				
3p^63d^7(b ^2D)4s	^3D	2	5.0	15.053120				
3p^63d^7(b ^2D)4s	^3D	3	7.0	15.101579				
3p^63d^7(^4P)4p	^5S°	2	5.0	15.161085			99	
3p^63d^7(b ^2D)4s	^1D	2	5.0	15.551778				
3p^63d^7(^4P)4p	^5D°	2	5.0	16.107172			82	
3p^63d^7(^4P)4p	^5D°	3	7.0	16.112243			84	
3p^63d^7(^4P)4p	^5D°	1	3.0	16.112732			75	
3p^63d^7(^4P)4p	^5D°	0	1.0	16.141509			86	
3p^63d^7(^4P)4p	^5D°	4	9.0	16.156666			93	
3p^63d^7(^4P)4p	^3S°	1	3.0	16.225006			53	
3p^63d^7(^2G)4p	^3H°	5	11.0	16.303984			74	
3p^63d^7(^2G)4p	^3F°	4	9.0	16.340128			41	
3p^63d^7(^2G)4p	^3H°	4	9.0	16.385318			61	
3p^63d^7(^2G)4p	^3H°	6	13.0	16.386818			96	
3p^63d^7(^4P)4p	^5P°	2	5.0	16.467366			45	
3p^63d^7(^2P)4p	^3P°	0	1.0	16.47314			69	
3p^63d^7(^4P)4p	^5P°	3	7.0	16.501787			71	
3p^63d^7(^2G)4p	^3F°	3	7.0	16.509550			78	
3p^63d^7(^2P)4p	^3P°	1	3.0	16.524205			45	
3p^63d^7(^2G)4p	^1G°	4	9.0	16.530156			47	
3p^63d^7(^4P)4p	^5P°	1	3.0	16.532016			73	
3p^63d^7(^4P)4p	^3D°	3	7.0	16.538369			65	
3p^63d^7(^4P)4p	^3D°	2	5.0	16.552011			42	
3p^63d^7(^2P)4p	^3P°	2	5.0	16.569568			49	
3p^63d^7(^2G)4p	^3G°	5	11.0	16.575695			78	
3p^63d^7(^4P)4p	^3D°	1	3.0	16.593988			54	
3p^63d^7(^2G)4p	^1H°	5	11.0	16.640862			62	
3p^63d^7(^2G)4p	^3F°	2	5.0	16.642635			94	
3p^63d^7(^2G)4p	^3G°	3	7.0	16.655391			70	
3p^63d^7(^2G)4p	^3G°	4	9.0	16.665308			73	
3p^63d^7(^2G)4p	^1F°	3	7.0	16.740743			57	
3p^63d^7(^4P)4p	^3P°	0	1.0	16.779389			52	
3p^63d^7(^4P)4p	^3P°	2	5.0	16.781302			75	
3p^63d^7(^4P)4p	^3P°	1	3.0	16.874088			78	
3p^63d^7(^2P)4p	^3D°	2	5.0	16.962675			41	
3p^63d^7(^2P)4p	^3D°	3	7.0	16.981744			77	
3p^63d^7(^2H)4p	^3G°	5	11.0	16.988340			94	
3p^63d^7(^2P)4p	^3D°	1	3.0	17.030762			54	
3p^63d^7(^2H)4p	^3I°	6	13.0	17.034350			74	
3p^63d^7(^2P)4p	°	2	5.0	17.064144			24 | ^3D°	
3p^63d^7(^2H)4p	^3I°	7	15.0	17.108753			100	
3p^63d^7(^2H)4p	^3G°	4	9.0	17.113650			90	
3p^63d^7(^2H)4p	^3I°	5	11.0	17.117308			95	
3p^63d^7(^2P)4p	^1S°	0	1.0	17.127981			61	
3p^63d^7(a ^2D)4p	^3D°	3	7.0	17.170249			79	
3p^63d^7(^2H)4p	^3G°	3	7.0	17.215479			85	
3p^63d^7(a ^2D)4p	^3D°	1	3.0	17.231225			50	
3p^63d^7(a ^2D)4p	^3D°	2	5.0	17.265258			63	
3p^63d^7(^2H)4p	^1I°	6	13.0	17.312397			74	
3p^63d^7(a ^2D)4p	^3F°	4	9.0	17.380681			98	
3p^63d^7(a ^2D)4p	^3F°	3	7.0	17.425300			71	
3p^63d^7(^2P)4p	^3S°	1	3.0	17.467532			67	
3p^63d^7(a ^2D)4p	^3F°	2	5.0	17.467563			73	
3p^63d^7(^2P)4p	^1P°	1	3.0	17.533114			49	
3p^63d^7(^2H)4p	^3H°	6	13.0	17.629040			98	
3p^63d^7(a ^2D)4p	^1D°	2	5.0	17.659559			46	
3p^63d^7(^2H)4p	^3H°	5	11.0	17.677121			95	
3p^63d^7(^2H)4p	^3H°	4	9.0	17.730075			95	
3p^63d^7(a ^2D)4p	^3P°	2	5.0	17.799191			48	
3p^63d^7(a ^2D)4p	^1F°	3	7.0	17.836962			73	
3p^63d^7(^2H)4p	^1G°	4	9.0	17.872694			70	
3p^63d^7(a ^2D)4p	^3P°	1	3.0	17.931159			67	
