Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d^9	^2D	^5/_2	6.0	0.000000	0			L7185
3p^63d^9	^2D	^3/_2	4.0	0.186837				
3p^63d^8(^3F)4s	^4F	^9/_2	10.0	1.040711		1.355	100	
3p^63d^8(^3F)4s	^4F	^7/_2	8.0	1.156778		1.244	98	
3p^63d^8(^3F)4s	^4F	^5/_2	6.0	1.254182		1.023	99	
3p^63d^8(^3F)4s	^4F	^3/_2	4.0	1.322154		0.397	99	
3p^63d^8(^3F)4s	^2F	^7/_2	8.0	1.680034		1.141	98	
3p^63d^8(^3F)4s	^2F	^5/_2	6.0	1.859214		0.866	98	
3p^63d^8(^3P)4s	^4P	^5/_2	6.0	2.865062		1.428	54	
3p^63d^8(^1D)4s	^2D	^3/_2	4.0	2.950350		1.045	75	
3p^63d^8(^3P)4s	^4P	^3/_2	4.0	3.073345			78	
3p^63d^8(^3P)4s	^4P	^1/_2	2.0	3.079263		2.667	100	
3p^63d^8(^1D)4s	^2D	^5/_2	6.0	3.104116		1.368	53	
3p^63d^8(^3P)4s	^2P	^3/_2	4.0	3.604336		1.322	97	
3p^63d^8(^3P)4s	^2P	^1/_2	2.0	3.669121		0.670	100	
3p^63d^8(^1G)4s	^2G	^9/_2	10.0	4.029428		1.135	100	
3p^63d^8(^1G)4s	^2G	^7/_2	8.0	4.032405		0.895		
3p^63d^74s^2	^4F	^9/_2	10.0	6.328830			100	
3p^63d^8(^3F)4p	^4D°	^7/_2	8.0	6.392359		1.420	94	
3p^63d^74s^2	^4F	^7/_2	8.0	6.472713			100	
3p^63d^8(^3F)4p	^4D°	^5/_2	6.0	6.538734		1.365	93	
3p^63d^74s^2	^4F	^5/_2	6.0	6.575865			100	
3p^63d^8(^3F)4p	^4G°	^9/_2	10.0	6.616438		1.156	67	
3p^63d^8(^3F)4p	^4G°	^11/_2	12.0	6.632719		1.305	100	
3p^63d^74s^2	^4F	^3/_2	4.0	6.645701			100	
3p^63d^8(^3F)4p	^4D°	^3/_2	4.0	6.649845		1.186	94	
3p^63d^8(^3F)4p	^4D°	^1/_2	2.0	6.717000		-0.005	96	
3p^63d^8(^3F)4p	^4G°	^7/_2	8.0	6.727709		1.025	81	
3p^63d^8(^3F)4p	^4F°	^9/_2	10.0	6.764212		1.26	80	
3p^63d^8(^3F)4p	^4G°	^5/_2	6.0	6.821451		0.616	94	
3p^63d^8(^3F)4p	^2G°	^9/_2	10.0	6.856283		1.152	58	
3p^63d^8(^3F)4p	^4F°	^7/_2	8.0	6.870935		1.184	76	
3p^63d^8(^3F)4p	^4F°	^5/_2	6.0	6.952446		0.985	87	
3p^63d^8(^3F)4p	^2G°	^7/_2	8.0	6.989164		0.940	84	
3p^63d^8(^3F)4p	^4F°	^3/_2	4.0	6.995745		0.412	95	
3p^63d^8(^3F)4p	^2F°	^7/_2	8.0	7.077086		1.154	81	
3p^63d^8(^3F)4p	^2D°	^5/_2	6.0	7.119193		1.116	74	
3p^63d^8(^3F)4p	^2F°	^5/_2	6.0	7.252234		0.946	74	
3p^63d^8(^3F)4p	^2D°	^3/_2	4.0	7.278610		0.795	89	
3p^63d^8(^3P)4p	^4P°	^5/_2	6.0	8.253794		1.48	73	
3p^63d^8(^3P)4p	^4P°	^3/_2	4.0	8.254832		1.550	73	
