Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d^7	^4F	^9/_2	10.0	0.00000	0		100	L7185
3p^63d^7	^4F	^7/_2	8.0	0.14750			100	
3p^63d^7	^4F	^5/_2	6.0	0.25324			100	
3p^63d^7	^4F	^3/_2	4.0	0.32497			100	
3p^63d^7	^4P	^5/_2	6.0	2.24642			100	
3p^63d^7	^4P	^3/_2	4.0	2.27719			93	
3p^63d^7	^4P	^1/_2	2.0	2.35054			97	
3p^63d^7	^2G	^9/_2	10.0	2.45856			97	
3p^63d^7	^2G	^7/_2	8.0	2.59717			100	
3p^63d^7	^2P	^3/_2	4.0	2.93209			83	
3p^63d^7	^2P	^1/_2	2.0	3.05638			97	
3p^63d^7	^2H	^11/_2	12.0	3.30407			100	
3p^63d^7	^2D2	^5/_2	6.0	3.35954			77	
3p^63d^7	^2H	^9/_2	10.0	3.43159			98	
3p^63d^7	^2D2	^3/_2	4.0	3.56798			72	
3p^63d^7	^2F	^5/_2	6.0	5.38556			100	
3p^63d^7	^2F	^7/_2	8.0	5.43777			100	
3p^63d^7	^2D1	^3/_2	4.0	8.35158			80	
3p^63d^7	^2D1	^5/_2	6.0	8.42966			77	
3d^6(^5D)4s	^6D	^9/_2	10.0	13.68917			100	
3d^6(^5D)4s	^6D	^7/_2	8.0	13.78652			100	
3d^6(^5D)4s	^6D	^5/_2	6.0	13.85688			100	
3d^6(^5D)4s	^6D	^3/_2	4.0	13.90506			100	
3d^6(^5D)4s	^6D	^1/_2	2.0	13.93326			100	
3d^6(^5D)4s	^4D	^7/_2	8.0	14.99087			100	
3d^6(^5D)4s	^4D	^5/_2	6.0	15.10223			100	
3d^6(^5D)4s	^4D	^3/_2	4.0	15.17394			100	
3d^6(^5D)4s	^4D	^1/_2	2.0	15.21502			99	
3d^6(^3P2)4s	^4P	^5/_2	6.0	17.16514			62	
3d^6(^3H)4s	^4H	^13/_2	14.0	17.26968			100	
3d^6(^3H)4s	^4H	^11/_2	12.0	17.31057			98	
3d^6(^3H)4s	^4H	^9/_2	10.0	17.34374			94	
3d^6(^3H)4s	^4H	^7/_2	8.0	17.37526			96	
3d^6(^3P2)4s	^4P	^3/_2	4.0	17.40031			60	
3d^6(^3F2)4s	^4F	^9/_2	10.0	17.50909			72	
3d^6(^3P2)4s	^4P	^1/_2	2.0	17.55135			60	
3d^6(^3F2)4s	^4F	^7/_2	8.0	17.55334			74	
3d^6(^3F2)4s	^4F	^5/_2	6.0	17.58493			77	
3d^6(^3F2)4s	^4F	^3/_2	4.0	17.60867			80	
3d^6(^3G)4s	^4G	^11/_2	12.0	17.95478			71	
3d^6(^3P2)4s	^2P	^3/_2	4.0	18.00153			60	
3d^6(^3G)4s	^4G	^9/_2	10.0	18.06477			76	
3d^6(^3H)4s	^2H	^11/_2	12.0	18.09704			71	
3d^6(^3G)4s	^4G	^7/_2	8.0	18.10932			88	
3d^6(^3G)4s	^4G	^5/_2	6.0	18.12076			90	
3d^6(^3H)4s	^2H	^9/_2	10.0	18.12578			78	
3d^6(^3F2)4s	^2F	^7/_2	8.0	18.30452			69	
3d^6(^3F2)4s	^2F	^5/_2	6.0	18.39407			74	
3d^6(^3G)4s	^2G	^9/_2	10.0	18.79287			97	
3d^6(^3G)4s	^2G	^7/_2	8.0	18.88821			95	
3d^6(^3D)4s	^4D	^3/_2	4.0	19.00849			99	
3d^6(^3D)4s	^4D	^5/_2	6.0	19.01159			98	
3d^6(^3D)4s	^4D	^1/_2	2.0	19.01290			99	
3d^6(^3D)4s	^4D	^7/_2	8.0	19.03574			100	
3d^6(^1I)4s	^2I	^13/_2	14.0	19.24901			100	
3d^6(^1I)4s	^2I	^11/_2	12.0	19.25582			99	
3d^6(^1G2)4s	^2G	^9/_2	10.0	19.37799			65	
3d^6(^1G2)4s	^2G	^7/_2	8.0	19.38508			65	
3d^6(^3D)4s	^2D	^3/_2	4.0	19.77529			94	
3d^6(^3D)4s	^2D	^5/_2	6.0	19.81496			96	
3d^6(^1F)4s	^2F	^7/_2	8.0	21.25164			98	
3d^6(^1F)4s	^2F	^5/_2	6.0	21.25188			98	
3d^6(^5D)4p	^6D°	^9/_2	10.0	21.76784			98	
3d^6(^5D)4p	^6D°	^7/_2	8.0	21.80499			96	
3d^6(^5D)4p	^6D°	^5/_2	6.0	21.85186			97	
3d^6(^5D)4p	^6D°	^3/_2	4.0	21.88996			98	
3d^6(^5D)4p	^6D°	^1/_2	2.0	21.91408			99	
3d^6(^3F1)4s	^4F	^3/_2	4.0	22.26545			80	
3d^6(^3F1)4s	^4F	^9/_2	10.0	22.27438			78	
3d^6(^3F1)4s	^4F	^5/_2	6.0	22.28294			79	
3d^6(^3F1)4s	^4F	^7/_2	8.0	22.29137			78	
3d^6(^5D)4p	^6F°	^11/_2	12.0	22.55663			100	
3d^6(^5D)4p	^6F°	^9/_2	10.0	22.57069			94	
3d^6(^5D)4p	^6F°	^7/_2	8.0	22.58070			93	
3d^6(^5D)4p	^6F°	^5/_2	6.0	22.59076			95	
3d^6(^5D)4p	^6F°	^3/_2	4.0	22.59735			96	
3d^6(^5D)4p	^6F°	^1/_2	2.0	22.60088			97	
3d^6(^5D)4p	^6P°	^7/_2	8.0	22.82538			84	
3d^6(^5D)4p	^6P°	^5/_2	6.0	22.99973			88	
3d^6(^5D)4p	^4D°	^7/_2	8.0	23.04742			83	
3d^6(^3F1)4s	^2F	^7/_2	8.0	23.05697			77	
3d^6(^3F1)4s	^2F	^5/_2	6.0	23.06069			80	
3d^6(^5D)4p	^6P°	^3/_2	4.0	23.11579			94	
3d^6(^5D)4p	^4F°	^9/_2	10.0	23.11935			94	
3d^6(^5D)4p	^4D°	^5/_2	6.0	23.12505			84	
3d^6(^5D)4p	^4D°	^3/_2	4.0	23.17974			89	
3d^6(^5D)4p	^4D°	^1/_2	2.0	23.21303			93	
3d^6(^5D)4p	^4F°	^7/_2	8.0	23.25575			95	
3d^6(^5D)4p	^4F°	^5/_2	6.0	23.34872			96	
3d^6(^5D)4p	^4F°	^3/_2	4.0	23.41122			97	
3d^6(^5D)4p	^4P°	^5/_2	6.0	23.65994			97	
3d^6(^1G1)4s	^2G	^9/_2	10.0	23.66421			66	
3d^6(^1G1)4s	^2G	^7/_2	8.0	23.67265			66	
3d^6(^5D)4p	^4P°	^3/_2	4.0	23.75763			98	
3d^6(^5D)4p	^4P°	^1/_2	2.0	23.80912			98	
3d^6(^3P2)4p	^4S°	^3/_2	4.0	25.43091			44	
3d^6(^3H)4p	^4G°	^11/_2	12.0	25.54140			68	
3d^6(^3H)4p	^4G°	^9/_2	10.0	25.58301			51	
3d^6(^3P2)4p	°	^5/_2	6.0	25.60561			27 | ^4P°	
3d^6(^3H)4p	^4G°	^7/_2	8.0	25.62080			45	
3d^6(^3H)4p	^4I°	^11/_2	12.0	25.63258			51	
3d^6(^3H)4p	^4I°	^13/_2	14.0	25.63429			48	
3d^6(^3H)4p	^4G°	^5/_2	6.0	25.64576			42	
3d^6(^3H)4p	°	^9/_2	10.0	25.64805			43 | ^4I°	
3d^6(^3H)4p	^4H°	^7/_2	8.0	25.68159			47	
3d^6(^3P2)4p	^4P°	^1/_2	2.0	25.76964			48	
3d^6(^3P2)4p	^2D°	^5/_2	6.0	25.78984			32	
3d^6(^3H)4p	^4I°	^9/_2	10.0	25.79452			46	
3d^6(^3H)4p	^4I°	^15/_2	16.0	25.80725			99	
3d^6(^3P2)4p	°	^7/_2	8.0	25.82971			22 | ^4D°	
3d^6(^3P2)4p	°	^3/_2	4.0	25.84587			22 | ^4S°	
3d^6(^3H)4p	^4H°	^11/_2	12.0	25.86252			45	
3d^6(^3F2)4p	^4F°	^5/_2	6.0	25.86381			54	
3d^6(^3H)4p	^4H°	^13/_2	14.0	25.86698			51	
3d^6(^3F2)4p	^4F°	^3/_2	4.0	25.88380			63	
3d^6(^3P2)4p	^4D°	^7/_2	8.0	25.90180			39	
3d^6(^3F2)4p	^4F°	^9/_2	10.0	25.90446			49	
3d^6(^3H)4p	°	^9/_2	10.0	25.92905			37 | ^2G°	
3d^6(^3H)4p	°	^7/_2	8.0	25.96122			34 | ^2G°	
3d^6(^3P2)4p	°	^3/_2	4.0	26.03483			18 | ^2D°	
3d^6(^3F2)4p	^4D°	^7/_2	8.0	26.05178			49	
3d^6(^3H)4p	^2I°	^13/_2	14.0	26.05863			86	
3d^6(^3P2)4p	^4D°	^1/_2	2.0	26.07553			59	
3d^6(^3F2)4p	°	^5/_2	6.0	26.10991			24 | ^4D°	
3d^6(^3F2)4p	^4D°	^5/_2	6.0	26.15367			37	
3d^6(^3H)4p	^2I°	^11/_2	12.0	26.15912			88	
3d^6(^3P2)4p	°	^3/_2	4.0	26.16409			20 | ^4D°	
3d^6(^3F2)4p	^4D°	^3/_2	4.0	26.19127			49	
3d^6(^3F2)4p	^4D°	^1/_2	2.0	26.20427			67	
3d^6(^3F2)4p	^4G°	^9/_2	10.0	26.30336			37	
3d^6(^3F2)4p	^4G°	^11/_2	12.0	26.31031			53	
3d^6(^3F2)4p	°	^5/_2	6.0	26.31886			24 | ^2F°	
3d^6(^3F2)4p	°	^7/_2	8.0	26.31959			26 | ^4G°	
3d^6(^3F2)4p	°	^7/_2	8.0	26.42489			24 | ^2F°	
3d^6(^3G)4p	^4F°	^9/_2	10.0	26.45929			57	
3d^6(^3H)4p	°	^5/_2	6.0	26.45973			28 | ^4G°	
3d^6(^3G)4p	°	^11/_2	12.0	26.48388			31 | ^4G°	
3d^6(^3P2)4p	°	^1/_2	2.0	26.48801			31 | ^2P°	
3d^6(^3F2)4p	°	^9/_2	10.0	26.50035			33 | ^2G°	
3d^6(^3P2)4p	^2P°	^3/_2	4.0	26.53954			50	
3d^6(^3G)4p	^4G°	^7/_2	8.0	26.54514			41	
3d^6(^3G)4p	^4G°	^11/_2	12.0	26.57190			47	
3d^6(^3F2)4p	°	^9/_2	10.0	26.60545			21 | ^2G°	
3d^6(^3F2)4p	^2G°	^7/_2	8.0	26.60984			60	
3d^6(^3G)4p	^4G°	^5/_2	6.0	26.62165			46	
3d^6(^3G)4p	^4G°	^9/_2	10.0	26.64551			40	
3d^6(^3G)4p	°	^7/_2	8.0	26.69292			39 | ^4G°	
3d^6(^3G)4p	^4H°	^13/_2	14.0	26.71941			86	
3d^6(^3G)4p	^4F°	^5/_2	6.0	26.72068			43	
3d^6(^3P2)4p	^2S°	^1/_2	2.0	26.72244			47	
3d^6(^3G)4p	^4F°	^3/_2	4.0	26.72372			68	
3d^6(^3G)4p	^4H°	^11/_2	12.0	26.74147			73	
3d^6(^3G)4p	^4H°	^7/_2	8.0	26.74643			73	
3d^6(^3G)4p	^4H°	^9/_2	10.0	26.74787			73	
3d^6(^3F2)4p	^2D°	^5/_2	6.0	26.95594			67	
3d^6(^3F2)4p	^2D°	^3/_2	4.0	27.02108			64	
3d^6(^3H)4p	^2H°	^11/_2	12.0	27.13526			48	
3d^6(^3G)4p	^2F°	^5/_2	6.0	27.22115			47	
3d^6(^3G)4p	^2H°	^9/_2	10.0	27.24739			43	
3d^6(^3G)4p	^2F°	^7/_2	8.0	27.26363			52	
3d^6(^1I)4p	^2K°	^13/_2	14.0	27.37107			97	
3d^6(^3G)4p	^2G°	^9/_2	10.0	27.52338			71	
3d^6(^3G)4p	^2G°	^7/_2	8.0	27.52812			71	
3d^6(^1I)4p	^2K°	^15/_2	16.0	27.54964			99	
3d^6(^3D)4p	^4P°	^5/_2	6.0	27.56582			87	
3d^6(^3D)4p	^4P°	^3/_2	4.0	27.60668			74	
3d^6(^1G2)4p	^2H°	^9/_2	10.0	27.61196			44	
3d^6(^1I)4p	^2H°	^11/_2	12.0	27.64765			53	
3d^6(^3D)4p	^4P°	^1/_2	2.0	27.67642			66	
3d^6(^3D)4p	°	^1/_2	2.0	27.74585			33 | ^4D°	
3d^6(^3D)4p	^4F°	^5/_2	6.0	27.77510			58	
3d^6(^3D)4p	°	^7/_2	8.0	27.78180			24 | ^4F°	
3d^6(^3D)4p	°	^3/_2	4.0	27.79403			30 | ^4D°	
3d^6(^1G2)4p	^2G°	^7/_2	8.0	27.82994			44	
3d^6(^3D)4p	^4D°	^5/_2	6.0	27.85252			68	
3d^6(^1G2)4p	^2G°	^9/_2	10.0	27.86687			50	
3d^6(^3D)4p	^4F°	^7/_2	8.0	27.87474			47	
3d^6(^3D)4p	^2P°	^3/_2	4.0	27.88862			41	
3d^6(^3D)4p	^2P°	^1/_2	2.0	27.89601			40	
3d^6(^3D)4p	^4F°	^9/_2	10.0	27.90840			73	
3d^6(^3D)4p	^4D°	^7/_2	8.0	27.91342			54	
3d^6(^1G2)4p	°	^5/_2	6.0	27.94996			34 | ^2F°	
3d^6(^1G2)4p	^2H°	^11/_2	12.0	27.99049			36	
3d^6(^1I)4p	^2H°	^9/_2	10.0	28.00849			61	
3d^6(^1I)4p	^2I°	^13/_2	14.0	28.10536			98	
3d^6(^1I)4p	^2I°	^11/_2	12.0	28.10753			82	
3d^6(^3D)4p	^2D°	^3/_2	4.0	28.16687			76	
3d^6(^3D)4p	^2D°	^5/_2	6.0	28.21253			86	
3d^6(^1D2)4p	^2P°	^3/_2	4.0	28.29495			34	
3d^6(^3D)4p	^2F°	^7/_2	8.0	28.33268			62	
3d^6(^3D)4p	^2F°	^5/_2	6.0	28.42580			54	
3d^6(^1S2)4p	°	^1/_2	2.0	28.42927			32 | ^2P°	
3d^6(^1D2)4p	°	^5/_2	6.0	28.65173			31 | ^2D°	
3d^6(^1D2)4p	^2D°	^3/_2	4.0	28.73235			62	
3d^6(^1D2)4p	°	^5/_2	6.0	28.79814			30 | ^2D°	
3d^6(^1D2)4p	^2F°	^7/_2	8.0	28.83122			51	
3d^6(^1D2)4p	^2P°	^1/_2	2.0	28.87555			40	
3d^6(^1S2)4p	°	^3/_2	4.0	29.01472			37 | ^2P°	
3d^6(^1F)4p	^2G°	^7/_2	8.0	29.44380			90	
3d^6(^1F)4p	^2G°	^9/_2	10.0	29.62699			93	
3d^6(^1F)4p	^2D°	^5/_2	6.0	29.63343			63	
3d^6(^1F)4p	^2D°	^3/_2	4.0	29.76789			70	
3d^6(^3P1)4p	^4D°	^1/_2	2.0	29.90157			37	
3d^6(^3F1)4p	^4D°	^3/_2	4.0	29.94714			35	
3d^6(^3F1)4p	^4D°	^5/_2	6.0	29.98160			43	
3d^6(^3F1)4p	^4D°	^7/_2	8.0	29.99661			50	
3d^6(^1F)4p	^2F°	^5/_2	6.0	30.19264			83	
3d^6(^1F)4p	^2F°	^7/_2	8.0	30.19536			82	
3d^6(^3F1)4p	^4G°	^7/_2	8.0	30.71482			77	
3d^6(^3F1)4p	^4G°	^9/_2	10.0	30.77511			74	
3d^6(^3F1)4p	^4G°	^11/_2	12.0	30.85414			78	
3d^6(^3P1)4p	^4S°	^3/_2	4.0	30.88818			74	
3d^6(^3F1)4p	^2D°	^3/_2	4.0	31.11396			49	
3d^6(^3F1)4p	^2D°	^5/_2	6.0	31.20612			46	
3d^6(^3F1)4p	^2G°	^9/_2	10.0	31.21595			66	
3d^6(^3P1)4p	^4P°	^5/_2	6.0	31.28791			37	
3d^6(^3F1)4p	^2G°	^7/_2	8.0	31.30886			69	
3d^6(^3F1)4p	°	^3/_2	4.0	31.36495			32 | ^4D°	
3d^6(^3F1)4p	°	^5/_2	6.0	31.40845			26 | ^4F°	
3d^6(^3F1)4p	^4F°	^3/_2	4.0	31.43983			57	
3d^6(^3F1)4p	^4F°	^7/_2	8.0	31.44724			40	
3d^6(^3F1)4p	^4F°	^5/_2	6.0	31.50732			40	
3d^6(^3F1)4p	^4F°	^9/_2	10.0	31.52918			66	
3d^6(^3F1)4p	°	^7/_2	8.0	31.57424			26 | ^4F°	
3d^6(^3F1)4p	°	^3/_2	4.0	31.62391			27 | ^2D°	
3d^6(^3F1)4p	^2F°	^7/_2	8.0	31.86617			54	
3d^6(^3F1)4p	^2F°	^5/_2	6.0	31.91433			66	
3d^6(^1G1)4p	^2H°	^9/_2	10.0	32.07134			59	
3d^6(^1G1)4p	^2H°	^11/_2	12.0	32.24396			62	
3d^6(^1G1)4p	°	^7/_2	8.0	32.27997			31 | ^2F°	
3d^6(^1G1)4p	^2F°	^5/_2	6.0	32.38793			55	
3d^6(^1G1)4p	^2G°	^9/_2	10.0	32.51802			64	
3d^6(^1G1)4p	^2G°	^7/_2	8.0	32.55065			44	
3d^6(^1D1)4p	^2D°	^3/_2	4.0	34.98580			79	
3d^6(^1D1)4p	^2D°	^5/_2	6.0	35.04354			79	
