Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^8(^3F)4s^2	^3F	4	9.0	0.0000000	0	1.24965	97	L11151
3d^9(^2D)4s	^3D	3	7.0	0.0253904		1.33354	99	
3d^9(^2D)4s	^3D	2	5.0	0.1090833		1.15105	90	
3d^8(^3F)4s^2	^3F	3	7.0	0.1651673		1.08280	97	
3d^9(^2D)4s	^3D	1	3.0	0.2123957		0.49804	99	
3d^8(^3F)4s^2	^3F	2	5.0	0.2748172		0.66956	96	
3d^9(^2D)4s	^1D	2	5.0	0.4227783		1.01297	89	
3d^8(^1D)4s^2	^1D	2	5.0	1.6764334		1.143	77	
3d^10	^1S	0	1.0	1.8261434			94	
3d^8(^3P)4s^2	^3P	2	5.0	1.9353740		1.356	78	
3d^8(^3P)4s^2	^3P	1	3.0	1.9507675		1.497	97	
3d^8(^3P)4s^2	^3P	0	1.0	1.9858928			96	
3d^8(^1G)4s^2	^1G	4	9.0	2.7403390		0.99	97	
3d^8(^3F)4s4p(^3P°)	^5D°	4	9.0	3.1930336		1.51	95	
3d^8(^3F)4s4p(^3P°)	^5D°	3	7.0	3.3061486		1.495	93	
3d^8(^3F)4s4p(^3P°)	^5G°	6	13.0	3.3799201		1.32	98	
3d^8(^3F)4s4p(^3P°)	^5D°	2	5.0	3.3990104		1.494	93	
3d^8(^3F)4s4p(^3P°)	^5G°	5	11.0	3.4195327		1.276	82	
3d^8(^3F)4s4p(^3P°)	^5D°	1	3.0	3.4645554		1.486	95	
3d^8(^3F)4s4p(^3P°)	^5G°	4	9.0	3.4799965		1.171	83	
3d^8(^3F)4s4p(^3P°)	^5D°	0	1.0	3.4979659			96	
3d^8(^3F)4s4p(^3P°)	^5F°	5	11.0	3.5387700		1.377	85	
3d^9(^2D)4p	^3P°	2	5.0	3.5421297		1.485	93	
3d^8(^3F)4s4p(^3P°)	^5G°	3	7.0	3.5432227		0.945	87	
3d^8(^3F)4s4p(^3P°)	^5G°	2	5.0	3.5971791		0.364	95	
3d^8(^3F)4s4p(^3P°)	^5F°	4	9.0	3.6060130		1.288	75	
3d^9(^2D)4p	^3F°	3	7.0	3.6353112		1.287	33	
3d^9(^2D)4p	^3F°	4	9.0	3.6551768		1.086	81	
3d^9(^2D)4p	^3P°	1	3.0	3.6576174		1.426	90	
3d^9(^2D)4p	^3D°	3	7.0	3.6784739		1.044	57	
3d^9(^2D)4p	°	3	7.0	3.6784770		1.300	30 | ^3D°	
3d^8(^3F)4s4p(^3P°)	^5F°	3	7.0	3.6987932		1.208	56	
3d^9(^2D)4p	^3D°	2	5.0	3.7056989		0.552	36	
3d^8(^3F)4s4p(^3P°)	^5F°	2	5.0	3.7397508		0.985	76	
3d^9(^2D)4p	^3P°	0	1.0	3.7433620			97	
3d^8(^3F)4s4p(^3P°)	^5F°	1	3.0	3.7681281		0.006	98	
3d^9(^2D)4p	^3F°	2	5.0	3.7963235		0.740	72	
3d^9(^2D)4p	^3D°	1	3.0	3.8327008			64	
3d^8(^3F)4s4p(^3P°)	^3G°	5	11.0	3.8339304		1.214	94	
3d^8(^3F)4s4p(^3P°)	^3G°	4	9.0	3.8409993		1.052	78	
3d^9(^2D)4p	^1F°	3	7.0	3.8473561		1.048	56	
3d^9(^2D)4p	^1D°	2	5.0	3.8982659		1.060	67	
3d^8(^3F)4s4p(^3P°)	^3G°	3	7.0	3.9409818		0.761	93	
3d^8(^3F)4s4p(^3P°)	^3F°	4	9.0	4.0881776		1.222	77	
3d^9(^2D)4p	^1P°	1	3.0	4.0892791		1.005	94	
3d^8(^3F)4s4p(^3P°)	^3F°	3	7.0	4.1054062		1.193	37	
3d^8(^3F)4s4p(^3P°)	^3D°	3	7.0	4.1535726		1.198	38	
3d^8(^3F)4s4p(^3P°)	^1G°	4	9.0	4.1646453			75	
3d^8(^3F)4s4p(^3P°)	^3D°	2	5.0	4.1672193		1.19	34	
3d^8(^3F)4s4p(^3P°)	^3F°	2	5.0	4.2357049		0.973	53	
3d^8(^3F)4s4p(^3P°)	^3D°	1	3.0	4.2661171		0.511	66	
3d^8(^3F)4s4p(^3P°)	^1F°	3	7.0	4.4186880		1.013	83	
3d^8(^3F)4s4p(^3P°)	^1D°	2	5.0	4.5379197		1.013	82	
3d^8(^3P)4s4p(^3P°)	^5P°	3	7.0	5.0041571			87	
3d^8(^3P)4s4p(^3P°)	^5P°	2	5.0	5.0194026			89	
3d^8(^3P)4s4p(^3P°)	^5P°	1	3.0	5.0547113			94	
3d^8(^1D)4s4p(^3P°)	^3F°	4	9.0	5.2798934		1.346	53	
3d^9(^2D_5/2)5s	^2[^5/_2]	3	7.0	5.2824639		1.34	100	
3d^8(^1D)4s4p(^3P°)	^3D°	3	7.0	5.2843298			39	
3d^8(^1D)4s4p(^3P°)	^3D°	2	5.0	5.2883800			58	
3d^8(^1D)4s4p(^3P°)	^3D°	1	3.0	5.2887058		1.320	76	
3d^8(^1D)4s4p(^3P°)	^3F°	3	7.0	5.3025380		1.218	61	
3d^9(^2D_5/2)5s	^2[^5/_2]	2	5.0	5.3052851		1.085	99	
3d^8(^1D)4s4p(^3P°)	^3F°	2	5.0	5.3256424		0.840	71	
3d^8(^3F)4s4p(^1P°)	^3G°	5	11.0	5.3424268		1.226	96	
3d^8(^3F)4s4p(^1P°)	^3F°	4	9.0	5.3633985		1.247	54	
3d^8(^1D)4s4p(^3P°)	^3P°	1	3.0	5.3888468		1.390	62	
3d^8(^3F)4s4p(^1P°)	^3D°	3	7.0	5.4125182		1.155	21	
3d^8(^3F)4s4p(^1P°)	°	3	7.0	5.4125270		1.243	35 | ^3D°	
3d^8(^1D)4s4p(^3P°)	^3P°	2	5.0	5.4470484		1.476	45	
3d^8(^3P)4s4p(^3P°)	^5D°	2	5.0	5.4669311			53	
3d^9(^2D_3/2)5s	^2[^3/_2]	1	3.0	5.4692124		1.09	100	
3d^8(^3P)4s4p(^3P°)	^5D°	1	3.0	5.4717016			88	
3d^8(^3P)4s4p(^3P°)	^5D°	3	7.0	5.4808578			48	
3d^9(^2D_3/2)5s	^2[^3/_2]	2	5.0	5.4878629			99	
3d^8(^3F)4s4p(^1P°)	^3G°	4	9.0	5.4943479		1.182	47	
3d^8(^3P)4s4p(^3P°)	°	4	9.0	5.496976			38 | ^5D°	
3d^8(^3P)4s4p(^3P°)	^5D°	0	1.0	5.5067526			90	
3d^8(^3F)4s4p(^1P°)	^3D°	2	5.0	5.5142095		0.566	58	
3d^8(^3P)4s4p(^3P°)	^5D°	4	9.0	5.5223213			23	
3d^8(^3F)4s4p(^1P°)	^3G°	3	7.0	5.5253604		1.044	68	
3d^8(^3F)4s4p(^1P°)	^3D°	1	3.0	5.5944625			68	
3d^8(^3F)4s4p(^1P°)	^3F°	3	7.0	5.6141395		0.779	58	
3d^8(^3F)4s4p(^1P°)	^3F°	2	5.0	5.6312140		0.677	82	
3d^8(^3P)4s4p(^3P°)	^3P°	2	5.0	5.7681002			57	
3d^8(^3P)4s4p(^3P°)	^3D°	3	7.0	5.8309895		1.331	92	
3d^8(^3P)4s4p(^3P°)	^3D°	2	5.0	5.8445329		1.209	45	
3d^8(^3P)4s4p(^3P°)	^3P°	1	3.0	5.8530645			58	
3d^8(^3P)4s4p(^3P°)	^5S°	2	5.0	5.8680213			31	
3d^8(^3P)4s4p(^3P°)	^3D°	1	3.0	5.8799240		0.726	79	
3d^8(^3P)4s4p(^3P°)	^3P°	0	1.0	5.9123833			66	
3d^84s(^4F)5s	^5F	5	11.0	6.0090789		1.40	100	
3d^9(^2D)5p	^1F°	3	7.0	6.0345650			54	
3d^9(^2D)5p	^3F°	4	9.0	6.0399629			94	
3d^9(^2D)5p	^3P°	2	5.0	6.0424059			82	
3d^8(^3P)4s4p(^3P°)	^1P°	1	3.0	6.0526726			61	
3d^9(^2D_5/2)4d	^2[^1/_2]	1	3.0	6.0694376		1.92	99	
3d^9(^2D)5p	^1D°	2	5.0	6.0793080			47	
3d^84s(^4F)5s	^5F	4	9.0	6.0858861		1.33	80	
3d^9(^2D_5/2)4d	^2[^9/_2]	5	11.0	6.0948747		1.20	100	
3d^9(^2D_5/2)4d	^2[^3/_2]	2	5.0	6.0949429		1.43	98	
3d^9(^2D_5/2)4d	^2[^3/_2]	1	3.0	6.0964457		1.00	99	
3d^9(^2D_5/2)4d	^2[^9/_2]	4	9.0	6.0968944		1.05	99	
3d^8(^3P)4s4p(^3P°)	^1D°	2	5.0	6.0981799			71	
3d^9(^2D)5p	^3P°	1	3.0	6.0995491			44	
3d^9(^2D_5/2)4d	^2[^5/_2]	3	7.0	6.1088924		1.32	99	
3d^9(^2D_5/2)4d	^2[^7/_2]	3	7.0	6.1141337			98	
3d^9(^2D_5/2)4d	^2[^5/_2]	2	5.0	6.1158691			98	
3d^9(^2D)5p	^3D°	3	7.0	6.1159099			77	
3d^9(^2D_5/2)4d	^2[^7/_2]	4	9.0	6.1164620			93	
3d^8(^3P)4s4p(^3P°)	^3S°	1	3.0	6.1252392			95	
3d^9(^2D_5/2)4d	^2[^1/_2]	0	1.0	6.1508989			74	
3d^84s(^4F)5s	^5F	3	7.0	6.1716320		1.23	88	
3d^9(^2D)5p	^3F°	2	5.0	6.2040690			72	
3d^9(^2D)5p	^3P°	0	1.0	6.2163765			94	
3d^9(^2D)5p	°	3	7.0	6.21691				
3d^9(^2D)5p	^3F°	3	7.0	6.2169385			39	
3d^8(^1S)4s^2	^1S	0	1.0	6.2334694			90	
3d^84s(^4F)5s	^5F	2	5.0	6.2421614		0.95	94	
3d^9(^2D)5p	^1P°	1	3.0	6.2560185			47	
3d^84s(^4F)5s	^3F	4	9.0	6.2570028			85	
3d^9(^2D_3/2)4d	^2[^1/_2]	1	3.0	6.2657526		1.54	99	
3d^9(^2D_3/2)4d	^2[^7/_2]	3	7.0	6.2832160		1.02	99	
3d^9(^2D)5p	^3D°	2	5.0	6.2846957			64	
3d^9(^2D_3/2)4d	^2[^7/_2]	4	9.0	6.2867766			98	
3d^9(^2D_3/2)4d	^2[^3/_2]	1	3.0	6.2880937			94	
3d^84s(^4F)5s	^5F	1	3.0	6.2915226		0.20	93	
3d^9(^2D_3/2)4d	^2[^3/_2]	2	5.0	6.2927068			98	
3d^8(^1G)4s4p(^3P°)	^3F°	4	9.0	6.2970710			89	
3d^9(^2D_3/2)4d	^2[^5/_2]	3	7.0	6.3023649			99	
3d^9(^2D_3/2)4d	^2[^5/_2]	2	5.0	6.3026625			97	
3d^9(^2D)5p	^3D°	1	3.0	6.3047451			86	
3d^8(^1G)4s4p(^3P°)	^3F°	3	7.0	6.3386502			81	
3d^84s(^4F)5s	^3F	3	7.0	6.3611380			80	
3d^8(^1G)4s4p(^3P°)	^3F°	2	5.0	6.3657885			78	
3d^9(^2D_3/2)4d	^2[^1/_2]	0	1.0	6.3798859			67	
3d^84s(^4F)5s	^3F	2	5.0	6.4522025			88	
3d^9(^2D_5/2)6s	^2[^5/_2]	3	7.0	6.4716583			100	
3d^9(^2D_5/2)6s	^2[^5/_2]	2	5.0	6.4808623			100	
3d^9(^2D_3/2)6s	^2[^3/_2]	1	3.0	6.6584289			100	
3d^9(^2D_3/2)6s	^2[^3/_2]	2	5.0	6.6646444			100	
3d^84s(^2F)5s	^3F	4	9.0	6.7245432		1.27	93	
3d^84s(^2F)5s	^1F	3	7.0	6.7263049			64	
3d^9(^2D_5/2)6p	^2[^3/_2]°	2	5.0	6.7334624			89	
3d^8(^1G)4s4p(^3P°)	^3G°	5	11.0	6.7359229			99	
3d^9(^2D_5/2)6p	^2[^7/_2]°	3	7.0	6.7553922			90	
3d^9(^2D_5/2)6p	^2[^3/_2]°	1	3.0	6.7565649			93	
3d^9(^2D_5/2)6p	^2[^7/_2]°	4	9.0	6.7626329			98	
3d^9(^2D_5/2)6p	^2[^5/_2]°	2	5.0	6.7631327			90	
3d^9(^2D_5/2)5d	^2[^1/_2]	1	3.0	6.7663936			99	
3d^9(^2D_5/2)6p	^2[^5/_2]°	3	7.0	6.7703636			94	
3d^9(^2D_5/2)5d	^2[^3/_2]	1	3.0	6.7769190				
3d^9(^2D_5/2)5d	^2[^9/_2]	5	11.0	6.7769402		1.07	100	
3d^9(^2D_5/2)5d	^2[^3/_2]	2	5.0	6.7778814			96	
3d^9(^2D_5/2)5d	^2[^9/_2]	4	9.0	6.7778814			100	
3d^9(^2D_5/2)4f	^2[^1/_2]°	0	1.0	6.7817333			100	
3d^9(^2D_5/2)4f	^2[^1/_2]°	1	3.0	6.7818211			100	
3d^9(^2D_5/2)5d	^2[^5/_2]	3	7.0	6.7819120			97	
3d^9(^2D_5/2)4f	^2[^3/_2]°	1	3.0	6.7834097			100	
3d^9(^2D_5/2)4f	^2[^3/_2]°	2	5.0	6.7835548			100	
3d^9(^2D_5/2)4f	^2[^11/_2]°	5	11.0	6.7839485			100	
3d^9(^2D_5/2)4f	^2[^11/_2]°	6	13.0	6.7840033			100	
3d^9(^2D_5/2)4f	^2[^5/_2]°	3	7.0	6.7854035			99	
3d^9(^2D_5/2)4f	^2[^5/_2]°	2	5.0	6.7854998			100	
3d^9(^2D_5/2)5d	^2[^5/_2]	2	5.0	6.7859491			96	
3d^9(^2D_5/2)4f	^2[^7/_2]°	3	7.0	6.7870520			99	
3d^9(^2D_5/2)4f	^2[^7/_2]°	4	9.0	6.7870979			74	
3d^9(^2D_5/2)4f	^2[^9/_2]°	4	9.0	6.7871621			74	
3d^9(^2D_5/2)4f	^2[^9/_2]°	5	11.0	6.7872081			99	
3d^9(^2D_5/2)5d	^2[^7/_2]	4	9.0	6.7895345			95	
3d^9(^2D_5/2)5d	^2[^7/_2]	3	7.0	6.7908795			92	
3d^9(^2D_5/2)5d	^2[^1/_2]	0	1.0	6.8210011			77	
3d^8(^3F)4s(^4F)5p	^5D°	4	9.0	6.8881816			89	
3d^84s(^2F)5s	^3F	3	7.0	6.8906503		1.00	69	
3d^8(^3F)4s(^4F)5p	^5G°	6	13.0	6.9054839			100	
3d^8(^3F)4s(^4F)5p	^5F°	5	11.0	6.9123451			85	
3d^9(^2D_3/2)6p	^2[^1/_2]°	1	3.0	6.9283692			91	
3d^84s(^2F)5s	^3F	2	5.0	6.9332565			84	
3d^9(^2D_3/2)6p	^2[^3/_2]°	2	5.0	6.9360111			46	
3d^9(^2D_5/2)7s	^2[^5/_2]	3	7.0	6.9395623			99	
3d^9(^2D_3/2)6p	^2[^5/_2]°	3	7.0	6.9406287			83	
3d^9(^2D_5/2)7s	^2[^5/_2]	2	5.0	6.9458364		1.03	99	
3d^9(^2D_3/2)6p	^2[^5/_2]°	2	5.0	6.9496956			59	
3d^9(^2D_3/2)5d	^2[^1/_2]	1	3.0	6.9564962			99	
3d^9(^2D_3/2)5d	^2[^7/_2]	3	7.0	6.9645219			100	
3d^9(^2D_3/2)5d	^2[^7/_2]	4	9.0	6.9658658			100	
3d^9(^2D_3/2)5d	^2[^3/_2]	1	3.0	6.9665129			94	
3d^9(^2D_3/2)5d	^2[^3/_2]	2	5.0	6.9680755			99	
3d^9(^2D_3/2)4f	^2[^3/_2]°	2	5.0	6.9696948			100	
3d^9(^2D_3/2)4f	^2[^3/_2]°	1	3.0	6.9698305			100	
3d^9(^2D_3/2)4f	^2[^9/_2]°	5	11.0	6.9710478			98	
3d^9(^2D_3/2)4f	^2[^9/_2]°	4	9.0	6.9712681			100	
3d^9(^2D_3/2)4f	^2[^5/_2]°	3	7.0	6.9727113			93	
3d^9(^2D_3/2)4f	^2[^5/_2]°	2	5.0	6.9727905			99	
3d^8(^3F)4s(^4F)5p	^5G°	5	11.0	6.9733406			70	
3d^9(^2D_3/2)4f	^2[^7/_2]°	3	7.0	6.9740561			91	
3d^9(^2D_3/2)4f	^2[^7/_2]°	4	9.0	6.9742179			99	
3d^8(^3F)4s(^4F)5p	^5D°	3	7.0	6.9755976			69	
3d^9(^2D_3/2)5d	^2[^5/_2]	3	7.0	6.9757122			97	
3d^9(^2D_3/2)5d	^2[^5/_2]	2	5.0	6.9771421			91	
3d^8(^3F)4s(^4F)5p	^5F°	4	9.0	6.9851610			58	
3d^9(^2D_3/2)5d	^2[^1/_2]	0	1.0	6.9928041			65	
3d^8(^1D)4s4p(^1P°)	^1F°	3	7.0	7.0082565			59	
3d^8(^1D)4s4p(^1P°)	^1D°	2	5.0	7.0127616			26	
3d^84s(^4F_9/2)4d	^2[^13/_2]	6	13.0	7.0205555			93	
3d^84s(^4F_9/2)4d	^2[^5/_2]	2	5.0	7.0312467			93	
3d^84s(^4F_9/2)4d	^2[^9/_2]	4	9.0	7.0381465			87	
3d^84s(^4F_9/2)4d	^2[^11/_2]	5	11.0	7.0424991			92	
3d^84s(^4F_9/2)4d	^2[^5/_2]	3	7.0	7.0449665			94	
3d^84s(^4F_9/2)4d	^2[^7/_2]	4	9.0	7.0494792			90	
3d^84s(^4F_9/2)4d	^2[^13/_2]	7	15.0	7.0528678			100	
3d^8(^3F)4s(^4F)5p	^5G°	4	9.0	7.0590257			64	
3d^8(^3F)4s(^4F)5p	^5D°	2	5.0	7.0597244			66	
3d^84s(^4F_9/2)4d	^2[^11/_2]	6	13.0	7.0614082			97	
3d^84s(^4F_9/2)4d	^2[^9/_2]	5	11.0	7.0638328			95	
3d^8(^3F)4s(^4F)5p	^5F°	3	7.0	7.0650926			46	
3d^84s(^4F_9/2)4d	^2[^7/_2]	3	7.0	7.0799788			83	
3d^9(^2D_5/2)5f	^2[^11/_2]°	5	11.0	7.0925257			100	
3d^9(^2D_5/2)5f	^2[^11/_2]°	6	13.0	7.0925691			100	
