Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3s^23p	^2P°	^1/_2	2.0	0.000000	0		94	L7147
3s^23p	^2P°	^3/_2	4.0	0.069325			94	
3s3p^2	^4P	^1/_2	2.0	7.057388				
3s3p^2	^4P	^3/_2	4.0	7.082719				
3s3p^2	^4P	^5/_2	6.0	7.123388				
3s3p^2	^2D	^3/_2	4.0	9.288506			75	
3s3p^2	^2D	^5/_2	6.0	9.292102			75	
3s3p^2	^2S	^1/_2	2.0	12.423271				
3s3p^2	^2P	^1/_2	2.0	13.518896				
3s3p^2	^2P	^3/_2	4.0	13.565481				
3s^23d	^2D	^3/_2	4.0	14.490599			74	
3s^23d	^2D	^5/_2	6.0	14.492001			74	
3s^24s	^2S	^1/_2	2.0	14.609796				
3s^24p	^2P°	^1/_2	2.0	17.528503			94	
3s^24p	^2P°	^3/_2	4.0	17.545454			94	
3s3p(^3P°)3d	^2D°	^3/_2	4.0	18.265748				
3s3p(^3P°)3d	^2D°	^5/_2	6.0	18.273443				
3s3p(^3P°)3d	^4F°	^3/_2	4.0	19.728957				
3s3p(^3P°)3d	^4F°	^5/_2	6.0	19.743085				
3s3p(^3P°)3d	^4F°	^7/_2	8.0	19.763220				
3s3p(^3P°)3d	^4F°	^9/_2	10.0	19.789573				
3p^3	^4S°	^3/_2	4.0	19.802180				
3p^3	^2P°	^3/_2	4.0	21.091010			59	
3p^3	^2P°	^1/_2	2.0	21.098472			59	
3s^24d	^2D	^5/_2	6.0	21.378572			94	
3s^24d	^2D	^3/_2	4.0	21.378656			94	
3s3p(^3P°)3d	^4P°	^5/_2	6.0	21.550087				
3s3p(^3P°)3d	^4P°	^3/_2	4.0	21.571476				
3s3p(^3P°)3d	^4P°	^1/_2	2.0	21.586418				
3s3p(^3P°)3d	^4D°	^1/_2	2.0	21.729437				
3s3p(^3P°)3d	^4D°	^3/_2	4.0	21.736174				
3s3p(^3P°)3d	^4D°	^5/_2	6.0	21.743902				
3s3p(^3P°)3d	^4D°	^7/_2	8.0	21.749973				
3s^25s	^2S	^1/_2	2.0	21.826534				
3s^24f	^2F°	^5/_2	6.0	22.150425			93	
3s^24f	^2F°	^7/_2	8.0	22.150494			93	
3s3p(^3P°)4s	^4P°	^1/_2	2.0	22.869355				
3s3p(^3P°)4s	^4P°	^3/_2	4.0	22.892411				
