Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3s^23p^2	^3P	0	1.0	0.000000	0			L7147
3s^23p^2	^3P	1	3.0	0.020445				
3s^23p^2	^3P	2	5.0	0.058163				
3s^23p^2	^1D	2	5.0	1.101266				
3s^23p^2	^1S	0	1.0	2.675037				
3s3p^3	^5S°	2	5.0	5.665708			100	
3s3p^3	^3D°	1	3.0	8.090149		0.504	81	
3s3p^3	^3D°	2	5.0	8.092740		1.160	81	
3s3p^3	^3D°	3	7.0	8.097057		1.329	81	
3s3p^3	^3P°	2	5.0	9.517530		1.486	71	
3s3p^3	^3P°	1	3.0	9.523515		1.50	74	
3s3p^3	^3P°	0	1.0	9.524852			74	
3s^23p3d	^1D°	2	5.0	9.634836		1.014	63	
3s^23p4s	^3P°	0	1.0	10.736728			100	
3s^23p4s	^3P°	1	3.0	10.754880		1.495	99	
3s^23p4s	^3P°	2	5.0	10.802074		1.499	100	
3s^23p3d	^3F°	2	5.0	10.886321		0.666	100	
3s^23p3d	^3F°	3	7.0	10.906494		1.083	100	
3s^23p3d	^3F°	4	9.0	10.934431		1.25	100	
3s^23p4s	^1P°	1	3.0	11.021355		1.006	99	
3s^23p4p	^1P	1	3.0	12.601220		0.998	98	
3s^23p3d	^1P°	1	3.0	12.745360		1.00	64	
3s^23p4p	^3D	1	3.0	12.790905		0.511	98	
3s^23p4p	^3D	2	5.0	12.812420		1.166	99	
3s^23p3d	^3P°	2	5.0	12.848445		1.408	55	
3s^23p4p	^3D	3	7.0	12.853177		1.334	100	
3s^23p3d	^3P°	1	3.0	12.864093		1.05	41	
3s^23p3d	^3P°	0	1.0	12.886965			75	
3s^23p3d	^3D°	3	7.0	12.900589		1.326	82	
3s^23p3d	^3D°	1	3.0	12.901028		0.94	46	
3s^23p3d	^3D°	2	5.0	12.906972		1.26	61	
3s^23p4p	^3P	0	1.0	13.046121			100	
3s^23p4p	^3P	1	3.0	13.055830		1.525	94	
3s^23p4p	^3P	2	5.0	13.086491		1.499	99	
3s^23p4p	^3S	1	3.0	13.142480		1.968	94	
3s^23p3d	^1F°	3	7.0	13.310975		1.004	100	
3s^23p4p	^1D	2	5.0	13.380738		1.002	99	
3s3p^3	^3S°	1	3.0	13.669849			100	
3s^23p4p	^1S	0	1.0	13.825188			100	
3s3p^3	^1D°	2	5.0	13.961471		0.998	50	
3s3p^3	^1P°	1	3.0	14.672502		0.99	58	
3s^23p5s	^3P°	0	1.0	15.292731			100	
3s^23p5s	^3P°	1	3.0	15.306526		1.465	93	
3s^23p5s	^3P°	2	5.0	15.360503		1.497	100	
3s^23p5s	^1P°	1	3.0	15.427634		1.036	93	
3s^23p4d	^3F°	2	5.0	15.491420		0.664	99	
3s^23p4d	^3F°	3	7.0	15.514003		1.081	99	
3s^23p4d	^3F°	4	9.0	15.546519		1.25	100	
3s^23p4d	^3P°	2	5.0	15.791524		1.278	49	
3s^23p4d	^3D°	1	3.0	15.820280		0.870	61	
3s^23p4d	^1D°	2	5.0	15.839663		1.098	55	
3s^23p4d	^3D°	3	7.0	15.856143		1.33	96	
3s^23p4d	^3P°	0	1.0	15.857522			98	
3s^23p4d	^3P°	1	3.0	15.861806		1.129	62	
