Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2p^63s^2	^1S	0	1.0	0.000000	0		95	L7147
3s3p	^3P°	0	1.0	8.420763				
3s3p	^3P°	1	3.0	8.449087				
3s3p	^3P°	2	5.0	8.507197				
3s3p	^1P°	1	3.0	13.041950			95	
3p^2	^1D	2	5.0	19.607087			71	
3p^2	^3P	0	1.0	20.450132				
3p^2	^3P	1	3.0	20.480378				
3p^2	^3P	2	5.0	20.538483				
3s3d	^3D	1	3.0	23.482375			99	
3s3d	^3D	2	5.0	23.482375			99	
3s3d	^3D	3	7.0	23.482375			99	
3p^2	^1S	0	1.0	24.126302			91	
3s3d	^1D	2	5.0	27.171618			69	
3s4s	^3S	1	3.0	28.131784				
3s4s	^1S	0	1.0	29.012050				
3s4p	^3P°	0	1.0	31.808563				
3s4p	^3P°	1	3.0	31.815829				
3s4p	^3P°	2	5.0	31.834240				
3s4p	^1P°	1	3.0	31.928741				
3p3d	^3F°	2	5.0	32.484513				
3p3d	^3F°	3	7.0	32.514665				
3p3d	^3F°	4	9.0	32.554184				
3p3d	^1D°	2	5.0	33.105669				
3p3d	^3P°	2	5.0	34.842039				
3p3d	^3P°	1	3.0	34.871529				
3p3d	^3P°	0	1.0	34.889144				
3p3d	^3D°	1	3.0	35.106131				
3p3d	^3D°	2	5.0	35.118136				
3p3d	^3D°	3	7.0	35.128329				
3s4f	^1F°	3	7.0	35.996048			50 | 3snf	
3s4d	^3D	1	3.0	36.357491			98	
3s4d	^3D	2	5.0	36.358080			98	
3s4d	^3D	3	7.0	36.359020			98	
3s4d	^1D	2	5.0	36.616083			93	
3s4f	^3F°	2	5.0	37.649121				
3s4f	^3F°	3	7.0	37.649761				
3s4f	^3F°	4	9.0	37.650590				
3p3d	^1P°	1	3.0	38.073482			81	
3s5s	^3S	1	3.0	38.324934				
3s5s	^1S	0	1.0	38.581780				
3p3d	^1F°	3	7.0	38.983569			44 | 3pnd	
3s5p	^1P°	1	3.0	39.289116				
3p4s	^3P°	0	1.0	39.386724				
3p4s	^3P°	1	3.0	39.421695				
3p4s	^3P°	2	5.0	39.471924				
3s5p	^3P°	0	1.0	39.970958				
3s5p	^3P°	1	3.0	39.977340				
3s5p	^3P°	2	5.0	39.990109				
3p4s	^1P°	1	3.0	40.651138				
3s5d	^3D	1	3.0	41.813130				
3s5d	^3D	2	5.0	41.822959				
3s5d	^3D	3	7.0	41.836268				
3s5d	^1D	2	5.0	41.911010				
3p4p	^1P	1	3.0	42.267273				
3s5f	^3F°	2	5.0	42.601416				
3s5f	^3F°	3	7.0	42.601454				
3s5f	^3F°	4	9.0	42.601576				
3s5g	^3G	3	7.0	42.651363				
3s5g	^3G	4	9.0	42.651514				
3s5g	^3G	5	11.0	42.651954				
3s5g	^1G	4	9.0	42.652004				
3p4p	^3D	1	3.0	42.717516				
3p4p	^3D	2	5.0	42.744553				
3p4p	^3D	3	7.0	42.791926				
3s5f	^1F°	3	7.0	42.855783				
3s6s	^3S	1	3.0	42.957067				
3p4p	^3P	0	1.0	43.045196				
3p4p	^3P	1	3.0	43.068886				
3s6s	^1S	0	1.0	43.097204				
3p4p	^3P	2	5.0	43.109846				
3p4p	^3S	1	3.0	43.294815				
3p4p	^1D	2	5.0	43.690717				
3s6p	^3P°	0	1.0	43.848130				
3s6p	^3P°	1	3.0	43.849897				
3s6p	^3P°	2	5.0	43.854141				
3s6p	^1P°	1	3.0	43.919516				
3p4p	^1S	0	1.0	44.598125				
3s6d	^3D	1	3.0	45.011406				
3s6d	^3D	2	5.0	45.011633				
3s6d	^3D	3	7.0	45.012546				
3s6d	^1D	2	5.0	45.099483				
3s6f	^3F°	2	5.0	45.309466				
3s6f	^3F°	3	7.0	45.309541				
3s6f	^3F°	4	9.0	45.309647				
3s6g	^1G	4	9.0	45.324836				
3s6g	^3G	3	7.0	45.325904				
3s6g	^3G	4	9.0	45.326513				
3s6g	^3G	5	11.0	45.326903				
3s6h	^3H°	4	9.0	45.381461				
3s6h	^3H°	5	11.0	45.381461				
3s6h	^3H°	6	13.0	45.381461				
3s6h	^1H°	5	11.0	45.381461				
3s6f	^1F°	3	7.0	45.396364				
3s7s	^3S	1	3.0	45.568612				
3s7s	^1S	0	1.0	45.656032				
3s7p	^3P°	0	1.0	46.056302				
3s7p	^3P°	1	3.0	46.056609				
3s7p	^3P°	2	5.0	46.057960				
3s7p	^1P°	1	3.0	46.070763				
3s7d	^3D	1	3.0	46.74639				
3s7d	^3D	2	5.0	46.746634				
3s7d	^3D	3	7.0	46.748135				
3s7d	^1D	2	5.0	46.764357				
3s7f	^3F°	2	5.0	46.927197				
3s7f	^3F°	3	7.0	46.927197				
3s7f	^3F°	4	9.0	46.927197				
3s7g	^1G	4	9.0	46.929030			50 | 3sng	
3s7g	^3G	3	7.0	46.930902				
3s7g	^3G	4	9.0	46.931985				
3s7g	^3G	5	11.0	46.933245				
3s7f	^1F°	3	7.0	46.933983				
3s7h	^3H°	4	9.0	46.990022				
3s7h	^3H°	5	11.0	46.990022				
3s7h	^3H°	6	13.0	46.990022				
3s7h	^1H°	5	11.0	46.990022				
3s7i	^3I	5	11.0	46.997450				
3s7i	^3I	6	13.0	46.997450				
3s7i	^3I	7	15.0	46.997450				
3s7i	^1I	6	13.0	46.997450				
3s8s	^3S	1	3.0	47.110130				
3p4d	^1D°	2	5.0	47.131978				
3s8s	^1S	0	1.0	47.15312				
3d^2	^3F	2	5.0	47.194239				
3d^2	^3F	3	7.0	47.197460				
3d^2	^3F	4	9.0	47.202353				
3p4d	^3F°	2	5.0	47.268626				
3p4d	^3F°	3	7.0	47.291047				
3p4d	^3D°	1	3.0	47.314205				
3s8p	^3P°	0	1.0	47.32664				
3s8p	^3P°	1	3.0	47.32664				
3s8p	^3P°	2	5.0	47.32664				
3p4d	^3F°	4	9.0	47.328411				
3p4d	^3D°	2	5.0	47.338360				
3p4d	^3D°	3	7.0	47.363536				
3s8p	^1P°	1	3.0	47.41786				
3p4d	^3P°	2	5.0	47.759446				
3p4d	^3P°	1	3.0	47.786605				
3p4d	^3P°	0	1.0	47.801686				
3s8d	^1D	2	5.0	47.83340				
3p4d	^1F°	3	7.0	47.855426				
3s8d	^3D	1	3.0	47.86825				
3s8d	^3D	2	5.0	47.86825				
3s8d	^3D	3	7.0	47.86825				
3s8f	^3F°	2	5.0	48.01512				
3s8f	^3F°	3	7.0	48.01512				
3s8f	^3F°	4	9.0	48.01512				
3s8h	^3H°	4	9.0	48.03438				
3s8h	^3H°	5	11.0	48.03438				
3s8h	^3H°	6	13.0	48.03438				
3s8h	^1H°	5	11.0	48.03438				
3s8i	^3I	5	11.0	48.03960				
3s8i	^3I	6	13.0	48.03960				
3s8i	^3I	7	15.0	48.03960				
3s8i	^1I	6	13.0	48.03960				
3s9s	^3S	1	3.0	48.11561				
3s8f	^1F°	3	7.0	48.121264				
3s9s	^1S	0	1.0	48.14149				
3p4d	^1P°	1	3.0	48.185476				
3d^2	^1D	2	5.0	48.266615			41	
3s9p	^3P°	0	1.0	48.33035				
3s9p	^3P°	1	3.0	48.33035				
3s9p	^3P°	2	5.0	48.33035				
3s9p	^1P°	1	3.0	48.34578				
3s9d	^3D	1	3.0	48.62344				
3s9d	^3D	2	5.0	48.62344				
3s9d	^3D	3	7.0	48.62344				
3s9f	^3F°	2	5.0	48.73333				
3s9f	^3F°	3	7.0	48.73333				
3s9f	^3F°	4	9.0	48.73333				
3s9i	^3I	5	11.0	48.75421				
3s9i	^3I	6	13.0	48.75421				
3s9i	^3I	7	15.0	48.75421				
3s9i	^1I	6	13.0	48.75421				
3s9k	^3K°	6	13.0	48.75543				
3s9k	^3K°	7	15.0	48.75543				
3s9k	^3K°	8	17.0	48.75543				
3s9k	^1K°	7	15.0	48.75543				
3s9f	^1F°	3	7.0	48.78088				
3s10s	^3S	1	3.0	48.80797				
3s10s	^1S	0	1.0	48.82485				
3p(^2P°_1/2)4f	^2[^5/_2]	3	7.0	48.998535				
3p(^2P°_1/2)4f	^2[^5/_2]	2	5.0	48.998535				
3p(^2P°_1/2)4f	^2[^7/_2]	4	9.0	49.005239				
3p(^2P°_1/2)4f	^2[^7/_2]	3	7.0	49.005239				
3d^2	^3P	0	1.0	49.12001				
3d^2	^3P	1	3.0	49.120143				
3d^2	^3P	2	5.0	49.120422				
3s10d	^3D	1	3.0	49.18448				
3s10d	^3D	2	5.0	49.18448				
3s10d	^3D	3	7.0	49.18448				
3s10f	^3F°	2	5.0	49.24924				
3s10f	^3F°	3	7.0	49.24924				
3s10f	^3F°	4	9.0	49.24924				
3s10f	^1F°	3	7.0	49.28045				
3s11d	^3D	1	3.0	49.57772				
3s11d	^3D	2	5.0	49.57772				
3s11d	^3D	3	7.0	49.57772				
3s11f	^3F°	2	5.0	49.63065				
3s11f	^3F°	3	7.0	49.63065				
3s11f	^3F°	4	9.0	49.63065				
3s12d	^3D	1	3.0	49.88006				
3s12d	^3D	2	5.0	49.88006				
3s12d	^3D	3	7.0	49.88006				
3s12f	^3F°	2	5.0	49.92089				
3s12f	^3F°	3	7.0	49.92089				
3s12f	^3F°	4	9.0	49.92089				
