Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3s^23p^3	^4S°	^3/_2	4.0	0.000000	0			L7147
3s^23p^3	^2D°	^3/_2	4.0	1.408587				
3s^23p^3	^2D°	^5/_2	6.0	1.410522				
3s^23p^3	^2P°	^1/_2	2.0	2.321320				
3s^23p^3	^2P°	^3/_2	4.0	2.324457				
3s^23p^2(^3P)4s	^4P	^1/_2	2.0	6.9356043			98	
3s^23p^2(^3P)4s	^4P	^3/_2	4.0	6.9543513			98	
3s^23p^2(^3P)4s	^4P	^5/_2	6.0	6.9852271			98	
3s^23p^2(^3P)4s	^2P	^1/_2	2.0	7.1757806			98	
3s^23p^2(^3P)4s	^2P	^3/_2	4.0	7.2127021			98	
3s3p^4	^4P	^5/_2	6.0	7.3813433			70	
3s3p^4	^4P	^3/_2	4.0	7.4038306			70	
3s3p^4	^4P	^1/_2	2.0	7.4167807			70	
3s^23p^2(^3P)4p	^2S°	^1/_2	2.0	7.9646942				
3s^23p^2(^1D)4s	^2D	^3/_2	4.0	8.0783444			98	
3s^23p^2(^1D)4s	^2D	^5/_2	6.0	8.0784540			98	
3s^23p^2(^3P)4p	^4D°	^1/_2	2.0	8.1052879				
3s^23p^2(^3P)4p	^4D°	^3/_2	4.0	8.1147813				
3s^23p^2(^3P)4p	^4D°	^5/_2	6.0	8.1315198				
3s^23p^2(^3P)4p	^4D°	^7/_2	8.0	8.1567289				
3s^23p^2(^3P)4p	^4P°	^1/_2	2.0	8.2255380				
3s^23p^2(^3P)4p	^4P°	^3/_2	4.0	8.2276264				
3s^23p^2(^3P)4p	^4P°	^5/_2	6.0	8.2504346				
3s^23p^2(^3P)4p	^2D°	^3/_2	4.0	8.2837898				
3s^23p^2(^3P)4p	^4S°	^3/_2	4.0	8.2864403				
3s^23p^2(^3P)4p	^2D°	^5/_2	6.0	8.3210594				
3s^23p^2(^3P)3d	^2P	^3/_2	4.0	8.4196598			85	
3s^23p^2(^3P)4p	^2P°	^1/_2	2.0	8.4273389				
3s^23p^2(^3P)4p	^2P°	^3/_2	4.0	8.4418455				
3s^23p^2(^3P)3d	^2P	^1/_2	2.0	8.4466228			86	
3s^23p^2(^3P)3d	^4F	^3/_2	4.0	8.4536377			96	
3s^23p^2(^3P)3d	^4F	^5/_2	6.0	8.4634281			95	
3s^23p^2(^3P)3d	^4F	^7/_2	8.0	8.4777261			95	
3s^23p^2(^3P)3d	^4F	^9/_2	10.0	8.4969660			96	
3s^23p^2(^3P)3d	^4D	^1/_2	2.0	8.6637719			99	
3s^23p^2(^3P)3d	^4D	^3/_2	4.0	8.6657896			98	
3s^23p^2(^3P)3d	^4D	^5/_2	6.0	8.6695273			94	
3s^23p^2(^3P)3d	^4D	^7/_2	8.0	8.6764238			95	
3s^23p^2(^3P)3d	^2F	^5/_2	6.0	8.7274710			94	
3s^23p^2(^3P)3d	^2F	^7/_2	8.0	8.7643815			94	
3s3p^4	^2D	^5/_2	6.0	8.8237358			34	
3s3p^4	^2D	^3/_2	4.0	8.8280443			34	
3s^23p^2(^3P)5s	^4P	^1/_2	2.0	8.9737283			98	
3s^23p^2(^3P)3d	^4P	^5/_2	6.0	8.9747632			51	
3s^23p^2(^3P)3d	^4P	^3/_2	4.0	8.9880864			81	
3s^23p^2(^3P)5s	^4P	^3/_2	4.0	8.9978308			97	
3s^23p^2(^3P)3d	^4P	^1/_2	2.0	9.0034584			82	
3s^23p^2(^3P)3d	^2D	^3/_2	4.0	9.0188348			64	
3s^23p^2(^3P)5s	^4P	^5/_2	6.0	9.0269427			100	
3s^23p^2(^3P)3d	^2D	^5/_2	6.0	9.0365716			40	
3s^23p^2(^3P)5s	^2P	^1/_2	2.0	9.0438789			95	
3s^23p^2(^3P)5s	^2P	^3/_2	4.0	9.0818185			94	
3s^23p^2(^1D)4p	^2D°	^3/_2	4.0	9.2085171				
3s^23p^2(^1D)4p	^2D°	^5/_2	6.0	9.2122086				
3s^23p^2(^1D)4p	^2F°	^5/_2	6.0	9.2638052				
3s^23p^2(^1D)4p	^2F°	^7/_2	8.0	9.2665525				
3s^23p^2(^3P)5p	^2S°	^1/_2	2.0	9.3117617				
3s^23p^2(^3P)5p	^4D°	^1/_2	2.0	9.3349261				
3s^23p^2(^3P)5p	^4D°	^3/_2	4.0	9.3423968				
3s^23p^2(^1D)4p	^2P°	^1/_2	2.0	9.3553237				
3s^23p^2(^3P)5p	^4D°	^5/_2	6.0	9.3588801				
3s^23p^2(^1D)4p	^2P°	^3/_2	4.0	9.3594313				
3s^23p^2(^3P)4d	^2P	^3/_2	4.0	9.382639			80	
3s^23p^2(^3P)5p	^4P°	^3/_2	4.0	9.3842750				
3s^23p^2(^3P)5p	^4P°	^1/_2	2.0	9.3855829				
3s^23p^2(^3P)5p	^4D°	^7/_2	8.0	9.3862983				
3s^23p^2(^3P)4d	^2P	^1/_2	2.0	9.399703			79	
3s^23p^2(^3P)4d	^2F	^5/_2	6.0	9.402116			65	
3s^23p^2(^3P)5p	^4P°	^5/_2	6.0	9.4110345				
3s^23p^2(^3P)4d	^4F	^3/_2	4.0	9.416534			91	
3s^23p^2(^3P)4d	^2F	^7/_2	8.0	9.417452			58	
3s^23p^2(^3P)5p	^4S°	^3/_2	4.0	9.4254773				
3s^23p^2(^3P)4d	^4F	^5/_2	6.0	9.428501			82	
3s^23p^2(^3P)4d	^4F	^7/_2	8.0	9.444292			81	
3s^23p^2(^3P)5p	^2D°	^3/_2	4.0	9.4466287				
3s^23p^2(^3P)4d	^4F	^9/_2	10.0	9.462227			94	
3s^23p^2(^3P)5p	^2D°	^5/_2	6.0	9.4755201				
3s^23p^2(^3P)4d	^4D	^1/_2	2.0	9.493035			96	
3s^23p^2(^3P)4d	^4D	^3/_2	4.0	9.495418			94	
3s^23p^2(^3P)4d	^4D	^5/_2	6.0	9.500649			91	
3s^23p^2(^3P)4d	^4D	^7/_2	8.0	9.510756			90	
3s^23p^2(^3P)5p	^2P°	^1/_2	2.0	9.5173096				
3s^23p^2(^3P)5p	^2P°	^3/_2	4.0	9.5313163				
3s^23p^2(^1S)4s	^2S	^1/_2	2.0	9.535904			71	
3s^23p^2(^3P_0)4f	^2[3]°	^5/_2	6.0	9.6279384				
3s^23p^2(^3P_0)4f	^2[3]°	^7/_2	8.0	9.6280320				
3s^23p^2(^3P)4d	^4P	^5/_2	6.0	9.637748			64	
3s^23p^2(^3P)6s	^4P	^1/_2	2.0	9.642189			85	
3s^23p^2(^3P_1)4f	^2[3]°	^5/_2	6.0	9.6439671				
3s^23p^2(^3P_1)4f	^2[3]°	^7/_2	8.0	9.6440790				
3s^23p^2(^3P_1)4f	^2[4]°	^9/_2	10.0	9.6497280				
3s^23p^2(^3P_1)4f	^2[4]°	^7/_2	8.0	9.6498257				
3s^23p^2(^3P)4d	^2D	^3/_2	4.0	9.650155			90	
3s^23p^2(^3P_1)4f	^2[2]°	^3/_2	4.0	9.6513411				
3s^23p^2(^3P_1)4f	^2[2]°	^5/_2	6.0	9.6514236				
3s^23p^2(^3P)4d	^4P	^3/_2	4.0	9.656982			86	
3s^23p^2(^3P)6s	^4P	^3/_2	4.0	9.663645			93	
3s^23p^2(^3P)4d	^2D	^5/_2	6.0	9.664159			66	
3s^23p^2(^3P)4d	^4P	^1/_2	2.0	9.66649			81	
3s^23p^2(^3P)6s	^2P	^1/_2	2.0	9.676851			90	
3s^23p^2(^3P_2)4f	^2[1]°	^3/_2	4.0	9.6793360				
3s^23p^2(^3P_2)4f	^2[1]°	^1/_2	2.0	9.6793565				
3s^23p^2(^3P_2)4f	^2[5]°	^11/_2	12.0	9.6832767				
3s^23p^2(^3P_2)4f	^2[5]°	^9/_2	10.0	9.6835375				
3s^23p^2(^3P_2)4f	^2[2]°	^3/_2	4.0	9.6872168				
3s^23p^2(^3P_2)4f	^2[2]°	^5/_2	6.0	9.6873166				
3s^23p^2(^3P_2)4f	^2[3]°	^7/_2	8.0	9.6918411				
3s^23p^2(^3P_2)4f	^2[3]°	^5/_2	6.0	9.6918801				
3s^23p^2(^3P_2)4f	^2[4]°	^9/_2	10.0	9.6928434				
3s^23p^2(^3P_2)4f	^2[4]°	^7/_2	8.0	9.6930458				
3s^23p^2(^3P)6s	^4P	^5/_2	6.0	9.696970			100	
3s^23p^2(^1D)3d	^2F	^5/_2	6.0	9.712902			56	
3s^23p^2(^3P)6s	^2P	^3/_2	4.0	9.715253			90	
3s^23p^2(^1D)3d	^2F	^7/_2	8.0	9.723995			54	
3s^23p^2(^1D)3d	^2G	^9/_2	10.0	9.740831			100	
3s^23p^2(^1D)3d	^2G	^7/_2	8.0	9.742673			100	
3s^23p^2(^3P)6p	^2S°	^1/_2	2.0	9.800217				
3s^23p^2(^3P)6p	^4D°	^3/_2	4.0	9.807165				
3s^23p^2(^3P)5d	^2P	^3/_2	4.0	9.809901			47	
3s^23p^2(^3P)6p	^4D°	^1/_2	2.0	9.810825				
3s^23p^2(^3P)5d	^2P	^1/_2	2.0	9.821974			40	
3s^23p^2(^3P)6p	^4D°	^5/_2	6.0	9.823264				
3s^23p^2(^3P)6p	^4P°	^3/_2	4.0	9.831603				
3s^23p^2(^3P)5d	^4F	^3/_2	4.0	9.836829			87	
3s^23p^2(^3P)5d	^4F	^5/_2	6.0	9.844606			80	
3s^23p^2(^3P)6p	^2D°	^3/_2	4.0	9.846252				
3s^23p^2(^3P)6p	^4D°	^7/_2	8.0	9.854864				
3s^23p^2(^3P)5d	^4F	^7/_2	8.0	9.858647			77	
3s^23p^2(^3P)6p	^4P°	^5/_2	6.0	9.864430				
3s^23p^2(^3P)6p	^4S°	^3/_2	4.0	9.871799				
3s^23p^2(^3P)6p	^2P°	^1/_2	2.0	9.880306				
3s^23p^2(^3P)5d	^4D	^1/_2	2.0	9.881118			92	
3s^23p^2(^3P)6p	^2D°	^5/_2	6.0	9.882955				
3s^23p^2(^3P)5d	^4D	^3/_2	4.0	9.883833			85	
3s^23p^2(^3P)5d	^4F	^9/_2	10.0	9.884107			93	
3s^23p^2(^3P)5d	^4D	^5/_2	6.0	9.889199			71	
3s^23p^2(^3P)6p	^2P°	^3/_2	4.0	9.897693				
3s^23p^2(^3P)5d	^4D	^7/_2	8.0	9.901838			80	
3s^23p^2(^3P_0)5f	^2[3]°	^5/_2	6.0	9.937867				
3s^23p^2(^3P_0)5f	^2[3]°	^7/_2	8.0	9.937939				
3s^23p^2(^3P)5d	^2F	^5/_2	6.0	9.941461			69	
3s^23p^2(^3P)7s	^4P	^1/_2	2.0	9.946069				
3s^23p^2(^3P)5d	^2D	^3/_2	4.0	9.955858			69	
3s^23p^2(^3P_1)5f	^2[3]°	^5/_2	6.0	9.955904				
3s^23p^2(^3P_1)5f	^2[3]°	^7/_2	8.0	9.955987				
3s^23p^2(^3P)5d	^4P	^5/_2	6.0	9.956974			44	
3s^23p^2(^3P_1)5f	^2[4]°	^9/_2	10.0	9.958990				
3s^23p^2(^3P_1)5f	^2[4]°	^7/_2	8.0	9.959084				
3s^23p^2(^3P_1)5f	^2[2]°	^3/_2	4.0	9.960166				
3s^23p^2(^3P_1)5f	^2[2]°	^5/_2	6.0	9.960252				
3s^23p^2(^3P)7s	^2P	^1/_2	2.0	9.964939				
3s^23p^2(^3P)7s	^4P	^3/_2	4.0	9.965911				
3s^23p^2(^3P)5d	^4P	^3/_2	4.0	9.971587			84	
3s^23p^2(^3P)5d	^2F	^7/_2	8.0	9.975914			88	
3s^23p^2(^3P)5d	^4P	^1/_2	2.0	9.981738			89	
3s^23p^2(^3P)5d	^2D	^5/_2	6.0	9.982843			45	
3s^23p^2(^1D)3d	^2P	^3/_2	4.0	9.986775			44	
3s^23p^2(^3P_2)5f	^2[1]°	^3/_2	4.0	9.992405				
3s^23p^2(^3P_2)5f	^2[1]°	^1/_2	2.0	9.992407				
3s^23p^2(^3P_2)5f	^2[5]°	^11/_2	12.0	9.994299				
3s^23p^2(^3P_2)5f	^2[5]°	^9/_2	10.0	9.994510				
3s^23p^2(^3P_2)5f	^2[2]°	^3/_2	4.0	9.995845				
3s^23p^2(^3P_2)5f	^2[2]°	^5/_2	6.0	9.995909				
3s^23p^2(^3P_2)5f	^2[3]°	^7/_2	8.0	9.998448				
3s^23p^2(^3P_2)5f	^2[3]°	^5/_2	6.0	9.998478				
3s^23p^2(^3P_2)5f	^2[4]°	^9/_2	10.0	9.998971				
3s^23p^2(^3P_2)5f	^2[4]°	^7/_2	8.0	9.999127				
3s^23p^2(^1D)3d	^2S	^1/_2	2.0	9.999972			69	
3s^23p^2(^1D)3d	^2P	^1/_2	2.0	10.002154			44	
3s^23p^2(^3P)7s	^4P	^5/_2	6.0	10.002958				
3s^23p^2(^3P)7s	^2P	^3/_2	4.0	10.019179				
3s^23p^2(^3P)6d	^4F	^3/_2	4.0	10.051392			64	
3s^23p^2(^3P)6d	^4F	^5/_2	6.0	10.058049			66	
3s^23p^2(^3P)6d	^4F	^7/_2	8.0	10.071703			65	
3s^23p^2(^3P)6d	^2P	^3/_2	4.0	10.077097			60	
3s^23p^2(^3P)6d	^4D	^1/_2	2.0	10.077912			57	
3s^23p^2(^1D)5s	^2D	^5/_2	6.0	10.079506			84	
3s^23p^2(^1D)5s	^2D	^3/_2	4.0	10.080264			87	
3s^23p^2(^3P)6d	^4D	^5/_2	6.0	10.092631			22	
3s^23p^2(^3P)6d	^4D	^3/_2	4.0	10.094267			66	
3s^23p^2(^3P)6d	^4F	^9/_2	10.0	10.100710			95	
3s^23p^2(^3P_0)6f	^2[3]°	^5/_2	6.0	10.106021				
3s^23p^2(^3P_0)6f	^2[3]°	^7/_2	8.0	10.106056				
3s^23p^2(^3P)6d	^2P	^1/_2	2.0	10.106786			52	
3s^23p^2(^3P)6d	^2F	^5/_2	6.0	10.107465			53	
3s^23p^2(^3P_0)6g	^2[4]	^7/_2	8.0	10.1081294				
