Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^3	^4I°	^9/_2	10.0	0.000000	0		97	L3974
4f^3	^4I°	^11/_2	12.0	0.173372			99	
4f^3	^4I°	^13/_2	14.0	0.358704			100	
4f^3	^4I°	^15/_2	16.0	0.552196			99	
4f^3	^4F°	^3/_2	4.0	1.161814			95	
4f^3	^2H2°	^9/_2	10.0	1.243924			60	
4f^3	^4F°	^5/_2	6.0	1.256974			98	
4f^3	^4F°	^7/_2	8.0	1.346352			93	
4f^3	^4S°	^3/_2	4.0	1.357657			95	
4f^3	^4F°	^9/_2	10.0	1.458264			79	
4f^3	^2H2°	^11/_2	12.0	1.549137			82	
4f^2(^3H)5d	^2H	^9/_2	10.0	1.592783			52	
4f^2(^3H)5d	^4K	^11/_2	12.0	1.655449			80	
4f^3	°	^7/_2	8.0	1.721843			41 | ^2G1°	
4f^3	^4G°	^5/_2	6.0	1.759007			99	
4f^2(^3H)5d	^4I	^9/_2	10.0	1.805064			59	
4f^2(^3H)5d	^2H	^11/_2	12.0	1.842400			46	
4f^2(^3H)5d	^4G	^5/_2	6.0	1.865441			50	
4f^3	^4G°	^7/_2	8.0	1.914747			75	
4f^2(^3H)5d	^4K	^13/_2	14.0	1.916072			95	
4f^2(^3H)5d	^4I	^11/_2	12.0	1.924917			68	
4f^3	^4G°	^9/_2	10.0	1.947188			55	
4f^3	^2K°	^13/_2	14.0	1.994799			99	
4f^2(^3H)5d	^4H	^7/_2	8.0	2.000605			76	
4f^2(^3H)5d	^4G	^7/_2	8.0	2.047742			57	
4f^3	°	^9/_2	10.0	2.078469			43 | ^4G°	
4f^3	^2D1°	^3/_2	4.0	2.119588			50	
4f^2(^3H)5d	^4I	^13/_2	14.0	2.121765			98	
4f^3	^4G°	^11/_2	12.0	2.158513			95	
4f^2(^3H)5d	^4K	^15/_2	16.0	2.174033			100	
4f^2(^3H)5d	^4H	^9/_2	10.0	2.185469			76	
4f^3	^2K°	^15/_2	16.0	2.187337			96	
4f^2(^3H)5d	^4G	^9/_2	10.0	2.239571			56	
4f^2(^3H)5d		^5/_2	6.0	2.257970			34 | ^2F	
4f^2(^3H)5d	^2I	^11/_2	12.0	2.261663			47	
4f^3	^2P°	^1/_2	2.0	2.317717			95	
4f^2(^3H)5d	^4I	^15/_2	16.0	2.345935			98	
4f^2(^3F)5d	^4H	^7/_2	8.0	2.354470			88	
4f^3	^2D1°	^5/_2	6.0	2.361414			98	
4f^2(^3H)5d	^4H	^11/_2	12.0	2.394002			85	
4f^2(^3H)5d	^2I	^13/_2	14.0	2.400346			50	
4f^2(^3H)5d	^4K	^17/_2	18.0	2.436249			100	
4f^2(^3H)5d	^4G	^11/_2	12.0	2.442600			52	
4f^2(^3H)5d		^7/_2	8.0	2.463867			33 | ^2F	
4f^2(^3H)5d	^4F	^3/_2	4.0	2.499566			78	
4f^2(^3F)5d	^4H	^9/_2	10.0	2.518820			89	
4f^2(^3H)5d	^4F	^5/_2	6.0	2.584871			41	
4f^3	^2P°	^3/_2	4.0	2.585921			53	
4f^2(^3F)5d	^4P	^3/_2	4.0	2.622071			60	
4f^2(^3H)5d	^4H	^13/_2	14.0	2.633273			77	
4f^2(^3H)5d	^2G	^7/_2	8.0	2.640230			38	
4f^2(^3F)5d	^4G	^5/_2	6.0	2.655598			40	
4f^2(^1G)5d		^9/_2	10.0	2.670021			33 | ^2H	
4f^2(^3F)5d	^4P	^5/_2	6.0	2.679446			39	
4f^2(^3F)5d	^4H	^11/_2	12.0	2.697380			88	
4f^2(^3F)5d	^4G	^7/_2	8.0	2.737688			40	
4f^2(^3F)5d		^3/_2	4.0	2.762078			30 | ^4D	
4f^2(^3H)5d		^7/_2	8.0	2.793079			22 | ^4F	
