Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^3(^4I°_9/2)6s_1/2	(^9/_2,^1/_2)°	4	9.0	0.000000	0	0.604	97 | or	L3974
4f^3(^4I°_9/2)6s_1/2	(^9/_2,^1/_2)°	5	11.0	0.054795		0.875	90 | or	
4f^3(^4I°_11/2)6s_1/2	(^11/_2,^1/_2)°	6	13.0	0.204451		1.064	94 | or	
4f^3(^4I°_11/2)6s_1/2	(^11/_2,^1/_2)°	5	11.0	0.216194		0.860	91 | or	
4f^3(^4I°_13/2)6s_1/2	(^13/_2,^1/_2)°	7	15.0	0.371749		1.177	98 | or	
4f^3(^4I°_13/2)6s_1/2	(^13/_2,^1/_2)°	6	13.0	0.421944		1.037	95 | or	
4f^3(^4I°)5d	^5L°	6	13.0	0.482728		0.726	94	
4f^3(^4I°)5d	^5K°	5	11.0	0.508038		0.686	90	
4f^3(^4I°_15/2)6s_1/2	(^15/_2,^1/_2)°	8	17.0	0.550136		1.250	99 | or	
4f^3(^4I°_15/2)6s_1/2	(^15/_2,^1/_2)°	7	15.0	0.629759		1.143	97 | or	
4f^3(^4I°)5d	^5L°	7	15.0	0.633361		0.908	95	
4f^3(^4I°)5d	^5K°	6	13.0	0.648006		0.911	95	
4f^2(^3H)5d^2(^3F)	^5L	6	13.0	0.725879		0.71		
4f^3(^4I°)5d	^5K°	7	15.0	0.795226		1.05	96	
4f^3(^4I°)5d	^5L°	8	17.0	0.795710		1.05	97	
4f^2(^3H)5d^2(^3F)?	^5I?	4	9.0	0.896157		0.62		
4f^3(^4I°)5d	^3I°	5	11.0	0.922223		0.880	59	
4f^3(^4I°)5d	^5I°	4	9.0	0.923240		0.631	89	
4f^3(^4I°)5d	^5K°	8	17.0	0.949689		1.15	96	
4f^3(^4I°)5d	^5H°	3	7.0	0.960167		0.52	73	
4f^3(^4I°)5d	^5L°	9	19.0	0.967772		1.12	98	
4f^25d6s?	^5I	4	9.0	0.971098		0.61		
4f^2(^3H)5d6s(^3D)?		5	11.0	0.978049		0.79		
4f^3(^4I°)5d	^5H°	4	9.0	1.004237		0.830	40	
4f^2(^3H)5d6s(^3D)?	^5K?	6	13.0	1.009314		0.95		
4f^25d6s?		5	11.0	1.016398		0.78		
4f^2(^3H)5d6s(^3D)?	^5K?	5	11.0	1.038918		0.66?		
4f^3(^4I°)5d	^3I°	6	13.0	1.049531		1.035	47	
4f^2(^3H)5d^2(^3F)?	^5I?	5	11.0	1.051118		0.96:		
