Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^2	^3H	4	9.0	0.000000	0		97	L3974
4f^2	^3H	5	11.0	0.266825			100	
4f^2	^3H	6	13.0	0.544178			100	
4f^2	^3F	2	5.0	0.619501			98	
4f^2	^3F	3	7.0	0.795388			100	
4f^2	^3F	4	9.0	0.849881			66	
4f^2	^1G	4	9.0	1.230077			65	
4f^2	^1D	2	5.0	2.149190			90	
4f^2	^3P	0	1.0	2.651998			99	
4f^2	^3P	1	3.0	2.728577			100	
4f^2	^1I	6	13.0	2.753880			100	
4f^2	^3P	2	5.0	2.871550			92	
4f5d	^1G°	4	9.0	7.584231			63 | or	
4f5d	^3F°	2	5.0	7.619756			69 | or	
4f5d	^3G°	3	7.0	7.855135			77 | or	
4f5d	^3H°	4	9.0	7.882988			68 | or	
4f5d	^3F°	3	7.0	7.950306			82 | or	
4f5d	^3H°	5	11.0	8.088653			100 | or	
4f5d	^1D°	2	5.0	8.098855			61 | or	
4f5d	^3G°	4	9.0	8.138317			87 | or	
4f5d	^3F°	4	9.0	8.247182			73 | or	
4f5d	^3D°	1	3.0	8.302939			95 | or	
4f5d	^3G°	5	11.0	8.418443			98 | or	
4f5d	^3H°	6	13.0	8.440575			100 | or	
4f5d	^3D°	2	5.0	8.481946			92 | or	
4f5d	^3D°	3	7.0	8.492368			67 | or	
4f5d	^3P°	1	3.0	8.772543			93 | or	
4f5d	^3P°	0	1.0	8.783404			100 | or	
4f5d	^1F°	3	7.0	8.892738			65 | or	
4f5d	^3P°	2	5.0	8.949812			94 | or	
4f5d	^1H°	5	11.0	9.331753			98 | or	
4f5d	^1P°	1	3.0	9.767026			92 | or	
4f(^2F°_5/2)6s_1/2	(^5/_2,^1/_2)°	2	5.0	12.430467			100 | or	
4f(^2F°_5/2)6s_1/2	(^5/_2,^1/_2)°	3	7.0	12.465849			99 | or	
4f(^2F°_7/2)6s_1/2	(^7/_2,^1/_2)°	4	9.0	12.804019			100 | or	
4f(^2F°_7/2)6s_1/2	(^7/_2,^1/_2)°	3	7.0	12.863826			99 | or	
4f(^2F°_5/2)6p_1/2	(^5/_2,^1/_2)	3	7.0	16.967343			98 | or	
4f(^2F°_5/2)6p_1/2	(^5/_2,^1/_2)	2	5.0	17.007537			94 | or	
5d^2	^3F?	2?	5.0	17.32206				
4f(^2F°_7/2)6p_1/2	(^7/_2,^1/_2)	3	7.0	17.342328			93 | or	
4f(^2F°_7/2)6p_1/2	(^7/_2,^1/_2)	4	9.0	17.385798			96 | or	
4f(^2F°_5/2)6p_3/2	(^5/_2,^3/_2)	3	7.0	17.513265			94 | or	
4f(^2F°_5/2)6p_3/2	(^5/_2,^3/_2)	2	5.0	17.646868			95 | or	
4f(^2F°_5/2)6p_3/2	(^5/_2,^3/_2)	4	9.0	17.675924			93 | or	
4f(^2F°_5/2)6p_3/2	(^5/_2,^3/_2)	1	3.0	17.729408			100 | or	
4f(^2F°_7/2)6p_3/2	(^7/_2,^3/_2)	4	9.0	17.968451			90 | or	
4f(^2F°_7/2)6p_3/2	(^7/_2,^3/_2)	3	7.0	17.970675			94 | or	
4f(^2F°_7/2)6p_3/2	(^7/_2,^3/_2)	5	11.0	18.012573			100 | or	
5d^2	^3F?	4	9.0	18.02268				
4f(^2F°_7/2)6p_3/2	(^7/_2,^3/_2)	2	5.0	18.173248			99 | or	
4f(^2F°_5/2)6d_3/2	(^5/_2,^3/_2)°	2	5.0	23.96993			93 | or	
4f(^2F°_5/2)6d_3/2	(^5/_2,^3/_2)°	4	9.0	24.00356			98 | or	
4f(^2F°_5/2)6d_3/2	(^5/_2,^3/_2)°	3	7.0	24.02877			83 | or	
4f(^2F°_5/2)6d_5/2	(^5/_2,^5/_2)°	4	9.0	24.05569			98 | or	
4f(^2F°_5/2)6d_5/2	(^5/_2,^5/_2)°	5	11.0	24.14930?			91 | or	
5d6p	^3F°	4	9.0	24.29061				
