Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^36s^2	^4I°	^9/_2	10.0	0.000000	0	0.73104	97	L3974
4f^36s^2	^4I°	^11/_2	12.0	0.170677		0.96515	99	
4f^36s^2	^4I°	^13/_2	14.0	0.352952		1.10632	99	
4f^36s^2	^4I°	^15/_2	16.0	0.543187		1.19799	99	
4f^2(^3H)5d6s^2	^4I	^9/_2	10.0	0.549525		0.805		
4f^2(^3H)5d6s^2	^4K	^11/_2	12.0	0.603374		0.785		
4f^2(^3H)5d6s^2	^2H	^9/_2	10.0	0.721944		0.855		
4f^2(^3H)5d6s^2	^4I	^11/_2	12.0	0.782741		0.96		
4f^2(^3H)5d6s^2	^4H	^7/_2	8.0	0.810300		0.68		
4f^2(^3H)5d6s^2	^4K	^13/_2	14.0	0.818742		0.96		
4f^2(^3H)5d^2(^3F) (^5L)6s	^6L	^11/_2	12.0	0.832457		0.81		
4f^2(^3H)5d6s^2	^2H	^11/_2	12.0	0.854617		0.85		
4f^25d6s^2	^4G	^7/_2	8.0	0.944442		0.95		
4f^2(^3H)5d^2(^3F) (^5L)6s	^6L	^13/_2	14.0	0.946019		0.87		
4f^2(^3H)5d6s^2	^4I	^13/_2	14.0	0.985837		1.09		
4f^25d^26s	^6I	^7/_2	8.0	0.993503		0.46		
4f^2(^3H)5d6s^2	^4H	^9/_2	10.0	0.995499		0.965		
4f^3(^4I°)5d6s(^3D)	^6L°	^11/_2	12.0	1.001853		0.63	95	
4f^3(^4I°)5d6s(^3D)	^6K°	^9/_2	10.0	1.022897		0.56	93	
4f^2(^3H)5d^2(^3F) (^5K)6s	^6K	^9/_2	10.0	1.031582		0.54		
4f^2(^3H)5d6s^2	^4K	^15/_2	16.0	1.036993†		1.06?		
4f^25d^26s	^6I	^9/_2	10.0	1.071698				
4f^3(^4I°)5d6s(^3D)	^6L°	^13/_2	14.0	1.082816		0.85	84	
4f^2(^3H)5d^2(^3F) (^5K)6s	^6K	^11/_2	12.0	1.094664		0.85		
4f^3(^4I°)5d6s(^3D)	^6K°	^11/_2	12.0	1.095452		0.84	83	
4f^25d^26s	^6I	^11/_2	12.0	1.149179		1.040		
4f^2(^3H)5d^2(^3F) (^5K)6s	^6K	^13/_2	14.0	1.173440		1.01		
4f^2(^3H)5d^2(^3F) (^5K)6s	^6K	^11/_2	12.0	1.175804				
4f^3(^4I°)5d6s(^3D)	^6L°	^15/_2	16.0	1.196063		0.98	85	
