Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5d^9	^2D	^5/_2	6.0	0.0000000	0.0000000		91	L10146
5d^86s	^4F	^9/_2	10.0	0.5934693	0.0000007		97	L10146
5d^9	^2D	^3/_2	4.0	1.0439271	0.0000005		63	L10146
5d^86s	^4F	^7/_2	8.0	1.1600354	0.0000006		68	L10146
5d^86s	^4P	^5/_2	6.0	1.6526197	0.0000006		36	L10146
5d^9	^2D	^3/_2	4.0	1.9578728	0.0000006		32	L10146
5d^86s	^4F	^5/_2	6.0	2.0855300	0.0000007		60	L10146
5d^86s	^2F	^7/_2	8.0	2.2438368	0.0000007		64	L10146
5d^86s	^4F	^3/_2	4.0	2.6245879	0.0000009		40	L10146
5d^86s	^4P	^1/_2	2.0	2.6926027	0.0000010		87	L10146
5d^86s	^2F	^5/_2	6.0	2.9088612	0.0000007		48	L10146
5d^86s	^4P	^3/_2	4.0	2.9601934	0.0000009		56	L10146
5d^76s^2	^4F	^9/_2	10.0	3.0846676	0.0000007		68	L10146
5d^86s	^2P	^1/_2	2.0	3.3792786	0.0000009		78	L10146
5d^86s	^2G	^7/_2	8.0	3.5993269	0.0000007		88	L10146
5d^86s	^2G	^9/_2	10.0	3.6280268	0.0000007		79	L10146
5d^86s	^2D	^3/_2	4.0	3.9968848	0.0000007		53	L10146
5d^86s	^2D	^5/_2	6.0	4.0813869	0.0000009		36	L10146
5d^76s^2	^4F	^7/_2	8.0	4.2957135	0.0000011		95	L10146
5d^76s^2	^4F	^5/_2	6.0	4.5234481	0.0000009		56	L10146
5d^76s^2	^4F	^3/_2	4.0	4.6962555	0.0000009		44	L10146
5d^76s^2	^4P	^5/_2	6.0	5.1371760	0.0000014		76	L11531
5d^76s^2	^4P	^3/_2	4.0	5.2112904	0.0000019		50	L11531
5d^76s^2	^2G	^9/_2	10.0	5.4227503	0.0000020		53	L11531
5d^76s^2	^4P	^1/_2	2.0	5.7090336	0.0000025		77	L11531
5d^76s^2	^2H	^11/_2	12.0	6.0245297	0.0000022		100	L11531
5d^76s^2	^2G	^7/_2	8.0	6.2692177	0.0000020		80	L11531
5d^8(^3F)6p	(4,^1/_2)°	^7/_2	8.0	6.3738309	0.0000007		or	L10146,L9479
5d^86s	^2S	^1/_2	2.0	6.646803	0.000005		77	L9479,L11531
5d^76s^2	^4P	^3/_2	4.0	6.6641075	0.0000022		50	L11531
5d^8(^3F)6p	(4,^1/_2)°	^9/_2	10.0	6.6797160	0.0000007		or	L10146,L9479
5d^76s^2	^2D3	^5/_2	6.0	6.7414572	0.0000022		54	L11531
5d^8(^3P)6p	(2,^1/_2)°	^3/_2	4.0	7.0160150	0.0000005			L10146,L9479
5d^8(^3P)6p	(2,^1/_2)°	^5/_2	6.0	7.0693528	0.0000005			L10146,L9479
5d^76s^2	^2F	^5/_2	6.0	7.1987827	0.0000017		82	L11531
5d^76s^2	^2H	^9/_2	10.0	7.251995	0.000003		68	L11531
5d^8(^3F)6p	(4,^3/_2)°	^9/_2	10.0	7.5515948	0.0000010		or	L10146,L9479
5d^76s^2	^2P	^1/_2	2.0	7.561406	0.000004		66	L11531
5d^8(^3F)6p	(4,^3/_2)°	^11/_2	12.0	7.5702919	0.0000007		or	L10146,L9479
5d^8(^3F)6p	(4,^3/_2)°	^5/_2	6.0	7.5866019	0.0000006		or	L10146,L9479
