Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5d^7	^4F	^9/_2	10.0	0.000000	0.000016		83	L19453,L8672
5d^7	^2P	^3/_2	4.0	1.142504	0.000016		38	L19453
5d^7	^4F	^7/_2	8.0	1.186179	0.000015		95	L19453
5d^7	^4F	^5/_2	6.0	1.295991	0.000015		51	L19453
5d^7	^4F	^3/_2	4.0	1.926626	0.000017		49	L19453
5d^7	^4P	^5/_2	6.0	2.004744	0.000014		71	L19453
5d^7	^2G	^9/_2	10.0	2.276527	0.000016		57	L19453
5d^7	^4P	^1/_2	2.0	2.433184	0.000022		69	L19453
5d^7	^2H	^11/_2	12.0	3.029859	0.000017		99	L19453
5d^7	^2G	^7/_2	8.0	3.074900	0.000015		80	L19453
5d^7	^4P	^3/_2	4.0	3.455464	0.000016		36	L19453
5d^7	^2D2	^5/_2	6.0	3.565202	0.000016		58	L19453
5d^7	^2F	^5/_2	6.0	3.988401	0.000016		85	L19453
5d^7	^2P	^1/_2	2.0	4.08564	0.00003		70	L19453
5d^7	^2H	^9/_2	10.0	4.284409	0.000019		71	L19453
5d^7	^2F	^7/_2	8.0	4.835648	0.000016		79	L19453
5d^7	^2D2	^3/_2	4.0	4.847321	0.000024		51	L19453
5d^6(^5D)6s	^6D	^9/_2	10.0	5.590657	0.000019		85	L19453
5d^6(^5D)6s	^6D	^7/_2	8.0	6.317367	0.000015		86	L19453
5d^6(^5D)6s	^6D	^5/_2	6.0	6.474873	0.000015		72	L19453
5d^7	^2D1	^3/_2	4.0	6.745611	0.000017		59	L19453
5d^6(^5D)6s	^6D	^3/_2	4.0	6.795761	0.000016		56	L19453
5d^6(^5D)6s	^6D	^1/_2	2.0	6.95197	0.00003		82	L19453
5d^7	^2D1	^5/_2	6.0	7.016096	0.000025		67	L19453
5d^6(^5D)6s	^4D	^7/_2	8.0	7.557508	0.000014		51	L19453
5d^66s	65172	^9/_2	10.0	8.080351	0.000014		29 | 5d^6(^3G)6s | ^4G	L19453
5d^6(^5D)6s	^4D	^5/_2	6.0	8.080880	0.000015		41	L19453
5d^6(^5D)6s	^4D	^3/_2	4.0	8.335924	0.000016		41	L19453
5d^6(^3H)6s	^4H	^7/_2	8.0	8.455272	0.000014		33	L19453
5d^6(^3H)6s	^4H	^11/_2	12.0	8.488288	0.000015		52	L19453
5d^6(^3H)6s	^4H	^13/_2	14.0	8.582619	0.000017		87	L19453
5d^6(^5D)6s	^4D	^1/_2	2.0	8.756095	0.000019		61	L19453
5d^66s	72279	^5/_2	6.0	8.961466	0.000014		29 | 5d^6(^3F2)6s | ^4F	L19453
5d^6(^3H)6s	^4H	^9/_2	10.0	9.145451	0.000012		42	L19453
5d^66s	74847	^5/_2	6.0	9.279938	0.000014		33 | 5d^6(^5D)6s | ^4D	L19453
5d^6(^3F2)6s	^4F	^7/_2	8.0	9.287431	0.000014		27	L19453
5d^6(^3F2)6s	^4F	^3/_2	4.0	9.297798	0.000015		65	L19453
5d^66s	75407	^11/_2	12.0	9.349393	0.000014		32 | 5d^6(^3H)6s | ^2H	L19453
5d^66s	76309	^3/_2	4.0	9.461214	0.000015		34 | 5d^6(^3D)6s | ^4D	L19453
5d^66s	78224	^5/_2	6.0	9.698554	0.000014		21 | 5d^6(^3G)6s | ^4G	L19453
5d^6(^3D)6s	^4D	^1/_2	2.0	9.846084	0.000020		51	L19453
5d^6(^3G)6s	^4G	^9/_2	10.0	9.917877	0.000014		48	L19453
5d^6(^3D)6s	^4D	^7/_2	8.0	10.067559	0.000000		50	L19453
5d^6(^3D)6s	^4D	^5/_2	6.0	10.083262	0.000017		52	L19453
5d^66s	81998	^1/_2	2.0	10.166529	0.000020		26 | 5d^6(^3D)6s | ^4D	L19453
5d^66s	82109	^7/_2	8.0	10.180263	0.000012		39 | 5d^6(^3F2)6s | ^4F	L19453
5d^66s	82725	^9/_2	10.0	10.256601	0.000014		35 | 5d^6(^3F2)6s | ^4F	L19453
5d^6(^3D)6s	^4D	^3/_2	4.0	10.299008	0.000019		43	L19453
5d^66s	83222	^11/_2	12.0	10.318214	0.000014		31 | 5d^6(^3H)6s | ^2H	L19453
5d^6(^3F2)6s	^2F	^7/_2	8.0	10.508018	0.000012		23	L19453
5d^66s	86573	^3/_2	4.0	10.733741	0.000016		36 | 5d^6(^3D)6s | ^2D	L19453
5d^6(^3P2)6s	^4P	^1/_2	2.0	10.84474	0.00004		65	L19453
5d^6(^3F2)6s	^2F	^5/_2	6.0	10.906369	0.000015		42	L19453
5d^6(^1I)6s	^2I	^13/_2	14.0	10.939556	0.000016		87	L19453
5d^6(^3G)6s	^2G	^9/_2	10.0	11.072042	0.000014		54	L19453
5d^6(^1F)6s	^2F	^7/_2	8.0	11.159684	0.000016		47	L19453
5d^6(^3D)6s	^2D	^5/_2	6.0	11.198751	0.000016		69	L19453
5d^6(^1I)6s	^2I	^11/_2	12.0	11.241459	0.000015		62	L19453
5d^6(^3G)6s	^2G	^7/_2	8.0	11.355824	0.000016		42	L19453
5d^6(^1F)6s	^2F	^5/_2	6.0	11.384447	0.000017		55	L19453
5d^66s	93535	^3/_2	4.0	11.596951	0.000019		33 | 5d^6(^3D)6s | ^2D	L19453
5d^6(^1G2)6s	^2G	^9/_2	10.0	11.754158	0.000016		55	L19453
5d^6(^3P2)6s	^2P	^1/_2	2.0	11.87092	0.00003		56	L19453
5d^6(^1G2)6s	^2G	^7/_2	8.0	11.975015	0.000016		51	L19453
5d^66s	96904	^5/_2	6.0	12.01461	0.00003		34 | 5d^6(^1D2)6s | ^2D	L19453
5d^66s	96955	^3/_2	4.0	12.020956	0.000024		33 | 5d^6(^3P1)6s | ^4P	L19453
5d^66s	98415	^3/_2	4.0	12.20195	0.00004		37 | 5d^6(^3P1)6s | ^4P	L19453
