Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5d^96s	^3D	3	7.0	0.00000000	0.00000000	1.333924	100	L10982
5d^96s	a ^1D	2	5.0	0.09619638	0.00000011	1.066574	42	L10982
5d^86s^2	^3F	4	9.0	0.10212092	0.00000010	1.23948	96	L10982
5d^10	^1S	0	1.0	0.7612841	0.0000007		90	L10982
5d^96s	^3D	2	5.0	0.81426023	0.00000017	1.11691	42	L10982
5d^86s^2	^3F	3	7.0	1.25431290	0.00000017		100	L10982
5d^96s	^3D	1	3.0	1.25619158	0.00000024		100	L10982
5d^96s	b ^1D	2	5.0	1.6733229	0.0000003	1.17	44	L10982
5d^86s^2	^3F	2	5.0	1.92198251	0.00000024	0.92	60	L10982
5d^86s^2	^3P	0	1.0	2.1056776	0.0000021		83	L10982
5d^86s^2	^3P	1	3.0	2.3019582	0.0000003		100	L10982
5d^86s^2	^1G	4	9.0	2.7235734	0.0000004		96	L10982
5d^86s^2	^1D	2	5.0	3.3027625	0.0000005	0.97	54	L10982
5d^86s(^4F)6p	^5D°	4	9.0	3.7389724	0.0000005	1.46	74	L10982
5d^96p	a ^3P°	2	5.0	4.04436514	0.00000020	1.39	55	L10982
5d^86s(^4F)6p	a ^5F°	5	11.0	4.1758362	0.0000006	1.32	43	L10982
5d^96p	^3F°	3	7.0	4.2306068	0.0000004	1.21	30	L10982
5d^86s(^4F)6p	a ^5D°	3	7.0	4.37932485	0.00000016	1.33	42	L10982
5d^86s(^4F)6p	a ^5G°	4	9.0	4.5001669	0.0000005		35	L10982
5d^86s(^4F)6p	^5G°	6	13.0	4.5603304	0.0000009	1.33	96	L10982
5d^96p	^3P°	1	3.0	4.5681600	0.0000004	1.09	26	L10982
5d^96p	b ^3P°	2	5.0	4.6298290	0.0000004	1.15	20	L10982
5d^96p	^3F°	4	9.0	4.66063603	0.00000019	1.25	68	L10982
5d^96p	^3D°	3	7.0	4.6827675	0.0000004	1.17	24	L10982
5d^86s(^4F)6p	b ^5F°	5	11.0	4.77787291	0.00000021	1.30	43	L10982
5d^86s(^2D)6p	a ^3F°	2	5.0	4.81255750	0.00000019	0.88	25	L10982
5d^86s(^4F)6p	^5F°	4	9.0	4.98344819	0.00000021	1.21	25	L10982
5d^86s(^4F)6p	^5D°	2	5.0	5.0233722	0.0000004	1.38	18	L10982
5d^86s(^4P)6p	^5P°	2	5.0	5.0570479	0.0000003	1.20	25	L10982
5d^86s(^2D)6p	^3P°	0	1.0	5.0676694	0.0000014		33	L10982
5d^86s(^4F)6p	^5G°	3	7.0	5.0796521	0.0000003	1.12	37	L10982
5d^86s(^2D)6p	a ^3D°	1	3.0	5.1828783	0.0000005	0.92	27	L10982
5d^86s(^4F)6p	b ^5D°	3	7.0	5.2891719	0.0000004	1.19	18	L10982
5d^86s(^4F)6p	^5D°	1	3.0	5.3546084	0.0000007	1.39	25	L10982
5d^86s(^4P)6p	a ^5P°	3	7.0	5.4485518	0.0000005	1.27	37	L10982
5d^86s(^4F)6p	b ^5G°	4	9.0	5.5089466	0.0000004	1.20	19	L10982
5d^86s(^4F)6p	^5F°	2	5.0	5.5103966	0.0000007	1.21	31	L10982
5d^86s(^2F)6p	a ^3D°	3	7.0	5.5458512	0.0000004	1.19	14	L10982
5d^86s(^4P)6p	^5P°	1	3.0	5.6286924	0.0000007	1.52	28	L10982
5d^96p	^3F°	2	5.0	5.72439702	0.00000012	1.01	36	L10982
5d^86s(^4P)6p	a ^5D°	2	5.0	5.7553405	0.0000006	0.87	13	L10982
5d^86s(^4P)6p	^5D°	0	1.0	5.7570696	0.0000009		41	L10982
5d^86s(^2F)6p	b ^3D°	3	7.0	5.7804521	0.0000005	1.15	30	L10982
5d^86s(^4F)6p	^3G°	5	11.0	5.80158518	0.00000016		57	L10982
5d^86s(^4P)6p	a ^5D°	4	9.0	5.82275246	0.00000011	1.34	26	L10982
5d^96p	^1P°	1	3.0	5.9190761	0.0000003	1.43	48	L10982
5d^86s(^4F)6p	^3F°	4	9.0	5.99487346	0.00000019	1.25	33	L10982
5d^86s(^4F)6p	^5G°	2	5.0	6.0176458	0.0000009	1.02	15	L10982
5d^86s(^4F)6p	a ^3D°	3	7.0	6.04786551	0.00000010	1.22	22	L10982
5d^86s(^4P)6p	b ^5P°	3	7.0	6.11069823	0.00000019	1.19	18	L10982
5d^96p	a ^3D°	1	3.0	6.1427416	0.0000005	1.24	27	L10982
5d^96p	^3D°	2	5.0	6.18443927	0.00000022	1.12	18	L10982
5d^86s(^2F)6p	a ^3F°	4	9.0	6.20046832	0.00000016		21	L10982
5d^86s(^4F)6p	^5F°	1	3.0	6.2060658	0.0000006	0.87	18	L10982
5d^7(^4F)6s^26p	a ^3G°	5	11.0	6.23632472	0.00000021		26	L10982
5d^96p	^3P°	0	1.0	6.247273	0.000003		38	L10982
5d^86s(^4P)6p	^5D°	3	7.0	6.33528366	0.00000017	1.21	21	L10982
5d^86s(^2F)6p	^1D°	2	5.0	6.35876946	0.00000015	1.13	28	L10982
5d^86s(^4F)6p	b ^3D°	3	7.0	6.39083018	0.00000017	1.24	30	L10982
5d^86s(^2F)6p	^3F°	2	5.0	6.41659104	0.00000020	1.34	12	L10982
5d^86s(^4P)6p	^5D°	1	3.0	6.4560641	0.0000009	1.22	29	L10982
5d^97s	^3D	3	7.0	6.4942138	0.0000006	1.32	100	L10982
5d^86s(^2F)6p	^3G°	5	11.0	6.50155626	0.00000016		74	L10982
5d^86s(^2F)6p	b ^3F°	4	9.0	6.51166497	0.00000016		29	L10982
5d^97s	^1D	2	5.0	6.5299001	0.0000006	1.04	57	L10982
5d^86s(^4P)6p	b ^5D°	2	5.0	6.53500348	0.00000017	1.46	51	L10982
5d^86s(^2F)6p	^3D°	1	3.0	6.5735549	0.0000005	1.08	16	L10982
5d^86s(^2P)6p	^3D°	1	3.0	6.6536415	0.0000005		38	L10982
5d^86s(^2P)6p	^3P°	2	5.0	6.6893635	0.0000003	1.32	23	L10982
5d^86s(^4P)6p	c ^5P°	3	7.0	6.6965277	0.0000006		15	L10982
5d^86s(^4P)6p	^5S°	2	5.0	6.71166766	0.00000024		30	L10982
5d^86s(^4P)6p	b ^5D°	4	9.0	6.71727901	0.00000015		22	L10982
5d^86s(^4P)6p	a ^3D°	3	7.0	6.79919268	0.00000021	1.21	26	L10982
5d^86s(^2G)6p	^3H°	4	9.0	6.8202917	0.0000022		68	L10982
5d^96p	b ^3D°	1	3.0	6.8460125	0.0000009	0.96	17	L10982
