Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p^5	^2P°	^3/_2	4.0	0.00000	0.00000			L9039
4s^24p^5	^2P°	^1/_2	2.0	0.91432	0.00009			
4s4p^6	^2S	^1/_2	2.0	16.12194	0.00009		65	
4s^24p^4(^3P)4d	^4D	^7/_2	8.0	19.182993	0.000012		95	
4s^24p^4(^3P)4d	^4D	^5/_2	6.0	19.202334	0.000012		93	
4s^24p^4(^3P)4d	^4D	^3/_2	4.0	19.287508	0.000012		92	
4s^24p^4(^3P)4d	^4D	^1/_2	2.0	19.390318	0.000012		93	
4s^24p^4(^3P)4d	^4F	^9/_2	10.0	20.199342	0.000012		94	
4s^24p^4(^3P)4d	^4F	^7/_2	8.0	20.524528	0.000012		84	
4s^24p^4(^1D)4d	^2P	^1/_2	2.0	20.592312	0.000012		43	
4s^24p^4(^3P_2)5s	(2,^1/_2)	^5/_2	6.0	20.716031	0.000012		79	
4s^24p^4(^3P)4d	^4F	^5/_2	6.0	20.806996	0.000012		95	
4s^24p^4(^3P)4d	^4P	^3/_2	4.0	20.839924	0.000012		37	
4s^24p^4(^3P)4d	^4P	^1/_2	2.0	20.885128	0.000012		75	
4s^24p^4(^3P)4d	^4F	^3/_2	4.0	20.922422	0.000012		84	
4s^24p^4(^1D)4d	^2D	^3/_2	4.0	21.129861	0.000012		36	
4s^24p^4(^3P)4d	^2F	^7/_2	8.0	21.221049	0.000012		64	
4s^24p^4(^1D)4d	^2P	^3/_2	4.0	21.330457	0.000012		18	
4s^24p^4(^3P_2)5s	(2,^1/_2)	^3/_2	4.0	21.390466	0.000012		52	
4s^24p^4(^3P)4d	^4P	^5/_2	6.0	21.500789	0.000012		57	
4s^24p^4(^1D)4d	^2D	^5/_2	6.0	21.644558	0.000012		33	
4s^24p^4(^3P_0)5s	(0,^1/_2)	^1/_2	2.0	21.751105	0.000012		47	
4s^24p^4(^3P_1)5s	(1,^1/_2)	^3/_2	4.0	21.878006	0.000012		66	
4s^24p^4(^3P)4d	^2F	^5/_2	6.0	21.952992	0.000012		72	
4s^24p^4(^1D)4d	^2G	^9/_2	10.0	22.098941	0.000012		94	
4s^24p^4(^1D)4d	^2G	^7/_2	8.0	22.109166	0.000012		78	
4s^24p^4(^3P_1)5s	(1,^1/_2)	^1/_2	2.0	22.205064	0.000012		58	
4s^24p^4(^1D_2)5s	(2,^1/_2)	^5/_2	6.0	23.137405	0.000012		53	
4s^24p^4(^1D_2)5s	(2,^1/_2)	^3/_2	4.0	23.205850	0.000012		91	
4s^24p^4(^1D)4d	^2F	^5/_2	6.0	23.233742	0.000012		49	
4s^24p^4(^1D)4d	^2F	^7/_2	8.0	23.369568	0.000012		87	
4s^24p^4(^3P_2)5p	^2[2]°	^5/_2	6.0	24.562262	0.000012		91	
4s^24p^4(^3P_2)5p	^2[1]°	^3/_2	4.0	24.591005	0.000012		46	
4s^24p^4(^3P_2)5p	^2[1]°	^1/_2	2.0	24.855304	0.000012		61	
4s^24p^4(^1S)4d	^2D	^3/_2	4.0	24.90547	0.00012		53	
