Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4p^6	^1S	0	1.0	0.000000	0.000014			L9039
4p^5(^2P°_3/2)5s	^2[^3/_2]°	2	5.0	16.5322523	0.0000020	1.500	96	L9039
4p^5(^2P°_3/2)5s	^2[^3/_2]°	1	3.0	16.7217180	0.0000020	1.284	91	L9039
4p^5(^2P°_1/2)5s	^2[^1/_2]°	0	1.0	17.2083100	0.0000019		52	L9039
4p^5(^2P°_1/2)5s	^2[^1/_2]°	1	3.0	17.4334240	0.0000012	1.292	49	L9039
4p^54d	^3P°	0	1.0	17.7325096	0.0000012		52	L9039
4p^54d	^3P°	1	3.0	17.7870182	0.0000020	1.406	52	L9039
4p^54d	^3P°	2	5.0	17.8482533	0.0000012	1.466	89	L9039
4p^54d	^3F°	4	9.0	18.0119430	0.0000012		100	L9039
4p^54d	^3F°	3	7.0	18.2049213	0.0000011	1.08	86	L9039
4p^54d	^3F°	2	5.0	18.4348031	0.0000017	0.77	75	L9039
4p^54d	^3D°	3	7.0	18.830352	0.000004	1.18	56	L9039
4p^5(^2P°_3/2)5p	^2[^1/_2]	1	3.0	19.1275357	0.0000011	1.924	93	L9039
4p^54d	^1D°	2	5.0	19.225427	0.000004	0.92	46	L9039
4p^54d	^3D°	1	3.0	19.2558396	0.0000015	0.55	94	L9039
4p^54d	^3D°	2	5.0	19.4111657	0.0000025	1.15	56	L9039
4p^5(^2P°_3/2)5p	^2[^5/_2]	2	5.0	19.4329127	0.0000012	1.123	90	L9039
4p^5(^2P°_3/2)5p	^2[^5/_2]	3	7.0	19.4525611	0.0000010	1.336	100	L9039
4p^54d	^1F°	3	7.0	19.482490	0.000004	1.14	47	L9039
4p^5(^2P°_3/2)5p	^2[^3/_2]	1	3.0	19.6083075	0.0000009	0.981	97	L9039
4p^5(^2P°_3/2)5p	^2[^3/_2]	2	5.0	19.6777620	0.0000009	1.360	90	L9039
4p^5(^2P°_3/2)5p	^2[^1/_2]	0	1.0	19.9862740	0.0000017		90	L9039
4p^5(^2P°_1/2)5p	^2[^3/_2]	1	3.0	20.3240539	0.0000025	0.687	95	L9039
4p^5(^2P°_1/2)5p	^2[^3/_2]	2	5.0	20.4534261	0.0000015	1.191	99	L9039
4p^5(^2P°_1/2)5p	^2[^1/_2]	1	3.0	20.4684992	0.0000014	1.431	91	L9039
4p^5(^2P°_1/2)5p	^2[^1/_2]	0	1.0	20.7837732	0.0000012		90	L9039
4p^54d	^1P°	1	3.0	21.0349776	0.0000011	1.00	96	L9039
4p^5(^2P°_3/2)6s	^2[^3/_2]°	2	5.0	22.2843152	0.0000020	1.497	99	L9039
4p^5(^2P°_3/2)6s	^2[^3/_2]°	1	3.0	22.3380312	0.0000014	1.195	99	L9039
4p^5(^2P°_3/2)5d	^2[^1/_2]°	0	1.0	22.7805578	0.0000025		98	L9039
4p^5(^2P°_3/2)5d	^2[^1/_2]°	1	3.0	22.8379543	0.0000016	1.381	63	L9039
4p^5(^2P°_3/2)5d	^2[^7/_2]°	4	9.0	22.8949704	0.0000025	1.2	100	L9039
4p^5(^2P°_3/2)5d	^2[^3/_2]°	2	5.0	22.9168545	0.0000014	1.355	97	L9039
4p^5(^2P°_3/2)5d	^2[^7/_2]°	3	7.0	22.9527952	0.0000015	1.081	79	L9039
4p^5(^2P°_3/2)5d	^2[^5/_2]°	2	5.0	23.0136877	0.0000014	0.959	99	L9039
4p^5(^2P°_3/2)5d	^2[^5/_2]°	3	7.0	23.0618234	0.0000014	1.211	79	L9039
