Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p^4	^3P	2	5.0	0.000000	0		95	L9039
4s^24p^4	^3P	1	3.0	0.776188			100	
4s^24p^4	^3P	0	1.0	0.861415			94	
4s^24p^4	^1D	2	5.0	2.152076			95	
4s^24p^4	^1S	0	1.0	4.761436			94	
4s4p^5	^3P°	2	5.0	16.735202			82	
4s4p^5	^3P°	1	3.0	17.310417			81	
4s4p^5	^3P°	0	1.0	17.681250			82	
4s4p^5	^1P°	1	3.0	20.831188			52	
4s^24p^3(^4S)4d	^5D°	0	1.0	21.173462			97	
4s^24p^3(^4S)4d	^5D°	1	3.0	21.183357			97	
4s^24p^3(^4S)4d	^5D°	2	5.0	21.187455			97	
4s^24p^3(^4S)4d	^5D°	3	7.0	21.193550			95	
4s^24p^3(^4S)4d	^5D°	4	9.0	21.231737			96	
4s^24p^3(^4S)4d	^3D°	2	5.0	22.500759			36	
4s^24p^3(^4S)4d	^3D°	3	7.0	22.686040			41	
4s^24p^3(^4S)4d	^3D°	1	3.0	22.761211			50	
4s^24p^3(^2D)4d	^3F°	2	5.0	23.247591			63	
4s^24p^3(^2D)4d	^1S°	0	1.0	23.377119			96	
4s^24p^3(^2D)4d	^3F°	3	7.0	23.430764			71	
4s^24p^3(^2D)4d	^3F°	4	9.0	23.666374			75	
4s^24p^3(^2D)4d	^3G°	3	7.0	24.251529			88	
4s^24p^3(^2D)4d	^3G°	4	9.0	24.335721			80	
4s^24p^3(^2D)4d	^3G°	5	11.0	24.422011			100	
4s^24p^3(^2D)4d	^1G°	4	9.0	24.728110			88	
4s^24p^3(^4S)5s	^5S°	2	5.0	25.203669			96	
4s^24p^3(^2P)4d	^1D°	2	5.0	25.450560			59	
4s^24p^3(^2P)4d	^3D°	1	3.0	25.681875			45	
4s^24p^3(^4S)5s	^3S°	1	3.0	26.029483			78	
4s^24p^3(^2P)4d	^3P°	0	1.0	26.099859			65	
4s^24p^3(^2P)4d	^3D°	2	5.0	26.125990			45	
4s^24p^3(^2P)4d	^3P°	1	3.0	26.266682			59	
4s^24p^3(^2P)4d	^3F°	3	7.0	26.370736			76	
4s^24p^3(^2P)4d	^3F°	2	5.0	26.465657			70	
4s^24p^3(^2P)4d	^3F°	4	9.0	26.528984			76	
4s^24p^3(^2D)4d	^3D°	3	7.0	26.594761			37	
4s^24p^3(^2P)4d	^3P°	2	5.0	26.918704			78	
4s^24p^3(^2D)5s	^3D°	1	3.0	27.746224			54	
