Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4p^65s	^2S	^1/_2	2.0	0.0000000	0.0000012	L9039		L9039
4p^65p	^2P°	^1/_2	2.0	1.55959103	0.00000025	L9039		L9039
4p^65p	^2P°	^3/_2	4.0	1.58904906	0.00000025	L9039		L9039
4p^64d	^2D	^5/_2	6.0	2.3997393	0.0000012	L9039		L9039
4p^64d	^2D	^3/_2	4.0	2.3997946	0.0000012	L9039		L9039
4p^66s	^2S	^1/_2	2.0	2.4961131	0.0000012	L9039		L9039
4p^66p	^2P°	^1/_2	2.0	2.9402953	0.0000012	L9039		L9039
4p^66p	^2P°	^3/_2	4.0	2.9499053	0.0000012	L9039		L9039
4p^65d	^2D	^3/_2	4.0	3.1864604	0.0000012	L9039		L9039
4p^65d	^2D	^5/_2	6.0	3.1868276	0.0000012	L9039		L9039
4p^67s	^2S	^1/_2	2.0	3.2622024	0.0000012	L9039		L9039
4p^64f	^2F°	^7/_2	8.0	3.3217961	0.0000012	L9039		L9039
4p^64f	^2F°	^5/_2	6.0	3.3217993	0.0000012	L9039		L9039
4p^67p	^2P°	^1/_2	2.0	3.4511026	0.0000012	L9039		L9039
4p^67p	^2P°	^3/_2	4.0	3.4554532	0.0000012	L9039		L9039
4p^66d	^2D	^3/_2	4.0	3.5567504	0.0000012	L9039		L9039
4p^66d	^2D	^5/_2	6.0	3.5570310	0.0000012	L9039		L9039
4p^68s	^2S	^1/_2	2.0	3.6013462	0.0000012	L9039		L9039
4p^65f	^2F°	^7/_2	8.0	3.6299806	0.0000012	L9039		L9039
4p^65f	^2F°	^5/_2	6.0	3.6299830	0.0000012	L9039		L9039
4p^65g	^2G	^7/_2	8.0	3.6322654	0.0000012	L9039		L9039
4p^65g	^2G	^9/_2	10.0	3.6322654	0.0000012	L9039		L9039
4p^68p	^2P°	^1/_2	2.0	3.6990611	0.0000012	L9039		L9039
4p^68p	^2P°	^3/_2	4.0	3.7013982	0.0000012	L9039		L9039
4p^67d	^2D	^3/_2	4.0	3.7542555	0.0000012	L9039		L9039
4p^67d	^2D	^5/_2	6.0	3.7544424	0.0000012	L9039		L9039
4p^69s	^2S	^1/_2	2.0	3.7813979	0.0000012	L9039		L9039
4p^66f	^2F°	^7/_2	8.0	3.7973833	0.0000012	L9039		L9039
4p^66f	^2F°	^5/_2	6.0	3.7973853	0.0000012	L9039		L9039
4p^69p	^2P°	^1/_2	2.0	3.8384156	0.0000012	L9039		L9039
4p^69p	^2P°	^3/_2	4.0	3.8398142	0.0000012	L9039		L9039
4p^68d	^2D	^3/_2	4.0	3.8709652	0.0000012	L9039		L9039
4p^68d	^2D	^5/_2	6.0	3.8710908	0.0000012	L9039		L9039
4p^610s	^2S	^1/_2	2.0	3.8884335	0.0000012	L9039		L9039
4p^67f	^2F°	^7/_2	8.0	3.8982762	0.0000012	L9039		L9039
4p^67f	^2F°	^5/_2	6.0	3.8982777	0.0000012	L9039		L9039
4p^610p	^2P°	^1/_2	2.0	3.9245772	0.0000012	L9039		L9039
4p^610p	^2P°	^3/_2	4.0	3.9254835	0.0000012	L9039		L9039
4p^69d	^2D	^3/_2	4.0	3.9454072	0.0000012	L9039		L9039
4p^69d	^2D	^5/_2	6.0	3.9454934	0.0000012	L9039		L9039
4p^611s	^2S	^1/_2	2.0	3.9572311	0.0000012	L9039		L9039
4p^68f	^2F°	^7/_2	8.0	3.9637272	0.0000012	L9039		L9039
4p^68f	^2F°	^5/_2	6.0	3.9637278	0.0000012	L9039		L9039
4p^611p	^2P°	^1/_2	2.0	3.9815728	0.0000012	L9039		L9039
4p^611p	^2P°	^3/_2	4.0	3.9821890	0.0000012	L9039		L9039
4p^610d	^2D	^3/_2	4.0	3.9957144	0.0000005	L9039		L9039
4p^610d	^2D	^5/_2	6.0	3.9957761	0.0000005	L9039		L9039
4p^612s	^2S	^1/_2	2.0	4.0040587	0.0000005	L9039		L9039
4p^612p	^2P°	^1/_2	2.0	4.021241	0.000006	L9039		L9039
4p^612p	^2P°	^3/_2	4.0	4.021680	0.000006	L9039		L9039
4p^613p	^2P°	^1/_2	2.0	4.049948	0.000006	L9039		L9039
4p^613p	^2P°	^3/_2	4.0	4.050270	0.000006	L9039		L9039
4p^614p	^2P°	^1/_2	2.0	4.071396	0.000006	L9039		L9039
4p^614p	^2P°	^3/_2	4.0	4.071644	0.000006	L9039		L9039
4p^615p	^2P°	^1/_2	2.0	4.087841	0.000006	L9039		L9039
4p^615p	^2P°	^3/_2	4.0	4.088031	0.000006	L9039		L9039
4p^616p	^2P°	^1/_2	2.0	4.100727	0.000006	L9039		L9039
