Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^25p	^2P°	^1/_2	2.0	0.0000	0	L3466		L3466
5s^25p	^2P°	^3/_2	4.0	0.8153				
5s5p^2	^4P	^1/_2	2.0	6.7404				
5s5p^2	^4P	^3/_2	4.0	7.1861				
5s5p^2	^4P	^5/_2	6.0	7.9791				
5s5p^2	^2D	^3/_2	4.0	9.48762				
5s5p^2	^2D	^5/_2	6.0	9.64497				
5s5p^2	^2P	^1/_2	2.0	11.52419				
5s^26s	^2S	^1/_2	2.0	11.58233				
5s^25d	^2D	^3/_2	4.0	12.25206				
5s5p^2	^2S	^1/_2	2.0	12.400?				
5s^25d	^2D	^5/_2	6.0	12.44620				
5s5p^2	^2P	^3/_2	4.0	12.64062				
5s^26p	^2P°	^1/_2	2.0	14.22353				
5s^26p	^2P°	^3/_2	4.0	14.43033				
5s^24f	^2F°	^7/_2	8.0	16.88833				
5s^24f	^2F°	^5/_2	6.0	16.89528				
5s^27s	^2S	^1/_2	2.0	17.74546				
5s^26d	^2D	^3/_2	4.0	17.93836				
5s^26d	^2D	^5/_2	6.0	17.96762				
5s^28s	^2S	^1/_2	2.0	20.25756				
5s^25g	^2G	^7/_2,^9/_2	18.0	20.37085				
5s^26g	^2G	^7/_2,^9/_2	18.0	21.88813				
