Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^25p^2	^3P	0	1.0	0.00000	0		95	L16325
5s^25p^2	^3P	1	3.0	0.37872			100	L16325
5s^25p^2	^3P	2	5.0	0.70153			84	L16325
5s^25p^2	^1D	2	5.0	1.58573			84	L16325
5s^25p^2	^1S	0	1.0	2.96390			95	L16325
5s5p^3	^5S°	2	5.0	6.41282			95	L16325
5s5p^3	^3D°	1	3.0	8.21911			74	L16325
5s5p^3	^3D°	2	5.0	8.24523			71	L16325
5s5p^3	^3D°	3	7.0	8.41698			82	L16325
5s^25p6s	^3P°	0	1.0	8.57193			99	L16325
5s^25p6s	^3P°	1	3.0	8.62133			73	L16325
5s^25p5d	^1D°	2	5.0	8.97518			72	L16325
5s^25p6s	^3P°	2	5.0	9.33285			95	L16325
5s^25p6s	^1P°	1	3.0	9.41026			67	L16325
5s^25p5d	^3F°	2	5.0	9.50857			73	L16325
5s5p^3	^3P°	0	1.0	9.52915			81	L16325
5s5p^3	^3P°	1	3.0	9.56407			66	L16325
5s^25p5d	^3F°	3	7.0	9.63691			93	L16325
5s5p^3	^3P°	2	5.0	9.71923			49	L16325
5s^25p5d	^3F°	4	9.0	10.05301			100	L16325
5s^25p6p	^3D	1	3.0	10.39315				L16370
5s^25p5d	^3D°	1	3.0	10.55032			46	L16325
5s^25p6p	^3P	0	1.0	10.60576				L16370
5s^25p6p	^1P	1	3.0	10.65616				L16370
5s^25p5d	^3D°	2	5.0	10.66603			57	L16325
5s^25p6p	^3D	2	5.0	10.68540				L16370
5s^25p5d	^3D°	3	7.0	10.94281			64	L16325
5s^25p5d	^1P°	1	3.0	11.19865			52	L16325
5s^25p6p	^3P	1	3.0	11.23873				L16370
5s^25p5d	^3P°	0	1.0	11.29806			81	L16325
5s^25p5d	^1F°	3	7.0	11.31046			80	L16325
5s^25p5d	^3P°	2	5.0	11.31248			48	L16325
5s^25p5d	^3P°	1	3.0	11.32721			70	L16325
5s^25p6p	^3D	3	7.0	11.35487				L16370
5s^25p6p	^3P	2	5.0	11.37158				L16370
5s^25p6p	^3S	1	3.0	11.53064				L16370
5s^25p6p	^1D	2	5.0	11.63631				L16370
5s5p^3	^3S°	1	3.0	12.10548			74	L16325
5s5p^3	^1D°	2	5.0	12.1567			83	L16325
5s^25p6p	^1S	0	1.0	12.16545				L16370
5s^25p7s	^3P°	0	1.0	12.56219			100	L16325
5s^25p7s	^3P°	1	3.0	12.58908			71	L16325
5s^25p6d	^3D°	2	5.0	12.98396				L16325
5s^25p6d	^3D°	1	3.0	13.04197				L16325
5s^25p4f	^1F	3	7.0	13.05153				L16370
5s^25p4f	^3F	3	7.0	13.07697				L16370
5s^25p4f	^3F	4	9.0	13.08273				L16370
5s^25p4f	^3F	2	5.0	13.09163				L16370
5p^4	^3P	2	5.0	13.18739				L16370
5s^25p7p	^3D	1	3.0	13.25488				L16370
5s5p^3	^1P°	1	3.0	13.32415			70	L16325
5s^25p7p	^3P	0	1.0	13.33626				L16370
5s^25p7p	^1P	1	3.0	13.34386				L16370
5s^25p7p	^3D	2	5.0	13.35873				L16370
5s^25p7s	^3P°	2	5.0	13.36867			99	L16325
5s^25p7s	^1P°	1	3.0	13.42860			71	L16325
5s^25p6d	^3D°	3	7.0	13.67825				L16370
5s^25p4f	^3G	3	7.0	13.79560				L16370
5s^25p4f	^3G	4	9.0	13.81581				L16370
5p^4	^3P	0	1.0	13.86648				L16370
5p^4	^3P	1	3.0	13.86999				L16370
5s^25p4f	^3D	3	7.0	13.87719				L16370
5s^25p4f	^1D	2	5.0	13.89367				L16370
5s^25p4f	^3G	5	11.0	13.93535				L16370
5s^25p4f	^1G	4	9.0	13.94137				L16370
5s^25p4f	^3D	2	5.0	14.00618				L16370
5s^25p4f	^3D	1	3.0	14.00834				L16370
5s^25p7p	^3P	1	3.0	14.03427				L16370
5s^25p6d	^3P°	2	5.0	14.05029				L16370
5s^25p6d	^3P°	1	3.0	14.05340				L16370
5s^25p7p	^3P	2	5.0	14.11476				L16370
5s^25p8s	^3P°	0	1.0	14.12207				L16325
5s^25p7p	^3D	3	7.0	14.12607				L16370
5s^25p6d	^1D°	2	5.0	14.13933				L16370
5s^25p8s	^3P°	1	3.0	14.14061				L16325
5s^25p7p	^3S	1	3.0	14.14813				L16370
5s^25p7p	^1D	2	5.0	14.20693				L16370
5s^25p5f	^1F	3	7.0	14.38501				L16370
5s^25p5f	^3F	3	7.0	14.39132				L16370
5s^25p5f	^3F	4	9.0	14.39554				L16370
5s^25p5f	^3F	2	5.0	14.39647				L16370
5s^25p7p	^1S	0	1.0	14.40163				L16370
5s^25p8p	^3D	1	3.0	14.49125				L16370
5s^25p8p	^1P	1	3.0	14.52544				L16370
5s^25p8p	^3P	0	1.0	14.52996				L16370
5s^25p8p	^3D	2	5.0	14.53369				L16370
5p^4	^1D	2	5.0	14.74653				L16370
5s^25p8s	^3P°	2	5.0	14.94351				L16370
5s^25p5f	^3D	3	7.0	15.14374				L16370
5s^25p5f	^1D	2	5.0	15.15237				L16370
5s^25p5f	^3D	2	5.0	15.18416				L16370
5s^25p5f	^3D	1	3.0	15.21229				L16370
5s5p^2(^4P)6s	^5P	1	3.0	15.26042				L16370
5s^25p8p	^3P	1	3.0	15.27041				L16370
5s^25p8p	^3P	2	5.0	15.31791				L16370
5s^25p8p	^3D	3	7.0	15.32136				L16370
5s^25p8p	^3S	1	3.0	15.32622				L16370
5s5p^2(^4P)6s	^5P	2	5.0	15.34792				L16370
5s^25p8p	^1D	2	5.0	15.35296				L16370
5s^25p8p	^1S	0	1.0	15.45373				L16370
5s5p^2(^4P)6s	^5P	3	7.0	15.45999				L16370
5s5p^2(^4P)6s	^3P	2	5.0	15.76717				L16370
