Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^2	^1S	0	1.0	0.0000	0	L3466		L3466
5s5p	^3P°	0	1.0	7.9889				
5s5p	^3P°	1	3.0	8.2697				
5s5p	^3P°	2	5.0	8.9963				
5s5p	^1P°	1	3.0	11.8965				
5p^2	^3P	0	1.0	18.8550				
5p^2	^1D	2	5.0	19.3361				
5p^2	^3P	1	3.0	19.3896				
5p^2	^3P	2	5.0	20.2744				
5s5d	^3D	1	3.0	22.1825				
5s5d	^3D	2	5.0	22.2259				
5s5d	^3D	3	7.0	22.2948				
5s5d	^1D	2	5.0	22.6644				
5s6s	^3S	1	3.0	23.3861				
5s6p	^3P°	0	1.0	26.7045				
5s6p	^3P°	1	3.0	26.7479				
5s6p	^3P°	2	5.0	27.0040				
5s6p	^1P°	1	3.0	27.1560				
5s4f	^3F°	2	5.0	28.1517				
5s4f	^3F°	3	7.0	28.1623				
5s4f	^3F°	4	9.0	28.1821				
5s4f	^1F°	3	7.0	28.4658				
5s6d	^3D	1	3.0	31.5767				
5s6d	^3D	2	5.0	31.5944				
5s6d	^3D	3	7.0	31.6258				
5s6d	^1D	2	5.0	31.6852				
5s7s	^3S	1	3.0	31.9595				
5s7s	^1S	0	1.0	32.5969				
