Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5p^3	^4S°	^3/_2	4.0	0.0000000	0.0000006	1.967	95	L10083
5p^3	^2D°	^3/_2	4.0	1.0553690	0.0000006	0.889	85	L10083
5p^3	^2D°	^5/_2	6.0	1.2217425	0.0000006	1.205	100	L10083
5p^3	^2P°	^1/_2	2.0	2.0327654	0.0000006	0.688	100	L10083
5p^3	^2P°	^3/_2	4.0	2.2892693	0.0000006	1.277	83	L10083
5p^2(^3P)6s	^4P	^1/_2	2.0	5.3622344	0.0000006	2.332	79	L10083
5p^2(^3P)6s	^4P	^3/_2	4.0	5.6964962	0.0000006	1.713	92	L10083
5p^2(^3P)6s	^2P	^1/_2	2.0	5.8261487	0.0000006	1.004	81	L10083
5p^2(^3P)6s	^4P	^5/_2	6.0	5.9924568	0.0000006	1.547	84	L10083
5p^2(^3P)6s	^2P	^3/_2	4.0	6.1237200	0.0000006	1.277	72	L10083
5p^2(^3P_0)6p	(0,^1/_2)°	^1/_2	2.0	6.4070616	0.0000006		91	L10083
5p^2(^3P_0)6p	(0,^3/_2)°	^3/_2	4.0	6.5231165	0.0000006		90	L10083
5p^2(^3P)5d	^4P	^5/_2	6.0	6.6260834	0.0000006		36	L10083
5p^2(^3P)5d	^4F	^3/_2	4.0	6.6366207	0.0000006		58	L10083
5p^2(^3P_1)6p	(1,^1/_2)°	^1/_2	2.0	6.7195242	0.0000006		76	L10083
5p^2(^3P)5d	^4F	^5/_2	6.0	6.8341259	0.0000006		40	L10083
5p^2(^3P_1)6p	(1,^1/_2)°	^3/_2	4.0	6.8357764	0.0000006		84	L10083
5p^2(^3P_1)6p	55135	^5/_2	6.0	6.83588	0.00006			L4893,L3466
5p^2(^1D)6s	^2D	^3/_2	4.0	6.8480146	0.0000006	0.991	60	L10083
5p^2(^3P_1)6p	(1,^3/_2)°	^5/_2	6.0	6.8503913	0.0000006		97	L10083
5p^2(^1D)6s	^2D	^5/_2	6.0	6.9094241	0.0000006	1.277	42	L10083
5p^2(^3P_1)6p	(1,^3/_2)°	^3/_2	4.0	6.9263559	0.0000006		92	L10083
5p^2(^3P_1)6p	(1,^3/_2)°	^1/_2	2.0	6.9423536	0.0000006		68	L10083
5p^2(^3P)5d	^4P	^3/_2	4.0	6.9619362	0.0000006	1.302	26	L10083
5p^2(^3P)5d	^4F	^7/_2	8.0	7.0085951	0.0000006		73	L10083
5p^2(^3P)5d	^4P	^1/_2	2.0	7.0297315	0.0000006		34	L10083
5p^2(^3P)5d	^2P	^3/_2	4.0	7.0340156	0.0000006	1.311	51	L10083
5p^2(^3P)5d	^2F	^5/_2	6.0	7.1026892	0.0000006		57	L10083
5p^2(^3P_2)6p	(2,^1/_2)°	^5/_2	6.0	7.1179750	0.0000006		73	L10083
5p^2(^3P_2)6p	(2,^3/_2)°	^7/_2	8.0	7.1359546	0.0000006		86	L10083
5p^2(^3P)5d	^4D	^1/_2	2.0	7.1411430	0.0000006		18	L10083
5p^2(^3P_2)6p	(2,^1/_2)°	^3/_2	4.0	7.2004488	0.0000006		65	L10083
5p^2(^3P)7s	^4P	^1/_2	2.0	7.2075308	0.0000006		48	L10083
5p^2(^3P_2)6p	(2,^3/_2)°	^3/_2	4.0	7.2641737	0.0000006		53	L10083
5p^2(^3P_2)6p	(2,^3/_2)°	^1/_2	2.0	7.2720466	0.0000006		71	L10083
5p^2(^3P)5d	^4D	^3/_2	4.0	7.2836199	0.0000006		72	L10083
5p^2(^3P_2)6p	(2,^3/_2)°	^5/_2	6.0	7.2946707	0.0000006		81	L10083
5p^2(^3P)5d	^4D	^5/_2	6.0	7.2980681	0.0000006		56	L10083
5p^2(^3P)5d	^4D	^7/_2	8.0	7.3081429	0.0000006		40	L10083
5p^2(^3P)5d	^2P	^1/_2	2.0	7.4065216	0.0000006		53	L10083
5p^2(^3P)5d		^5/_2	6.0	7.4892004	0.0000006		21 | ^2D	L10083
5p^2(^3P)6d	^2D	^3/_2	4.0	7.5110742	0.0000006		33	L10083
5p^2(^3P_0)7p	(0,^1/_2)°	^1/_2	2.0	7.5339361	0.0000006		90	L10083
5p^2(^3P)7s	^4P	^3/_2	4.0	7.5586559	0.0000006		85	L10083
5p^2(^3P_0)7p	(0,^3/_2)°	^3/_2	4.0	7.5630728	0.0000006		93	L10083
5p^2(^3P)5d	^2F	^7/_2	8.0	7.5786260	0.0000006		57	L10083
5p^2(^3P)7s	^2P	^1/_2	2.0	7.6109571	0.0000006		67	L10083
5p^2(^3P)5d	^2D	^5/_2	6.0	7.6412782	0.0000006		40	L10083
5p^2(^3P)5d	^2D	^3/_2	4.0	7.6633019	0.0000006		46	L10083
5p^2(^3P_0)4f	^2[3]°	^5/_2	6.0	7.7443516	0.0000006		94	L10083
5p^2(^3P_0)4f	^2[3]°	^7/_2	8.0	7.7447902	0.0000006		94	L10083
5p^2(^3P)6d	^4F	^5/_2	6.0	7.7492266	0.0000006		28	L10083
5p^2(^3P)8s	^4P	^1/_2	2.0	7.8060843	0.0000006			L10083
5p^2(^3P)5d		^3/_2	4.0	7.8349375	0.0000006		23 | ^4P	L10083
5p^2(^3P)7s	^4P	^5/_2	6.0	7.8750153	0.0000006		79	L10083
5p^2(^3P_1)7p	(1,^1/_2)°	^1/_2	2.0	7.8861800	0.0000006		86	L10083
5p^2(^3P)7s	^2P	^3/_2	4.0	7.8915275	0.0000006		57	L10083
5p^2(^3P_1)7p	(1,^3/_2)°	^5/_2	6.0	7.9090694	0.0000006		89	L10083
5p^2(^3P_1)7p	(1,^1/_2)°	^3/_2	4.0	7.9099993	0.0000006		68	L10083
5p^2(^3P)6d		^1/_2	2.0	7.9133856	0.0000006		29 | ^4D	L10083
