Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d	^2D	^3/_2	4.0	0.000000	0	L7185		L7185
3p^63d	^2D	^5/_2	6.0	0.024504				
3p^64s	^2S	^1/_2	2.0	3.166472				
3p^64p	^2P°	^1/_2	2.0	7.699952				
3p^64p	^2P°	^3/_2	4.0	7.758705				
3p^64d	^2D	^3/_2	4.0	13.918171				
3p^64d	^2D	^5/_2	6.0	13.923791				
3p^65s	^2S	^1/_2	2.0	14.241133				
3p^65p	^2P°	^1/_2	2.0	15.883259				
3p^65p	^2P°	^3/_2	4.0	15.905084				
3p^64f	^2F°	^5/_2	6.0	16.970197				
3p^64f	^2F°	^7/_2	8.0	16.970228				
3p^65d	^2D	^3/_2	4.0	18.365783				
3p^65d	^2D	^5/_2	6.0	18.368276				
3p^66s	^2S	^1/_2	2.0	18.497702				
3p^66p	^2P°	^1/_2	2.0	19.278276				
3p^66p	^2P°	^3/_2	4.0	19.288866				
3p^65f	^2F°	^5/_2	6.0	19.772038				
3p^65f	^2F°	^7/_2	8.0	19.772038				
3p^65g	^2G	^7/_2	8.0	19.846421				
3p^65g	^2G	^9/_2	10.0	19.846421				
3p^66d	^2D	^3/_2	4.0	20.530860				
3p^66d	^2D	^5/_2	6.0	20.532191				
3p^67s	^2S	^1/_2	2.0	20.600864				
3p^67p	^2P°	^1/_2	2.0	21.032426				
3p^67p	^2P°	^3/_2	4.0	21.03837				
3p^66f	^2F°	^7/_2	8.0	21.298953				
3p^66f	^2F°	^5/_2	6.0	21.298953				
3p^66g	^2G	^9/_2	10.0	21.347278				
3p^66g	^2G	^7/_2	8.0	21.347278				
3p^66h	^2H°	^9/_2	10.0	21.353125				
3p^66h	^2H°	^11/_2	12.0	21.353125				
3p^67d	^2D	^3/_2	4.0	21.753899				
3p^67d	^2D	^5/_2	6.0	21.754709				
3p^68s	^2S	^1/_2	2.0	21.795893				
3p^67f	^2F°	^5/_2	6.0	22.219791				
3p^67f	^2F°	^7/_2	8.0	22.219791				
3p^67g	^2G	^7/_2	8.0	22.252342				
3p^67g	^2G	^9/_2	10.0	22.252342				
3p^67h	^2H°	^9/_2	10.0	22.256201				
3p^67h	^2H°	^11/_2	12.0	22.256201				
3p^68g	^2G	^9/_2	10.0	22.839701				
3p^68g	^2G	^7/_2	8.0	22.839701				
