Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d4s	^3D	1	3.0	0.000000	0	0.501		L7185
3p^63d4s	^3D	2	5.0	0.008396		1.163		
3p^63d4s	^3D	3	7.0	0.022039		1.330		
3p^63d4s	^1D	2	5.0	0.315038		0.998		
3p^63d^2	^3F	2	5.0	0.595480		0.665		
3p^63d^2	^3F	3	7.0	0.605486		1.083		
3p^63d^2	^3F	4	9.0	0.618407				
3p^63d^2	^1D	2	5.0	1.356952				
3p^64s^2	^1S	0	1.0	1.455123				
3p^63d^2	^3P	0	1.0	1.496998				
3p^63d^2	^3P	1	3.0	1.500395		1.487		
3p^63d^2	^3P	2	5.0	1.506956		1.481		
3p^63d^2	^1G	4	9.0	1.768178				
3p^63d^2	^1S	0	1.0	3.21803				
3p^63d4p	^1D°	2	5.0	3.233674		0.999	99	
3p^63d4p	^3F°	2	5.0	3.402586		0.671	99	
3p^63d4p	^3F°	3	7.0	3.422268		1.086	99	
3p^63d4p	^3F°	4	9.0	3.451887		1.233	100	
3p^63d4p	^3D°	1	3.0	3.461364		0.506	100	
3p^63d4p	^3D°	2	5.0	3.474197		1.162	99	
3p^63d4p	^3D°	3	7.0	3.491540		1.323	99	
3p^63d4p	^3P°	0	1.0	3.686828			94	
3p^63d4p	^3P°	1	3.0	3.687558		1.484	92	
3p^63d4p	^3P°	2	5.0	3.697696		1.495	94	
3p^63d4p	^1P°	1	3.0	3.820660		1.006	93	
3p^63d4p	^1F°	3	7.0	4.010886			100	
3p^64s4p	^3P°	0	1.0	4.835657			94	
3p^64s4p	^3P°	1	3.0	4.849647			94	
3p^64s4p	^3P°	2	5.0	4.878223			94	
3p^64s4p	^1P°	1	3.0	6.907824			91	
3p^63d5s	^3D	1	3.0	7.135524				
3p^63d5s	^3D	2	5.0	7.143275				
3p^63d5s	^3D	3	7.0	7.159334				
3p^63d5s	^1D	2	5.0	7.222339				
3p^63d4d	^1F	3	7.0	7.380583				
3p^63d4d	^3D	1	3.0	7.423564				
3p^63d4d	^3D	2	5.0	7.430306				
3p^63d4d	^3D	3	7.0	7.439289				
3p^63d4d	^3G	3	7.0	7.472176				
3p^63d4d	^3G	4	9.0	7.482255				
3p^63d4d	^1P	1	3.0	7.488696				
3p^63d4d	^3G	5	11.0	7.495728				
3p^63d4d	^3S	1	3.0	7.571892				
3p^63d4d	^3F	2	5.0	7.857453				
3p^63d4d	^3F	3	7.0	7.866197				
3p^63d4d	^3F	4	9.0	7.876535				
3p^63d4d	^1D	2	5.0	7.980451				
3p^63d4d	^3P	0	1.0	8.011334				
3p^63d4d	^3P	1	3.0	8.015169				
3p^63d4d	^3P	2	5.0	8.022508				
3p^63d4d	^1G	4	9.0	8.088238				
3p^63d5p	^1D°	2	5.0	8.188957			94	
3p^63d5p	^3D°	1	3.0	8.231279			100	
3p^63d5p	^3F°	2	5.0	8.239945			62	
3p^63d5p	^3D°	2	5.0	8.244039			60	
3p^63d5p	^3F°	3	7.0	8.252851			78	
3p^63d5p	^3D°	3	7.0	8.255347			78	
3p^63d5p	^3F°	4	9.0	8.272100			100	
3p^63d4d	^1S	0	1.0	8.333791				
3p^63d5p	^3P°	0	1.0	8.33629			100	
3p^63d5p	^3P°	1	3.0	8.343849			99	
3p^63d5p	^3P°	2	5.0	8.356063			100	
3p^63d5p	^1F°	3	7.0	8.399151			100	
3p^63d5p	^1P°	1	3.0	8.492677			95	
3p^64p^2	^1D	2	5.0	9.22855				
3p^63d4f	^1G°	4	9.0	9.326274			71	
3p^63d4f	^3F°	2	5.0	9.337018			89	
3p^63d4f	^3G°	3	7.0	9.337089			58	
3p^63d4f	^3F°	3	7.0	9.345073			43	
3p^63d4f	^3G°	4	9.0	9.347229			43	
3p^63d4f	^3F°	4	9.0	9.357117			65	
3p^63d4f	^3G°	5	11.0	9.357242			79	
3p^63d4f	^1F°	3	7.0	9.367311			65	
3p^63d4f	^3H°	4	9.0	9.368370			71	
3p^63d4f	^1D°	2	5.0	9.372070			76	
3p^63d4f	^3H°	5	11.0	9.374548			76	
3p^63d4f	^3D°	1	3.0	9.379516			92	
3p^63d4f	^3D°	2	5.0	9.383210			76	
3p^63d4f	^3H°	6	13.0	9.385589			100	
3p^63d4f	^3D°	3	7.0	9.387557			83	
3p^63d4f	^3P°	2	5.0	9.411960			90	
3p^63d4f	^1H°	5	11.0	9.412849			94	
3p^63d4f	^3P°	1	3.0	9.416833			77	
3p^63d4f	^3P°	0	1.0	9.422108			100	
3p^63d4f	^1P°	1	3.0	9.431885			79	
3p^64p^2	^3P	0	1.0	9.45295				
3p^64p^2	^3P	1	3.0	9.46753				
3p^64p^2	^3P	2	5.0	9.49586				
3p^63d6s	^3D	1	3.0	9.570984				
3p^63d6s	^3D	2	5.0	9.578646				
3p^63d6s	^3D	3	7.0	9.594786				
3p^63d6s	^1D	2	5.0	9.650171				
3p^64s5s	^3S	1	3.0	9.70371				
3p^63d5d	^1F	3	7.0	9.719623				
3p^63d5d	^3D	1	3.0	9.730187				
3p^63d5d	^3D	2	5.0	9.737714				
3p^63d5d	^3D	3	7.0	9.746705				
3p^63d5d	^3G	3	7.0	9.751117				
3p^63d5d	^3G	4	9.0	9.759194				
3p^63d5d	^1P	1	3.0	9.764681				
3p^63d5d	^3G	5	11.0	9.772464				
3p^63d5d	^3S	1	3.0	9.816342				
3p^63d5d	^3F	2	5.0	9.900389				
3p^63d5d	^3F	3	7.0	9.909510				
3p^63d5d	^3F	4	9.0	9.918890				
3p^63d5d	^1D	2	5.0	9.967757				
