Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3s^23p^6	^1S	0	1.0	0.00000	0	L7185		L7185
3s^23p^53d	^3P°	0	1.0	29.72189				
3s^23p^53d	^3P°	1	3.0	29.80617				
3s^23p^53d	^3P°	2	5.0	29.98111				
3s^23p^53d	^3F°	4	9.0	31.08386				
3s^23p^53d	^3F°	3	7.0	31.25745				
3s^23p^53d	^3F°	2	5.0	31.41830				
3s^23p^53d	^1D°	2	5.0	33.15640				
3s^23p^53d	^3D°	3	7.0	33.23201				
3s^23p^53d	^3D°	1	3.0	33.40463				
3s^23p^53d	^3D°	2	5.0	33.40877				
3s^23p^53d	^1F°	3	7.0	33.60659				
3s^23p^54s	^3P°	2	5.0	41.29800				
3s^23p^54s	^3P°	1	3.0	41.46095				
3s^23p^54s	^3P°	0	1.0	41.82484				
3s^23p^54s	^1P°	1	3.0	41.84262				
3s^23p^53d	^1P°	1	3.0	42.77522				
3s^23p^54p	^3S	1	3.0	46.08929				
3s^23p^54p	^3D	3	7.0	46.87557				
3s^23p^54p	^3D	2	5.0	46.91793				
3s^23p^54p	^3D	1	3.0	47.13238				
3s^23p^54p	^3P	2	5.0	47.32626				
3s^23p^54p	^1P	1	3.0	47.55130				
3s^23p^54p	^1D	2	5.0	47.69192				
3s^23p^54p	^3P	0	1.0	47.71133				
3s^23p^54p	^3P	1	3.0	47.80459				
3s^23p^54p	^1S	0	1.0	49.28505				
3s3p^63d	^3D	1	3.0	53.27548				
3s3p^63d	^3D	2	5.0	53.29367				
3s3p^63d	^3D	3	7.0	53.32294				
3s^23p^54d	^3P°	0	1.0	54.61726				
3s^23p^54d	^3P°	1	3.0	54.67492				
3s^23p^54d	^3P°	2	5.0	54.79200				
3s3p^63d	^1D	2	5.0	54.80672				
3s^23p^54d	^3F°	4	9.0	54.87027				
3s^23p^54d	^3F°	3	7.0	54.94872				
3s^23p^54d	^3F°	2	5.0	55.10197				
3s^23p^54d	^3D°	3	7.0	55.19870				
3s^23p^54d	^3D°	1	3.0	55.49810				
3s^23p^54d	^1D°	2	5.0	55.55261				
3s^23p^54d	^1F°	3	7.0	55.62028				
3s^23p^54d	^3D°	2	5.0	55.63482				
3s^23p^54d	^1P°	1	3.0	56.28544				
3s^23p^5(^2P°_3/2)5s	^2[^3/_2]°	2	5.0	56.97035				
3s^23p^5(^2P°_3/2)5s	^2[^3/_2]°	1	3.0	57.08566				
3s^23p^5(^2P°_1/2)5s	^2[^1/_2]°	0	1.0	57.50002				
3s^23p^5(^2P°_1/2)5s	^2[^1/_2]°	1	3.0	57.58535				
3s^23p^5(^2P°_3/2)5p	^2[^1/_2]	1	3.0	58.86328				
3s^23p^5(^2P°_3/2)5p	^2[^5/_2]	3	7.0	59.11796				
3s^23p^5(^2P°_3/2)5p	^2[^5/_2]	2	5.0	59.14269				
3s^23p^5(^2P°_3/2)5p	^2[^3/_2]	1	3.0	59.23315				
3s^23p^5(^2P°_3/2)5p	^2[^3/_2]	2	5.0	59.29088				
3s^23p^5(^2P°_3/2)4f	^2[^3/_2]	1	3.0	59.32593				
3s^23p^5(^2P°_3/2)4f	^2[^9/_2]	5	11.0	59.34002				
3s^23p^5(^2P°_3/2)4f	^2[^3/_2]	2	5.0	59.35963				
3s^23p^5(^2P°_3/2)4f	^2[^9/_2]	4	9.0	59.35972				
3s^23p^5(^2P°_3/2)4f	^2[^5/_2]	3	7.0	59.44458				
3s^23p^5(^2P°_3/2)4f	^2[^7/_2]	3	7.0	59.50112				
3s^23p^5(^2P°_3/2)4f	^2[^7/_2]	4	9.0	59.51157				
3s^23p^5(^2P°_3/2)4f	^2[^5/_2]	2	5.0	59.52455				
3s^23p^5(^2P°_3/2)5p	^2[^1/_2]	0	1.0	59.54795				
3s^23p^5(^2P°_1/2)5p	^2[^3/_2]	1	3.0	59.68319				
3s^23p^5(^2P°_1/2)5p	^2[^1/_2]	1	3.0	59.75293				
3s^23p^5(^2P°_1/2)5p	^2[^3/_2]	2	5.0	59.75731				
3s^23p^5(^2P°_1/2)4f	^2[^7/_2]	3	7.0	59.95992				
3s^23p^5(^2P°_1/2)4f	^2[^7/_2]	4	9.0	59.97215				
3s^23p^5(^2P°_1/2)4f	^2[^5/_2]	3	7.0	60.00374				
3s^23p^5(^2P°_1/2)4f	^2[^5/_2]	2	5.0	60.04029				
3s^23p^5(^2P°_1/2)5p	^2[^1/_2]	0	1.0	60.12898				
3s^23p^5(^2P°_3/2)6s	^2[^3/_2]°	2	5.0	63.38422				
3s^23p^5(^2P°_3/2)6s	^2[^3/_2]°	1	3.0	63.43407				
3s^23p^5(^2P°_1/2)6s	^2[^1/_2]°	1	3.0	63.9434				
3s^23p^5(^2P°_3/2)5g	^2[^5/_2]°	2	5.0	64.71965				
3s^23p^5(^2P°_3/2)5g	^2[^5/_2]°	3	7.0	64.72035				
3s^23p^5(^2P°_3/2)5g	^2[^11/_2]°	6	13.0	64.73341				
3s^23p^5(^2P°_3/2)5g	^2[^11/_2]°	5	11.0	64.73348				
3s^23p^5(^2P°_3/2)5g	^2[^7/_2]°	4	9.0	64.75750				
3s^23p^5(^2P°_3/2)5g	^2[^7/_2]°	3	7.0	64.75785				
3s^23p^5(^2P°_3/2)5g	^2[^9/_2]°	4	9.0	64.77242				
3s^23p^5(^2P°_3/2)5g	^2[^9/_2]°	5	11.0	64.77253				
3s^23p^5(^2P°_1/2)5g	^2[^9/_2]°	4	9.0	65.28532				
3s^23p^5(^2P°_1/2)5g	^2[^9/_2]°	5	11.0	65.28550				
3s^23p^5(^2P°_1/2)5g	^2[^7/_2]°	4	9.0	65.28651				
3s^23p^5(^2P°_1/2)5g	^2[^7/_2]°	3	7.0	65.28686				
3s^23p^5(^2P°_3/2)7s	^2[^3/_2]°	1	3.0	66.6843				
3s^23p^5(^2P°_1/2)7s	^2[^1/_2]°	1	3.0	67.2059				
3s^23p^5(^2P°_3/2)6g	^2[^5/_2]°	2	5.0	67.40307				
3s^23p^5(^2P°_3/2)6g	^2[^11/_2]°	6	13.0	67.41124				
3s^23p^5(^2P°_3/2)6g	^2[^7/_2]°	4	9.0	67.42569				
3s^23p^5(^2P°_3/2)6h	^2[^7/_2]	3	7.0	67.42795				
3s^23p^5(^2P°_3/2)6h	^2[^7/_2]	4	9.0	67.42801				
3s^23p^5(^2P°_3/2)6h	^2[^13/_2]	6	13.0	67.43126				
3s^23p^5(^2P°_3/2)6h	^2[^13/_2]	7	15.0	67.43126				
3s^23p^5(^2P°_3/2)6g	^2[^9/_2]°	4	9.0	67.43403				
3s^23p^5(^2P°_3/2)6g	^2[^9/_2]°	5	11.0	67.43417				
3s^23p^5(^2P°_3/2)6h	^2[^9/_2]	4	9.0	67.44023				
3s^23p^5(^2P°_3/2)6h	^2[^9/_2]	5	11.0	67.44023				
3s^23p^5(^2P°_3/2)6h	^2[^11/_2]	5	11.0	67.44383				
3s^23p^5(^2P°_3/2)6h	^2[^11/_2]	6	13.0	67.44383				
3s^23p^5(^2P°_1/2)6g	^2[^9/_2]°	5	11.0	67.95627				
3s^23p^5(^2P°_1/2)6g	^2[^7/_2]°	4	9.0	67.95647				
3s^23p^5(^2P°_1/2)6h	^2[^11/_2]	5	11.0	67.97266				
3s^23p^5(^2P°_1/2)6h	^2[^11/_2]	6	13.0	67.97266				
3s^23p^5(^2P°_1/2)6h	^2[^9/_2]	4	9.0	67.97282				
3s^23p^5(^2P°_1/2)6h	^2[^9/_2]	5	11.0	67.97282				
3s^23p^5(^2P°_3/2)7h	^2[^13/_2]	6	13.0	69.03947				
3s^23p^5(^2P°_3/2)7h	^2[^13/_2]	7	15.0	69.03947				
3s^23p^5(^2P°_3/2)7i	^2[^9/_2]°	4	9.0	69.04227				
3s^23p^5(^2P°_3/2)7i	^2[^9/_2]°	5	11.0	69.04227				
3s^23p^5(^2P°_3/2)7i	^2[^15/_2]°	7	15.0	69.04324				
3s^23p^5(^2P°_3/2)7i	^2[^15/_2]°	8	17.0	69.04324				
3s^23p^5(^2P°_3/2)7h	^2[^9/_2]	4	9.0	69.04518				
3s^23p^5(^2P°_3/2)7h	^2[^9/_2]	5	11.0	69.04518				
