Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d4s^2	^2D	^3/_2	4.0	0.00000000	0.00000000	0.79933	98	L7185
3d4s^2	^2D	^5/_2	6.0	0.0208711	0.0000003	1.20029	98	
3d^2(^3F)4s	^4F	^3/_2	4.0	1.4282931	0.0000003	0.400	100	
3d^2(^3F)4s	^4F	^5/_2	6.0	1.4329667	0.0000003	1.026	100	
3d^2(^3F)4s	^4F	^7/_2	8.0	1.4394858	0.0000003	1.244	100	
3d^2(^3F)4s	^4F	^9/_2	10.0	1.4478022	0.0000004	1.325	100	
3d^2(^3F)4s	^2F	^5/_2	6.0	1.8505957	0.0000014	0.861	100	
3d^2(^3F)4s	^2F	^7/_2	8.0	1.8649582	0.0000010	1.134	100	
3d4s(^3D)4p	^4F°	^3/_2	4.0	1.9431497	0.0000003	0.426	96	
3d4s(^3D)4p	^4F°	^5/_2	6.0	1.9535607	0.0000003	1.036	96	
3d4s(^3D)4p	^4F°	^7/_2	8.0	1.9690809	0.0000003	1.232	98	
3d4s(^3D)4p	^4D°	^1/_2	2.0	1.9849552	0.0000004	0.002	97	
3d4s(^3D)4p	^4D°	^3/_2	4.0	1.9864474	0.0000003	1.039	92	
3d4s(^1D)4p	^2D°	^5/_2	6.0	1.9865643	0.0000004	1.19	43	
3d4s(^3D)4p	^4F°	^9/_2	10.0	1.9870393	0.0000004	1.33	99	
3d4s(^1D)4p	^2D°	^3/_2	4.0	1.9957592	0.0000003	0.956	50	
3d4s(^3D)4p	^4D°	^5/_2	6.0	2.0012291	0.0000003	1.336	79	
3d4s(^3D)4p	^4D°	^7/_2	8.0	2.0098848	0.0000004	1.43	96	
3d^2(^1D)4s	^2D	^5/_2	6.0	2.1093125	0.0000010	1.226	94	
3d^2(^1D)4s	^2D	^3/_2	4.0	2.1108467	0.0000015	0.815	98	
3d^2(^3P)4s	^4P	^1/_2	2.0	2.135755	0.000003	2.662	100	
3d^2(^3P)4s	^4P	^3/_2	4.0	2.1393568	0.0000019	1.719	99	
3d^2(^3P)4s	^4P	^5/_2	6.0	2.1458031	0.0000015	1.575	96	
3d4s(^3D)4p	^4P°	^1/_2	2.0	2.2942108	0.0000017	2.529	83	
3d4s(^3D)4p	^4P°	^3/_2	4.0	2.2956499	0.0000011	1.698	88	
3d4s(^3D)4p	^4P°	^5/_2	6.0	2.3025584	0.0000017	1.600	98	
4s^24p	^2P°	^1/_2	2.0	2.3198719	0.0000022	0.777	37	
4s^24p	^2P°	^3/_2	4.0	2.3378131	0.0000006	1.356	37	
3d^2(^1G)4s	^2G	^9/_2	10.0	2.5090530	0.0000011	1.10	100	
3d^2(^1G)4s	^2G	^7/_2	8.0	2.5093968	0.0000011	0.89	100	
3d^2(^3P)4s	^2P	^1/_2	2.0	2.5641680	0.0000011	0.668	99	
3d^2(^3P)4s	^2P	^3/_2	4.0	2.5689319	0.0000007	1.331	99	
3d4s(^1D)4p	^2F°	^5/_2	6.0	2.6077264	0.0000012	0.855	79	
3d4s(^1D)4p	^2F°	^7/_2	8.0	2.6143096	0.0000015	1.14	77	
3d4s(^1D)4p	^2P°	^1/_2	2.0	3.0570427	0.0000021		74	
3d4s(^1D)4p	^2P°	^3/_2	4.0	3.0570618	0.0000016		68	
3d4s(^3D)4p	^2D°	^3/_2	4.0	3.0830124	0.0000014	0.804	38	
3d4s(^3D)4p	^2D°	^5/_2	6.0	3.1013643	0.0000015	1.201	40	
3d4s(^3D)4p	^2F°	^5/_2	6.0	3.1720895	0.0000015	0.857	64	
3d4s(^3D)4p	^2F°	^7/_2	8.0	3.1894511	0.0000012	1.138	62	
3d^2(^1S)4s	^2S	^1/_2	2.0	3.3397588	0.0000009		100	
3d^2(^3F)4p	^4G°	^5/_2	6.0	3.5983765	0.0000006	0.584	100	
3d^2(^3F)4p	^4G°	^7/_2	8.0	3.6074663	0.0000007	0.981	100	
3d^2(^3F)4p	^4G°	^9/_2	10.0	3.6190792	0.0000007	1.16	100	
3d^2(^3F)4p	^4G°	^11/_2	12.0	3.6331691	0.0000024		100	
3d4s(^3D)4p	^2P°	^1/_2	2.0	3.7905891	0.0000017	0.680	44	
3d4s(^3D)4p	^2P°	^3/_2	4.0	3.8071451	0.0000021	1.332	43	
3d^2(^3F)4p	^4F°	^3/_2	4.0	3.864912	0.000003	0.400	99	
3d^2(^3F)4p	^4F°	^5/_2	6.0	3.8702635	0.0000021	1.027	99	
3d^2(^3F)4p	^4F°	^7/_2	8.0	3.8776554	0.0000020	1.240	98	
3d^2(^3F)4p	^4F°	^9/_2	10.0	3.8870024	0.0000022	1.33	98	
3d^2(^3F)4p	^4D°	^1/_2	2.0	4.0465230	0.0000025	0.03	96	
3d^2(^3F)4p	^4D°	^3/_2	4.0	4.0492353	0.0000020		96	
3d^2(^3F)4p	^4D°	^5/_2	6.0	4.0538875	0.0000014	1.373	95	
3d^2(^3F)4p	^4D°	^7/_2	8.0	4.0606653	0.0000019	1.414	95	
3d^2(^3F)4p	^2G°	^7/_2	8.0	4.0984163	0.0000011	0.91	60	
3d^2(^3F)4p	^2G°	^9/_2	10.0	4.1102231	0.0000009	1.06	90	
3d^2(^3F)4p	^2F°	^5/_2	6.0	4.1105447	0.0000010	0.853	62	
3d^2(^3F)4p	^2F°	^7/_2	8.0	4.1259920	0.0000020	1.146	42	
3d^2(^3F)4p	^2D°	^3/_2	4.0	4.1677126	0.0000015	0.824	40	
3d^2(^3F)4p	^2D°	^5/_2	6.0	4.1791396	0.0000012	1.186	39	
3d^3	^4F	^3/_2	4.0	4.1861447	0.0000021	0.395	100	
3d^3	^4F	^5/_2	6.0	4.1904964	0.0000022	1.026	100	
3d^3	^4F	^7/_2	8.0	4.196440	0.000003	1.23	100	
3d^3	^4F	^9/_2	10.0	4.2038530	0.0000024	1.33	100	
3d4s(^3D)5s	^4D	^1/_2	2.0	4.2638480	0.0000015	0.00	100	
3d4s(^3D)5s	^4D	^3/_2	4.0	4.2678869	0.0000011	1.192	100	
3d4s(^3D)5s	^4D	^5/_2	6.0	4.2749739	0.0000012	1.370	100	
3d4s(^3D)5s	^4D	^7/_2	8.0	4.2857841	0.0000015	1.43	100	
3d^2(^3P)4p	^2S°	^1/_2	2.0	4.382385	0.000004	2.00	100	
3d4s(^3D)5s	^2D	^3/_2	4.0	4.4226444	0.0000015		83	
3d4s(^3D)5s	^2D	^5/_2	6.0	4.4318939	0.0000012	1.212	82	
3d^3	^2D2	^3/_2	4.0	4.4977260	0.0000021		40	
3d^3	^2D2	^5/_2	6.0	4.5044125	0.0000014	1.196	42	
3d^3	^4P	^1/_2	2.0	4.524509	0.000003	2.634	98	
3d^3	^4P	^3/_2	4.0	4.5273738	0.0000022	1.712	95	
3d^3	^4P	^5/_2	6.0	4.534442	0.000003	1.59	96	
3d^2(^1D)4p	^2F°	^5/_2	6.0	4.546056	0.000003		84	
3d^2(^1D)4p	^2F°	^7/_2	8.0	4.5539532	0.0000025		82	
3d^2(^3P)4p	^4D°	^1/_2	2.0	4.558179	0.000003	0.016	98	
3d^2(^3P)4p	^4D°	^3/_2	4.0	4.5618306	0.0000024	1.184	94	
3d^2(^3P)4p	^4D°	^5/_2	6.0	4.5700835	0.0000025	1.348	94	
3d^2(^1D)4p	^2D°	^3/_2	4.0	4.5792199	0.0000017	0.879	58	
3d^2(^3P)4p	^4D°	^7/_2	8.0	4.582335	0.000003		94	
3d^3	^2G	^7/_2	8.0	4.5846246	0.0000022	0.89	100	
3d^2(^1D)4p	^2D°	^5/_2	6.0	4.5923200	0.0000020	1.207	59	
3d^3	^2G	^9/_2	10.0	4.5941699	0.0000022	1.110	99	
3d^3	^2P	^1/_2	2.0	4.598053	0.000003	0.682	96	
3d^2(^1D)4p	^2P°	^3/_2	4.0	4.5980805	0.0000017	1.278	68	
3d^2(^1D)4p	^2P°	^1/_2	2.0	4.6029653	0.0000022		70	
3d^3	^2P	^3/_2	4.0	4.6057893	0.0000021	1.328	93	
3d^2(^3P)4p	^4S°	^3/_2	4.0	4.647787	0.000003	1.986	91	
3d4s(^1D)5s	^2D	^3/_2	4.0	4.6842294	0.0000015	0.80	66	
3d4s(^1D)5s	^2D	^5/_2	6.0	4.6934966	0.0000016	1.18	63	
3d^2(^3P)4p	^4P°	^1/_2	2.0	4.696246	0.000003	2.662	93	
3d^2(^3P)4p	^4P°	^3/_2	4.0	4.7000530	0.0000017	1.731	85	
3d^2(^3P)4p	^4P°	^5/_2	6.0	4.7070437	0.0000015	1.58	93	
3d4s(^3D)4d	^2F	^5/_2	6.0	4.8194676	0.0000024	0.855	49	
3d4s(^3D)4d	^2F	^7/_2	8.0	4.8303166	0.0000020	1.14	46	
3d^2(^1G)4p	^2H°	^9/_2	10.0	4.854371	0.000004		98	
3d^3	^2H	^9/_2	10.0	4.8557286	0.0000022		100	
3d^3	^2H	^11/_2	12.0	4.863319	0.000004		100	
3d^2(^1G)4p	^2H°	^11/_2	12.0	4.866245	0.000006		100	
3d^2(^1G)4p	^2G°	^7/_2	8.0	4.884085	0.000005	0.89	90	
3d^2(^1G)4p	^2G°	^9/_2	10.0	4.887874	0.000006		88	
3d4s(^3D)4d	^4D	^1/_2	2.0	4.922350	0.000003	0.008	96	
3d4s(^3D)4d	^4D	^3/_2	4.0	4.9248700	0.0000020	1.203	97	
3d4s(^3D)4d	^4D	^5/_2	6.0	4.9289897	0.0000022	1.364	71	
3d4s(^3D)4d	^4D	^7/_2	8.0	4.934566	0.000003	1.439	41	
3d4s(^3D)4d		^5/_2	6.0	4.942177	0.000003	0.555	45 | ^2F	
3d4s(^3D)4d	^4G	^7/_2	8.0	4.947304	0.000003	0.968	78	
3d4s(^3D)5p	^4F°	^3/_2	4.0	4.9531386	0.0000024		96	
3d4s(^3D)4d	^4G	^9/_2	10.0	4.954130	0.000004	1.17	98	
3d4s(^3D)5p	^4F°	^5/_2	6.0	4.9580754	0.0000024		93	
3d4s(^3D)4d	^4G	^11/_2	12.0	4.962878	0.000006	1.26	99	
3d4s(^3D)5p	^4D°	^1/_2	2.0	4.9649000	0.0000024		97	
3d4s(^3D)5p	^4F°	^7/_2	8.0	4.9654104	0.0000022		91	
3d4s(^3D)4d	^2P	^3/_2	4.0	4.967287	0.000003	1.295	76	
