Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p^2	^3P	0	1.0	0.0000	0	L3465		L3465
4s^24p^2	^3P	1	3.0	0.2159				
4s^24p^2	^3P	2	5.0	0.4881				
4s^24p^2	^1D	2	5.0	1.6158				
4s4p^3	^3D°	1	3.0	11.2938				
4s4p^3	^3D°	2	5.0	11.4962				
4s4p^3	^3D°	3	7.0	11.9704				
4s4p^3	^3P°	0	1.0	13.2021				
4s4p^3	^3P°	2	5.0	13.2062				
4s4p^3	^3P°	1	3.0	13.2156				
4s4p^3	^1D°	2	5.0	13.9563				
4s^24p(^2P°)4d	^3F°	2	5.0	15.38048				
4s^24p(^2P°)4d	^3F°	3	7.0	15.53644				
4s^24p(^2P°)5s	^3P°	0	1.0	15.65634				
4s^24p(^2P°)5s	^3P°	1	3.0	15.71889				
4s^24p(^2P°)4d	^3F°	4	9.0	15.79676				
4s^24p(^2P°)5s	^3P°	2	5.0	16.16642				
4s^24p(^2P°)5s	^1P°	1	3.0	16.32325				
4s^24p(^2P°)4d	^1P°	1	3.0	16.97920				
4s^24p(^2P°)4d	^1D°	2	5.0	17.25906				
4s^24p(^2P°)4d	^3D°	2	5.0	17.28460				
4s^24p(^2P°)4d	^3D°	1	3.0	17.43710				
4s^24p(^2P°)4d	^3D°	3	7.0	17.60757				
4s^24p(^2P°)4d	^3P°	0	1.0	17.64491				
4s^24p(^2P°)4d	^3P°	2	5.0	17.69330				
4s^24p(^2P°)4d	^3P°	1	3.0	17.69976				
4s^24p(^2P°)4d	x°	1	3.0	18.3273				
4s^24p(^2P°)4d	^1F°	3	7.0	18.4334				
4s^24p(^2P°)5p	^1P	1	3.0	18.69199				
4s^24p(^2P°)5p	^3D	1	3.0	18.99579				
4s^24p(^2P°)5p	^3D	2	5.0	19.03417				
4s^24p(^2P°)5p	^3P	0	1.0	19.19065				
4s^24p(^2P°)5p	^3P	1	3.0	19.38622				
4s^24p(^2P°)5p	^3D	3	7.0	19.42744				
4s^24p(^2P°)5p	^3P	2	5.0	19.57391				
4s^24p(^2P°)5p	^3S	1	3.0	19.75104				
4s^24p(^2P°)5p	^1D	2	5.0	19.98256				
4s^24p(^2P°)6s	^3P°	0	1.0	23.20596				
4s^24p(^2P°)6s	^3P°	1	3.0	23.23792				
4s^24p(^2P°)5d	^3F°	2	5.0	23.36224				
4s^24p(^2P°)5d	^3F°	3	7.0	23.51334				
4s^24p(^2P°)5d	^3D°	2	5.0	23.55950				
4s^24p(^2P°)5d	^3D°	1	3.0	23.66129				
4s^24p(^2P°)6s	^3P°	2	5.0	23.74583				
4s^24p(^2P°)5d	^3F°	4	9.0	23.75458				
4s^24p(^2P°)6s	^1P°	1	3.0	23.82503				
4s^24p(^2P°)5d	^1D°	2	5.0	23.96669				
4s^24p(^2P°)5d	^3D°	3	7.0	24.04240				
4s^24p(^2P°)5d	^3P°	2	5.0	24.14307				
4s^24p(^2P°)5d	^3P°	1	3.0	24.17078				
4s^24p(^2P°)5d	^1F°	3	7.0	24.40572				
