Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p^3	^4S°	^3/_2	4.0	0.00000	0	L3465		L3465
4s^24p^3	^2D°	^3/_2	4.0	1.63265				
4s^24p^3	^2D°	^5/_2	6.0	1.70905				
4s^24p^3	^2P°	^1/_2	2.0	2.85639				
4s^24p^3	^2P°	^3/_2	4.0	2.96258				
4s4p^4	^4P	^5/_2	6.0	10.39939				
4s4p^4	^4P	^3/_2	4.0	10.61051				
4s4p^4	^4P	^1/_2	2.0	10.71691				
4s^24p^2(^3P)5s	^4P	^1/_2	2.0	11.81197				
4s^24p^2(^3P)5s	1	^1/_2	2.0	11.96663				
4s^24p^2(^3P)5s	2	^5/_2	6.0	11.98373				
4s^24p^2(^3P)5s	^4P	^3/_2	4.0	11.99588				
4s^24p^2(^3P)5s	3	^1/_2	2.0	12.16511				
4s^24p^2(^3P)5s	^4P	^5/_2	6.0	12.23407				
4s^24p^2(^3P)5s	^2P	^1/_2	2.0	12.26155				
4s^24p^2(^3P)5s	4	^3/_2	4.0	12.32012				
4s4p^4	^2P	^3/_2	4.0	12.43501				
4s^24p^2(^3P)5s	^2P	^3/_2	4.0	12.56654				
4s^24p^2(^3P)5s	5	^5/_2	6.0	12.60070				
4s^24p^2(^3P)5s	6	^3/_2	4.0	12.98045				
4s^24p^2(^3P)5s	7	^3/_2	4.0	13.00268				
4s^24p^2(^3P)5s	8	^1/_2	2.0	13.05033				
4s^24p^2(^3P)5s	9	^1/_2	2.0	13.13908				
4s^24p^2(^1D)5s	^2D	^5/_2	6.0	13.43439				
4s^24p^2(^1D)5s	^2D	^3/_2	4.0	13.44606				
4s^24p^2(^1D)5s	10	^5/_2	6.0	13.49368				
4s^24p^2(^1D)5s	11	^5/_2	6.0	13.67513				
4s^24p^2(^1D)5s	12	^3/_2	4.0	13.93625				
4s^24p^2(^3P)5p	^4P°	^1/_2	2.0	14.01625				
4s^24p^2(^3P)5p	^4D°	^1/_2	2.0	14.17127				
4s^24p^2(^3P)5p	^4D°	^3/_2	4.0	14.22244				
4s^24p^2(^3P)5p	^4D°	^5/_2	6.0	14.39061				
4s^24p^2(^3P)5p	^4P°	^3/_2	4.0	14.47845				
4s^24p^2(^3P)5p	^2S°	^1/_2	2.0	14.55649				
4s^24p^2(^3P)5p	^2D°	^3/_2	4.0	14.59785				
4s^24p^2(^3P)5p	^4D°	^7/_2	8.0	14.60518				
4s^24p^2(^3P)5p	^4P°	^5/_2	6.0	14.67948				
4s^24p^2(^3P)5p	^4S°	^3/_2	4.0	14.79237				
4s^24p^2(^3P)5p	13	^1/_2	2.0	14.7966				
4s^24p^2(^3P)5p	^2D°	^5/_2	6.0	14.92610				
4s^24p^2(^3P)5p	14°	^3/_2	4.0	15.00847				
4s^24p^2(^3P)5p	^2P°	^1/_2	2.0	15.03596				
4s^24p^2(^3P)5p	^2P°	^3/_2	4.0	15.04944				
4s^24p^2(^3P)5p	15	^5/_2	6.0	15.0926				
4s^24p^2(^3P)5p	16	^5/_2	6.0	15.2153				
4s^24p^2(^3P)5p	17	^3/_2	4.0	15.2901				
4s^24p^2(^3P)5p	18°	^5/_2	6.0	15.66289				
4s^24p^2(^3P)5p	19	^3/_2	4.0	15.67962				
4s^24p^2(^1D)5p	^2D°	^5/_2	6.0	15.79753				
4s^24p^2(^1D)5p	20	^1/_2	2.0	15.85355				
4s^24p^2(^1D)5p	^2D°	^3/_2	4.0	15.86023				
4s^24p^2(^1D)5p	21°	^5/_2	6.0	15.86803				
4s^24p^2(^1D)5p	22	^3/_2	4.0	15.99525				
4s^24p^2(^1D)5p	23°	^3/_2	4.0	16.26244				
4s^24p^2(^1D)5p	^2P°	^3/_2	4.0	16.38942				
4s^24p^2(^1D)5p	24	^5/_2	6.0	16.59741				
4s^24p^2(^3P)6s	^4P	^1/_2	2.0	16.61920				
4s^24p^2(^3P)6s	^4P	^3/_2	4.0	16.81667				
4s^24p^2(^3P)6s	25	^3/_2	4.0	16.88518				
4s^24p^2(^3P)6s	^4P	^5/_2	6.0	17.06879				
4s^24p^2(^3P)5d	^4F	^3/_2	4.0	17.15516				
4s^24p^2(^3P)6s	^2P	^1/_2	2.0	17.17500				
4s^24p^2(^3P)6s	26	^5/_2	6.0	17.17626				
4s^24p^2(^3P)6s	27	^3/_2	4.0	17.19673				
4s^24p^2(^3P)5d	^4F	^5/_2	6.0	17.22427				
4s^24p^2(^3P)5d	^4F	^7/_2	8.0	17.35925				
4s^24p^2(^3P)5d	28	^3/_2	4.0	17.37407				
4s^24p^2(^3P)5d	29	^3/_2	4.0	17.45026				
4s^24p^2(^3P)5d	30	^5/_2	6.0	17.47311				
4s^24p^2(^3P)6s	^2P	^3/_2	4.0	17.47432				
4s^24p^2(^3P)6s	31	^5/_2	6.0	17.47508				
4s^24p^2(^3P)5d	^4F	^9/_2	10.0	17.56981				
4s^24p^2(^3P)5d	32	^5/_2	6.0	17.62696				
4s^24p^2(^3P)5d	33	^3/_2	4.0	17.64322				
4s^24p^2(^3P)5d	34	^3/_2	4.0	17.65214				
4s^24p^2(^3P)5d	35	^5/_2	6.0	17.77211				
4s^24p^2(^3P)5d	36	^5/_2	6.0	17.84374				
