Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p	^2P°	^1/_2	2.0	0.0000	0	L3465		L3465
4s^24p	^2P°	^3/_2	4.0	0.5426				
4s4p^2	^4P	^1/_2	2.0	9.84378				
4s4p^2	^4P	^3/_2	4.0	10.04028				
4s4p^2	^4P	^5/_2	6.0	10.36374				
4s4p^2	^2D	^3/_2	4.0	12.9205				
4s4p^2	^2D	^5/_2	6.0	12.9819				
4s4p^2	^2S	^1/_2	2.0	15.9676				
4s4p^2	^2P	^1/_2	2.0	16.8785				
4s4p^2	^2P	^3/_2	4.0	17.1537				
4s^24d	^2D	^3/_2	4.0	18.9965				
4s^24d	^2D	^5/_2	6.0	19.0447				
4s^25s	^2S	^1/_2	2.0	19.4954				
4p^3	^4S°	^3/_2	4.0	19.76917				
4p^3	^2D°	^3/_2	4.0	23.52146				
4s^25p	^2P°	^1/_2	2.0	23.5462				
4s^25p	^2P°	^3/_2	4.0	23.6947				
4p^3	^2D°	^5/_2	6.0	24.41949				
4p^3	^2P°	^3/_2	4.0	27.19376				
4p^3	^2P°	^1/_2	2.0	28.08708				
4s^24f	^2F°	^7/_2	8.0	28.4772				
4s^24f	^2F°	^5/_2	6.0	28.4809				
4s^25d	^2D	^3/_2	4.0	29.4769				
4s^25d	^2D	^5/_2	6.0	29.4957				
4s^26s	^2S	^1/_2	2.0	29.8486				
4s^25g	^2G	^7/_2	8.0	34.2015				
4s^25g	^2G	^9/_2	10.0	34.2015				
4s^27s	^2S	^1/_2	2.0	34.94290				
