Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p^4	^3P	2	5.0	0.0000000	0	L3465		L3465
4s^24p^4	^3P	1	3.0	0.2466662				
4s^24p^4	^3P	0	1.0	0.314221				
4s^24p^4	^1D	2	5.0	1.1872912				
4s^24p^4	^1S	0	1.0	2.7829744				
4s^24p^3(^4S°)5s	^5S°	2	5.0	5.9738302				
4s^24p^3(^4S°)5s	^3S°	1	3.0	6.3228136				
4s^24p^3(^4S°)5p	^5P	1	3.0	7.3451708				
4s^24p^3(^4S°)5p	^5P	2	5.0	7.3507526				
4s^24p^3(^4S°)5p	^5P	3	7.0	7.3635835				
4s^24p^3(^4S°)5p	^3P	1	3.0	7.5162075				
4s^24p^3(^4S°)5p	^3P	2	5.0	7.5230373				
4s^24p^3(^4S°)5p	^3P	0	1.0	7.5253435		L2647		L2647
4s^24p^3(^2D°)5s	^3D°	1	3.0	7.6475020				
4s^24p^3(^2D°)5s	^3D°	2	5.0	7.6657561				
4s^24p^3(^2D°)5s	^3D°	3	7.0	7.7177190				
4s^24p^3(^4S°)4d	^5D°	4	9.0	7.8568706				
4s^24p^3(^4S°)4d	^5D°	2	5.0	7.8572685				
4s^24p^3(^4S°)4d	^5D°	0	1.0	7.8582269				
4s^24p^3(^4S°)4d	^5D°	1	3.0	7.8584614				
4s^24p^3(^4S°)4d	^5D°	3	7.0	7.8590380				
4s^24p^3(^2D°)5s	^1D°	2	5.0	7.8704248				
4s^24p^3(^4S°)4d	^3D°	2	5.0	8.0934329				
4s^24p^3(^4S°)4d	^3D°	1	3.0	8.0961129				
4s^24p^3(^4S°)4d	^3D°	3	7.0	8.1010950				
4s^24p^3(^4S°)6s	^5S°	2	5.0	8.1816597				
4s^24p^3(^4S°)6s	^3S°	1	3.0	8.2602322				
4s^24p^3(^4S°)6p	^5P	1	3.0	8.5875468				
4s^24p^3(^4S°)6p	^5P	2	5.0	8.5893297				
4s^24p^3(^4S°)6p	^5P	3	7.0	8.5938909				
4s^24p^3(^4S°)6p	^3P	1	3.0	8.6292338				
4s^24p^3(^4S°)6p	^3P	2	5.0	8.6310501				
4s^24p^3(^4S°)6p	^3P	0	1.0	8.6329613				
4s^24p^3(^4S°)5d	^5D°	1	3.0	8.7270471				
4s^24p^3(^4S°)5d	^5D°	0	1.0	8.727049				
4s^24p^3(^4S°)5d	^5D°	2	5.0	8.7271158				
4s^24p^3(^4S°)5d	^5D°	4	9.0	8.7273526				
4s^24p^3(^4S°)5d	^5D°	3	7.0	8.7274403				
4s^24p^3(^2P°)5s	^3P°	0	1.0	8.80226				
4s^24p^3(^4S°)5d	^3D°	2	5.0	8.8147871				
4s^24p^3(^4S°)5d	^3D°	1	3.0	8.8160271				
4s^24p^3(^4S°)5d	^3D°	3	7.0	8.8220696				
4s^24p^3(^2P°)5s	^3P°	1	3.0	8.8276170				
4s^24p^3(^4S°)7s	^5S°	2	5.0	8.882015				
4s^24p^3(^2P°)5s	^3P°	2	5.0	8.884586				
4s^24p^3(^4S°)4f	^5F	3	7.0	8.8942800				
4s^24p^3(^4S°)4f	^5F	4	9.0	8.8942919				
4s^24p^3(^4S°)4f	^5F	2	5.0	8.8943121				
4s^24p^3(^4S°)4f	^5F	1	3.0	8.8943192				
4s^24p^3(^4S°)4f	^5F	5	11.0	8.8943871				
4s^24p^3(^4S°)4f	^3F	3	7.0	8.8946116				
4s^24p^3(^4S°)4f	^3F	2	5.0	8.8947122				
4s^24p^3(^4S°)4f	^3F	4	9.0	8.8947126				
4s^24p^3(^2D°)5p	^3D	1	3.0	8.9090071				
4s^24p^3(^4S°)7s	^3S°	1	3.0	8.9132504				
4s^24p^3(^2D°)5p	^3D	2	5.0	8.9798306				
4s^24p^3(^2P°)5s	^1P°	1	3.0	8.997355				
4s^24p^3(^2D°)5p	^3F	2	5.0	9.0035070				
4s^24p^3(^2D°)5p	^3F	3	7.0	9.0156997				
4s^24p^3(^2D°)5p	^1P	1	3.0	9.0342435				
4s^24p^3(^2D°)5p	^3D	3	7.0	9.0546682				
4s^24p^3(^4S°)7p	^3P	0	1.0	9.0560474				
4s^24p^3(^4S°)7p	^3P	1	3.0	9.0561681				
4s^24p^3(^4S°)7p	^3P	2	5.0	9.0573442				
4s^24p^3(^4S°)7p	^5P	1	3.0	9.0611509				
4s^24p^3(^4S°)7p	^5P	2	5.0	9.0625480				
4s^24p^3(^4S°)7p	^5P	3	7.0	9.0633822				
4s^24p^3(^2D°)5p	^3F	4	9.0	9.0823364				
4s^24p^3(^2D°)5p	^3F	4	9.0	9.082351				
4s^24p^3(^2D°)5p	^1F	3	7.0	9.0835714				
4s^24p^3(^4S°)6d	^5D°	2	5.0	9.1179629				
4s^24p^3(^4S°)6d	^5D°	1	3.0	9.1182426				
4s^24p^3(^4S°)6d	^5D°	0	1.0	9.1182600				
