Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2p^63s^2	^1S	0	1.0	0.000000	0		95	L5815
3s3p	^3P°	0	1.0	6.537028				
3s3p	^3P°	1	3.0	6.552972				
3s3p	^3P°	2	5.0	6.585422				
3s3p	^1P°	1	3.0	10.276357			94	
3p^2	^1D	2	5.0	15.152669			65	
3p^2	^3P	0	1.0	16.081798				
3p^2	^3P	1	3.0	16.098353				
3p^2	^3P	2	5.0	16.130409				
3s3d	^3D	3	7.0	17.722765			99	
3s3d	^3D	2	5.0	17.723025			99	
3s3d	^3D	1	3.0	17.723324			99	
3s4s	^3S	1	3.0	19.016331				
3p^2	^1S	0	1.0	19.024660			82	
3s4s	^1S	0	1.0	19.722118				
3s3d	^1D	2	5.0	20.552241			60	
3s4p	^3P°	0	1.0	21.725752				
3s4p	^3P°	1	3.0	21.729855				
3s4p	^3P°	2	5.0	21.738926				
3s4p	^1P°	1	3.0	21.881623				
3p3d	^3F°	2	5.0	24.663327			75	
3p3d	^3F°	3	7.0	24.676140			75	
3p3d	^3F°	4	9.0	24.693201			75	
3s4d	^3D	1	3.0	24.994933			99	
3s4d	^3D	2	5.0	24.995001			99	
3s4d	^3D	3	7.0	24.995150			99	
3s4d	^1D	2	5.0	25.333789			86	
3s4f	^1F°	3	7.0	25.395443				
3p3d	^1D°	2	5.0	25.420367				
3s5s	^3S	1	3.0	25.562576				
3s5s	^1S	0	1.0	25.773102				
3s4f	^3F°	2	5.0	25.978583			77 | 3snf	
3s4f	^3F°	3	7.0	25.982046			77 | 3snf	
3s4f	^3F°	4	9.0	25.987051			77 | 3snf	
3s5p	^1P°	1	3.0	26.598599				
3s5p	^3P°	2	5.0	26.655272				
3s5p	^3P°	1	3.0	26.655939				
3s5p	^3P°	0	1.0	26.656040				
3p3d	^3P°	2	5.0	26.804174				
3p3d	^3P°	1	3.0	26.816380				
3p3d	^3P°	0	1.0	26.824014				
3p3d	^3D°	1	3.0	26.952400				
3p3d	^3D°	2	5.0	26.959114				
3p3d	^3D°	3	7.0	26.965260				
3s5f	^1F°	3	7.0	27.961701			55	
3p4s	^3P°	0	1.0	28.070023				
