Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3s^23p	^2P°	^1/_2	2.0	0.000000	0		94	L5815
3s^23p	^2P°	^3/_2	4.0	0.035613			94	
3s3p^2	^4P	^1/_2	2.0	5.309535				
3s3p^2	^4P	^3/_2	4.0	5.322966				
3s3p^2	^4P	^5/_2	6.0	5.344700				
3s3p^2	^2D	^3/_2	4.0	6.857485			66	
3s3p^2	^2D	^5/_2	6.0	6.859448			66	
3s^24s	^2S	^1/_2	2.0	8.121023			95	
3s3p^2	^2S	^1/_2	2.0	9.505292				
3s^23d	^2D	^3/_2	4.0	9.836720			68	
3s^23d	^2D	^5/_2	6.0	9.838769			68	
3s^24p	^2P°	^1/_2	2.0	10.066443			94	
3s^24p	^2P°	^3/_2	4.0	10.073880			94	
3s3p^2	^2P	^1/_2	2.0	10.390118				
3s3p^2	^2P	^3/_2	4.0	10.415201				
3s^25s	^2S	^1/_2	2.0	12.146991			95	
3s^24d	^2D	^3/_2	4.0	12.525262			92	
3s^24d	^2D	^5/_2	6.0	12.525423			92	
3s^24f	^2F°	^7/_2	8.0	12.839311			95	
3s^24f	^2F°	^5/_2	6.0	12.839327			95	
3s^25p	^2P°	^1/_2	2.0	12.877091				
3s^25p	^2P°	^3/_2	4.0	12.880129				
3s3p(^3P°)3d	^2D°	^3/_2	4.0	13.48684				
3s3p(^3P°)3d	^2D°	^5/_2	6.0	13.49203				
3s^26s	^2S	^1/_2	2.0	13.785116				
3s^25d	^2D	^3/_2	4.0	13.935149				
3s^25d	^2D	^5/_2	6.0	13.935169				
3s^25f	^2F°	^7/_2	8.0	14.104461				
3s^25f	^2F°	^5/_2	6.0	14.104482				
3s^26p	^2P°	^1/_2	2.0	14.129497				
3s^26p	^2P°	^3/_2	4.0	14.131312				
3s^25g	^2G	^9/_2	10.0	14.15616				
3s^25g	^2G	^7/_2	8.0	14.15616				
3s3p(^3P°)3d	^4F°	^3/_2	4.0	14.167134				
3s3p(^3P°)3d	^4F°	^5/_2	6.0	14.174760				
3s3p(^3P°)3d	^4F°	^7/_2	8.0	14.185600				
3s3p(^3P°)3d	^4F°	^9/_2	10.0	14.199804				
3s3p(^3P°)4s	^4P°	^1/_2	2.0	14.489089				
3s3p(^3P°)4s	^4P°	^3/_2	4.0	14.503471				
3s3p(^3P°)4s	^4P°	^5/_2	6.0	14.528228				
3s^27s	^2S	^1/_2	2.0	14.619572				
3s^26d	^2D	^3/_2	4.0	14.694962				
3s^26d	^2D	^5/_2	6.0	14.694970				
3s^27p	^2P°	^1/_2	2.0	14.784523				
3s^27p	^2P°	^3/_2	4.0	14.788068				
3s^26f	^2F°	^7/_2	8.0	14.792702				
3s^26f	^2F°	^5/_2	6.0	14.792721				
3s^26g	^2G	^9/_2	10.0	14.825811				
3s^26g	^2G	^7/_2	8.0	14.825811				
3s3p(^3P°)4s	^2P°	^1/_2	2.0	15.057152				
3s3p(^3P°)4s	^2P°	^3/_2	4.0	15.075262				
3s^28s	^2S	^1/_2	2.0	15.103058				
3s^27d	^2D	^3/_2	4.0	15.146341				
3s^27d	^2D	^5/_2	6.0	15.146349				
3s^27f	^2F°	^7/_2	8.0	15.207313				
3s^27f	^2F°	^5/_2	6.0	15.207328				
3s^27g	^2G	^9/_2	10.0	15.229615				
3s^27g	^2G	^7/_2	8.0	15.229615				
3p^3	^4S°	^3/_2	4.0	15.25421				
3s^28p	^2P°	^1/_2	2.0	15.262161				
3s^28p	^2P°	^3/_2	4.0	15.267249				
3s^29s	^2S	^1/_2	2.0	15.40835				
3s3p(^3P°)3d	^4D°	^5/_2	6.0	15.41333				
3s3p(^3P°)3d	^4D°	^3/_2	4.0	15.41437				
3s3p(^3P°)3d	^4D°	^1/_2	2.0	15.41586				
3s3p(^3P°)3d	^4D°	^7/_2	8.0	15.42977				
3s^28d	^2D	^5/_2	6.0	15.43550				
3s^28d	^2D	^3/_2	4.0	15.43550				
3s3p(^3P°)3d	^4P°	^5/_2	6.0	15.44439				
3s3p(^3P°)3d	^4P°	^3/_2	4.0	15.45037				
3s3p(^3P°)3d	^4P°	^1/_2	2.0	15.45325				
3s^28f	^2F°	^7/_2	8.0	15.475966				
3s^28f	^2F°	^5/_2	6.0	15.475973				
3s^28g	^2G	^9/_2	10.0	15.491627				
3s^28g	^2G	^7/_2	8.0	15.491627				
3s^29p	^2P°	^1/_2	2.0	15.50111				
3s^29p	^2P°	^3/_2	4.0	15.50220				
3s3p(^3P°)3d	^2P°	^3/_2	4.0	15.65132				
3s3p(^3P°)3d	^2P°	^1/_2	2.0	15.65660				
3s^29f	^2F°	^7/_2	8.0	15.659802				
3s^29f	^2F°	^5/_2	6.0	15.659802				
3s^29g	^2G	^9/_2	10.0	15.671165				
3s^29g	^2G	^7/_2	8.0	15.671165				
3s^210p	^2P°	^3/_2	4.0	15.68720				
3s^210p	^2P°	^1/_2	2.0	15.68963				
3s^210f	^2F°	^7/_2	8.0	15.791061				
3s^210f	^2F°	^5/_2	6.0	15.791061				
3s^210g	^2G	^9/_2	10.0	15.799557				
3s^210g	^2G	^7/_2	8.0	15.799557				
3s^211f	^2F°	^7/_2	8.0	15.887999				
3s^211f	^2F°	^5/_2	6.0	15.887999				
3s^211g	^2G	^9/_2	10.0	15.89451				
3s^211g	^2G	^7/_2	8.0	15.89451				
3s3p(^3P°)3d	^2F°	^5/_2	6.0	16.32588				
3s3p(^3P°)4p	^4D	^1/_2	2.0	16.33925				
