Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
2p^63s	^2S	^1/_2	2.0	0.000000	0	L5815		L5815
2p^63p	^2P°	^1/_2	2.0	8.838529				
2p^63p	^2P°	^3/_2	4.0	8.895698				
2p^63d	^2D	^5/_2	6.0	19.883893				
2p^63d	^2D	^3/_2	4.0	19.884040				
2p^64s	^2S	^1/_2	2.0	24.050317				
2p^64p	^2P°	^1/_2	2.0	27.061642				
2p^64p	^2P°	^3/_2	4.0	27.081704				
2p^64d	^2D	^5/_2	6.0	30.997044				
2p^64d	^2D	^3/_2	4.0	30.997059				
2p^64f	^2F°	^5/_2	6.0	31.507742				
2p^64f	^2F°	^7/_2	8.0	31.507984				
2p^65s	^2S	^1/_2	2.0	32.907632				
2p^65p	^2P°	^1/_2	2.0	34.282086				
2p^65p	^2P°	^3/_2	4.0	34.291429				
2p^65d	^2D	^3/_2	4.0	36.141084				
2p^65d	^2D	^5/_2	6.0	36.141096				
2p^65f	^2F°	^7/_2	8.0	36.416514				
2p^65f	^2F°	^5/_2	6.0	36.416514				
2p^65g	^2G	^9/_2	10.0	36.431259				
2p^65g	^2G	^7/_2	8.0	36.431259				
2p^66s	^2S	^1/_2	2.0	37.155206				
2p^66p	^2P°	^1/_2	2.0	37.894667				
2p^66p	^2P°	^3/_2	4.0	37.899771				
2p^66d	^2D	^5/_2	6.0	38.920490				
2p^66d	^2D	^3/_2	4.0	38.920490				
2p^66f	^2F°	^7/_2	8.0	39.083572				
2p^66f	^2F°	^5/_2	6.0	39.083572				
2p^66g	^2G	^9/_2	10.0	39.092872				
2p^66g	^2G	^7/_2	8.0	39.092872				
2p^66h	^2H°	^9/_2	10.0	39.094370				
2p^66h	^2H°	^11/_2	12.0	39.094370				
2p^67s	^2S	^1/_2	2.0	39.519069				
2p^67p	^2P°	^1/_2	2.0	39.961710				
2p^67p	^2P°	^3/_2	4.0	39.964797				
2p^67d	^2D	^3/_2	4.0	40.587711				
2p^67d	^2D	^5/_2	6.0	40.587711				
2p^67f	^2F°	^5/_2	6.0	40.691619				
2p^67f	^2F°	^7/_2	8.0	40.691619				
2p^67g	^2G	^9/_2	10.0	40.697769				
2p^67g	^2G	^7/_2	8.0	40.697769				
2p^67h	^2H°	^9/_2	10.0	40.698696				
2p^67h	^2H°	^11/_2	12.0	40.698696				
2p^67i	^2I	^11/_2	12.0	40.699147				
2p^67i	^2I	^13/_2	14.0	40.699147				
2p^68s	^2S	^1/_2	2.0	40.969296				
2p^68p	^2P°	^1/_2	2.0	41.254982				
2p^68p	^2P°	^3/_2	4.0	41.256972				
2p^68d	^2D	^5/_2	6.0	41.665082				
2p^68d	^2D	^3/_2	4.0	41.665082				
2p^68f	^2F°	^7/_2	8.0	41.735133				
2p^68f	^2F°	^5/_2	6.0	41.735133				
2p^68g	^2G	^7/_2	8.0	41.739366				
2p^68g	^2G	^9/_2	10.0	41.739366				
