Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3s^23p^2	^3P	0	1.0	0.0000000	0			L5815
3s^23p^2	^3P	1	3.0	0.0095610				L5815
3s^23p^2	^3P	2	5.0	0.0276679				L5815
3s^23p^2	^1D	2	5.0	0.7809579				L5815
3s^23p^2	^1S	0	1.0	1.9086586				L5815
3s3p^3	^5S°	2	5.0	4.1319040			100	L5815
3s^23p4s	^3P°	0	1.0	4.9200852			99	L5815
3s^23p4s	^3P°	1	3.0	4.9296471			98	L5815
3s^23p4s	^3P°	2	5.0	4.9537952			99	L5815
3s^23p4s	^1P°	1	3.0	5.0823459			97	L5815
3s3p^3	^3D°	1	3.0	5.6135319			56	L5815
3s3p^3	^3D°	2	5.0	5.6156943			56	L5815
3s3p^3	^3D°	3	7.0	5.6191930			56	L5815
3s^23p4p	^1P	1	3.0	5.8624764				L5815
3s^23p3d	^1D°	2	5.0	5.8708445			92	L5815
3s^23p4p	^3D	1	3.0	5.9537304				L5815
3s^23p4p	^3D	2	5.0	5.9639280				L5815
3s^23p4p	^3D	3	7.0	5.9840096				L5815
3s^23p4p	^3P	0	1.0	6.0787337				L5815
3s^23p4p	^3P	1	3.0	6.0827393				L5815
3s^23p4p	^3P	2	5.0	6.0986113				L5815
3s^23p4p	^3S	1	3.0	6.1247785				L5815
3s^23p3d	^3F°	2	5.0	6.1807152			98	L5815
3s^23p3d	^3F°	3	7.0	6.1909991			99	L5815
3s^23p3d	^3F°	4	9.0	6.206004			99	L5815
3s^23p4p	^1D	2	5.0	6.2226912				L5815
3s^23p3d	^3P°	2	5.0	6.2611819			81	L5815
3s^23p3d	^3P°	1	3.0	6.2694342			81	L5815
3s^23p3d	^3P°	0	1.0	6.273903			81	L5815
3s^23p4p	^1S	0	1.0	6.3990739				L5815
3s^23p3d	^1F°	3	7.0	6.616075			96	L5815
3s^23p3d	^1P°	1	3.0	6.6191858			92	L5815
3s^23p3d	^3D°	1	3.0	6.7181165			80 | 3pnd	L5815
3s^23p3d	^3D°	2	5.0	6.7205746			80 | 3pnd	L5815
3s^23p5s	^3P°	0	1.0	6.7255253			99	L5815
3s^23p3d	^3D°	3	7.0	6.7270828			80 | 3pnd	L5815
3s^23p5s	^3P°	1	3.0	6.7340552			92	L5815
3s^23p5s	^3P°	2	5.0	6.7606376			98	L5815
3s^23p5s	^1P°	1	3.0	6.8031408			89	L5815
3s^23p4d	^1D°	2	5.0	7.0055221			86	L5815
3s^23p4d	^3P°	2	5.0	7.0287762			50	L5815
