Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^6	^7F	0	1.0	0.000000	0		94	L3974
4f^6	^7F	1	3.0	0.036383			95	
4f^6	^7F	2	5.0	0.100867			96	
4f^6	^7F	3	7.0	0.185066			94	
4f^6	^7F	4	9.0	0.282421			98	
4f^6	^7F	5	11.0	0.388261			98	
4f^6	^7F	6	13.0	0.499283			97	
4f^5(^6H°)5d	^7H°	2	5.0	3.258745				
4f^5(^6H°)5d	^7H°	3	7.0	3.392400				
4f^5(^6H°)5d	^7F°	1	3.0	3.457410				
4f^5(^6H°)5d	^7F°	2	5.0	3.499926				
4f^5(^6H°)5d	^7G°	1	3.0	3.550206				
4f^5(^6H°)5d	^7F°	3	7.0	3.610588				
4f^5(^6H°)5d	^7H°	5	11.0	3.642316				
4f^5(^6H°)5d	^7G°	2	5.0	3.690243				
4f^5(^6F°)5d	^7G°	1	3.0	3.725537				
4f^5(^6H°)5d	^7F°	4	9.0	3.744185				
4f^5(^6H°)5d	^7G°	3	7.0	3.794939				
4f^5(^6F°)5d	^7G°	2	5.0	3.837125				
4f^5(^6H°)5d	^7F°	5	11.0	3.890198				
4f^5(^6H°)5d	^7G°	4	9.0	3.912515				
4f^5(^6F°)5d	^7G°	3	7.0	3.924970				
4f^5(^6H°)5d	^7G°	5	11.0	4.009872				
4f^5(^6F°)5d	^7G°	4	9.0	4.041739				
4f^5(^6H°)5d	^7F°	6	13.0	4.075114				
4f^5(^6H°)5d	^7G°	6	13.0	4.179507				
4f^5(^6F°)5d	^7G°	5	11.0	4.187181				
4f^5(^6F°)5d	^7F°	1	3.0	4.320428				
4f^5(^6F°)5d	^7F°	2	5.0	4.378460				
4f^5(^6F°)5d	^7F°	3	7.0	4.454504				
4f^5(^6F°)5d	^7D°	1	3.0	4.506521				
4f^5(^6F°)5d	^7F°	4	9.0	4.565857				
4f^5(^6F°)5d	^7D°	2	5.0	4.578970				
4f^5(^6F°)5d	^7D°	3	7.0	4.676177				
4f^5(^6F°)5d	^7F°	5	11.0	4.678970				
4f^5(^6F°)5d	^7D°	4	9.0	4.799969				
4f^5(^6F°)5d	^7F°	6	13.0	4.805383				
4f^5(^6F°)5d	^7D°	5	11.0	4.918054				
4f^5(^6P°)5d	^7D°	1	3.0	6.343131				
4f^5(^6P°)5d	^7D°	2	5.0	6.376791				
4f^5(^6P°)5d	^7D°	3	7.0	6.439784				
4f^5(^6P°)5d	^7D°	4	9.0	6.589708				
