Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^6(^7F)6s	^8F	^1/_2	2.0	0.000000	0	3.950	99	L3974
4f^6(^7F)6s	^8F	^3/_2	4.0	0.040498		1.975	98	
4f^6(^7F)6s	^8F	^5/_2	6.0	0.103926		1.708	97	
4f^6(^7F)6s	^8F	^7/_2	8.0	0.184632		1.610	97	
4f^6(^7F)6s	^6F	^1/_2	2.0	0.188244		-0.595	99	
4f^6(^7F)6s	^6F	^3/_2	4.0	0.248369		1.085	98	
4f^6(^7F)6s	^8F	^9/_2	10.0	0.277473		1.580	98	
4f^6(^7F)6s	^6F	^5/_2	6.0	0.333355		1.325	97	
4f^6(^7F)6s	^8F	^11/_2	12.0	0.378480		1.550	99	
4f^6(^7F)6s	^6F	^7/_2	8.0	0.433836		1.400	97	
4f^6(^7F)6s	^8F	^13/_2	14.0	0.484731		1.540	99	
4f^6(^7F)6s	^6F	^9/_2	10.0	0.543798		1.440	97	
4f^6(^7F)6s	^6F	^11/_2	12.0	0.659293		1.455	98	
4f^6(^7F)5d	^8H	^3/_2	4.0	0.884635		-0.385	99	
4f^6(^7F)5d	^8H	^5/_2	6.0	0.932964		0.70	99	
4f^6(^7F)5d	^8H	^7/_2	8.0	0.997577		1.055	99	
4f^6(^7F)5d	^8D	^3/_2	4.0	1.063623		2.62	84	
4f^6(^7F)5d	^8H	^9/_2	10.0	1.076087		1.210	99	
4f^6(^7F)5d	^8H	^11/_2	12.0	1.166273		1.300	99	
4f^6(^7F)5d	^8D	^5/_2	6.0	1.166691		2.01	90	
4f^6(^7F)5d	^8D	^7/_2	8.0	1.262246		1.790	91	
4f^6(^7F)5d	^8H	^13/_2	14.0	1.266422		1.35	99	
4f^6(^7F)5d	^8G	^1/_2	2.0	1.285903		0.360	70	
4f^6(^7F)5d	^8G	^3/_2	4.0	1.304128		1.335	65	
4f^6(^7F)5d	^8F	^1/_2	2.0	1.332012		2.32	69	
4f^6(^7F)5d	^8G	^5/_2	6.0	1.348117		1.435	63	
4f^6(^7F)5d	^8D	^9/_2	10.0	1.358887		1.685	92	
4f^6(^7F)5d	^6P	^3/_2	4.0	1.369691		2.510	84	
4f^6(^7F)5d	^8H	^15/_2	16.0	1.375488		1.38	99	
4f^6(^7F)5d	^8F	^3/_2	4.0	1.383081		1.64	61	
4f^6(^7F)5d	^8G	^7/_2	8.0	1.412850		1.465	64	
4f^6(^7F)5d	^8F	^5/_2	6.0	1.445631		1.57	38	
4f^6(^7F)5d	^8D	^11/_2	12.0	1.461904		1.636	95	
4f^6(^7F)5d	^6P	^5/_2	6.0	1.462840		1.99	35	
4f^6(^7F)5d	^8H	^17/_2	18.0	1.493402		1.41	100	
4f^6(^7F)5d	^8G	^9/_2	10.0	1.493411		1.470	66	
4f^6(^7F)5d	^8F	^7/_2	8.0	1.516617		1.532	62	
4f^6(^7F)5d	^8P	^5/_2	6.0	1.558085		2.16	51	
4f^6(^7F)5d	^8G	^11/_2	12.0	1.585734		1.47	69	
4f^6(^7F)5d	^8F	^9/_2	10.0	1.592155		1.52	65	
4f^6(^7F)5d	^8P	^7/_2	8.0	1.610289		1.86	63	
4f^6(^7F)5d	^8F	^11/_2	12.0	1.669633		1.51	68	
4f^6(^7F)5d	^8G	^13/_2	14.0	1.686743		1.47	72	
4f^6(^7F)5d	^6P	^7/_2	8.0	1.708137		1.78	61	
4f^6(^7F)5d	^8F	^13/_2	14.0	1.746262		1.514	73	
4f^6(^7F)5d	^8P	^9/_2	10.0	1.750037		1.778	96	
4f^6(^7F)5d	^6H	^5/_2	6.0	1.759761		0.295	98	
4f^6(^7F)5d	^8G	^15/_2	16.0	1.798226		1.455	97	
4f^6(^7F)5d	^6H	^7/_2	8.0	1.818595		0.840	96	
4f^6(^7F)5d	^6H	^9/_2	10.0	1.889885		1.080	96	
4f^6(^7F)5d	^6H	^11/_2	12.0	1.971044		1.21	96	
4f^6(^7F)5d	^6F	^3/_2	4.0	1.993387		1.35	46	
4f^6(^7F)5d	^6F	^1/_2	2.0	2.003872		0.300	88	
4f^6(^7F)5d	^6D	^5/_2	6.0	2.036899		1.355	50	
