Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^5	^6H°	^5/_2	6.0	0.0000	0		96	L3974
4f^5	^6H°	^7/_2	8.0	[0.134]		0.79	97	
4f^5	^6H°	^9/_2	10.0	[0.284]		1.00	98	
4f^5	^6H°	^11/_2	12.0	[0.448]			98	
4f^5	^6H°	^13/_2	14.0	[0.619]			98	
4f^5	^6F°	^1/_2	2.0	[0.780]			97	
4f^5	^6H°	^15/_2	16.0	[0.802]			96	
4f^5	^6F°	^3/_2	4.0	[0.811]			96	
4f^5	^6F°	^5/_2	6.0	[0.874]			95	
4f^5	^6F°	^7/_2	8.0	[0.981]			95	
4f^5	^6F°	^9/_2	10.0	[1.126]			96	
4f^5	^6F°	^11/_2	12.0	[1.298]		1.44	97	
4f^5	°	^5/_2	6.0	[2.214]		0.79	29 | ^4G4°	
4f^5	^4F3°	^3/_2	4.0	[2.338]		0.44	68	
4f^5	°	^7/_2	8.0	[2.481]		1.08	34 | ^4G4°	
4f^5	^4I3°	^9/_2	10.0	[2.549]			80	
4f^5	^4M°	^15/_2	16.0	[2.573]			74	
4f^5	^4I3°	^11/_2	12.0	[2.601]			63	
4f^5	^4I3°	^13/_2	14.0	[2.672]		1.02	46	
4f^5	^4M°	^17/_2	18.0	[2.793]			86	
