Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^66s^2	^7F	0	1.0	0.000000	0		94	L3974
4f^66s^2	^7F	1	3.0	0.036275		1.49839	95	
4f^66s^2	^7F	2	5.0	0.100665		1.49779	97	
4f^66s^2	^7F	3	7.0	0.184681		1.49707	98	
4f^66s^2	^7F	4	9.0	0.281827		1.49625	98	
4f^66s^2	^7F	5	11.0	0.387508		1.49532	98	
4f^66s^2	^7F	6	13.0	0.498498		1.49417	97	
4f^6(^7F)5d (^8H)6s	^9H	1	3.0	1.339166		-0.98	99	
4f^6(^7F)5d (^8H)6s	^9H	2	5.0	1.369393		0.67	98	
4f^6(^7F)5d (^8H)6s	^9H	3	7.0	1.414226		1.08	98	
4f^6(^7F)5d (^8H)6s	^9H	4	9.0	1.472622		1.25	97	
4f^6(^7F)5d (^8D)6s	^9D	2	5.0	1.526631		2.56	83	
4f^6(^7F)5d (^8H)6s	^9H	5	11.0	1.543027		1.33	97	
4f^6(^7F)5d (^8D)6s	^9D	3	7.0	1.592780		2.05	86	
4f^6(^7F)5d (^8H)6s	^7H	2	5.0	1.618000		0.02	88	
4f^6(^7F)5d (^8H)6s	^9H	6	13.0	1.623666		1.385	98	
4f^6(^7F)5d (^8F)6s		1	3.0	1.657588		2.65	38 | ^9F	
4f^6(^7F)5d (^8D)6s	^9D	4	9.0	1.668636		1.830	85	
4f^6(^7F)5d (^8H)6s	^7H	3	7.0	1.679093		0.77	86	
4f^6(^7F)5d (^8G)6s	^9G	0	1.0	1.680135			96	
4f^6(^7F)5d (^8G)6s	^9G	2	5.0	1.697065		1.780	54	
4f^6(^7F)5d (^8G)6s	^9G	1	3.0	1.702617		2.01	59	
4f^6(^7F)6s6p(^3P°)	^9G°	0	1.0	1.710531			94	
4f^6(^7F)5d (^8H)6s	^9H	7	15.0	1.712829		1.410	99	
4f^6(^7F)6s6p(^3P°)	^9G°	1	3.0	1.735717		1.50	95	
4f^6(^7F)5d (^8F)6s	^9F	1	3.0	1.739058		2.92	52	
4f^6(^7F)5d (^8G)6s	^9G	3	7.0	1.742809		1.63	54	
4f^6(^7F)5d (^8H)6s	^7H	4	9.0	1.754910		1.075	82	
4f^6(^7F)5d (^8D)6s	^9D	5	11.0	1.760929		1.715	85	
4f^6(^7F)5d (^8F)6s	^9F	2	5.0	1.781095		1.845	43	
4f^6(^7F)6s6p(^3P°)	^9G°	2	5.0	1.782955		1.50	95	
4f^6(^7F)5d (^6P)6s	^7P	2	5.0	1.804032		2.340	56	
4f^6(^7F)5d (^8G)6s	^9G	4	9.0	1.805703		1.575	57	
4f^6(^7F)5d (^8H)6s	^9H	8	17.0	1.809140		1.430	99	
4f^6(^7F)5d (^8P)6s	^9P	3	7.0	1.811712		2.14	48	
4f^6(^7F)5d (^8D)6s	^7D	2	5.0	1.832922		1.93	43	
4f^6(^7F)5d (^8H)6s	^7H	5	11.0	1.841934		1.240	76	
4f^6(^7F)6s6p(^3P°)	^9F°	1	3.0	1.842883		3.10	57	
4f^6(^7F)6s6p(^3P°)	^9G°	3	7.0	1.849327		1.49	94	
4f^6(^7F)5d (^8F)6s	^9F	3	7.0	1.849900		1.74	55	
4f^6(^7F)6s6p(^3P°)	°	2	5.0	1.864672		2.365	41 | ^9D°	
4f^6(^7F)5d (^8D)6s	^9D	6	13.0	1.870046		1.66	89	
4f^6(^7F)5d (^8H)6s	^9H	9	19.0	1.911669		1.445	100	
4f^6(^7F)6s6p(^3P°)	^9D°	3	7.0	1.922666		1.965	57	
4f^6(^7F)5d (^8D)6s	^7D	3	7.0	1.924800		1.84	53	
4f^6(^7F)6s6p(^3P°)	^9D°	2	5.0	1.930102		2.235	53	
4f^6(^7F)6s6p(^3P°)	^9G°	4	9.0	1.931565		1.500	94	
4f^6(^7F)6s6p(^3P°)	^5D°	0	1.0	1.932455			74	
4f^6(^7F)5d (^8H)6s	^7H	6	13.0	1.936317		1.36	65	
4f^6(^7F)5d (^8G)6s	^7G	1	3.0	1.939088		0.18	58	
4f^6(^7F)6s6p(^3P°)	^7G°	1	3.0	1.940421		-0.13	79	
4f^6(^7F)5d (^8F)6s	^7F	0	1.0	1.958167			74	
4f^6(^7F)5d (^6P)6s		3	7.0	1.963240		1.815	27 | ^7P	
4f^66s^2	^5D3	1	3.0	1.973153				
4f^6(^7F)5d (^8G)6s	^7G	2	5.0	1.978198		1.085	52	
4f^6(^7F)6s6p(^3P°)	^5D°	1	3.0	1.997674		1.50	59	
4f^6(^7F)6s6p(^3P°)	^7G°	2	5.0	1.998181		0.960	80	
4f^6(^7F)6s6p(^3P°)	^9D°	4	9.0	2.000055		1.79	70	
4f^6(^7F)6s6p(^3P°)	^9F°	3	7.0	2.009923		1.76	55	
4f^6(^7F)6s6p(^3P°)	^9G°	5	11.0	2.026493		1.505	94	
4f^6(^7F)5d (^8D)6s	^7D	4	9.0	2.027712		1.640	53	
4f^6(^7F)5d (^8H)6s	^7H	7	15.0	2.032464		1.430	53	
4f^6(^7F)6s6p(^3P°)	°	2	5.0	2.068272		1.77:	42 | ^5D°	
4f^6(^7F)6s6p(^3P°)	^7D°	1	3.0	2.069390		2.83:	53	
4f^6(^7F)6s6p(^3P°)	^7G°	3	7.0	2.076525		1.27	78	
4f^6(^7F)6s6p(^3P°)	^9D°	5	11.0	2.090288		1.705	81	
4f^6(^7F)6s6p(^3P°)	^9F°	4	9.0	2.094166		1.605	67	
4f^6(^7F)6s6p(^3P°)	^7F°	2	5.0	2.131313		1.425	46	
4f^6(^7F)6s6p(^3P°)	^9G°	6	13.0	2.131751		1.50	96	
4f^6(^7F)6s6p(^3P°)	°	3	7.0	2.137928		1.62	35 | ^7D°	
4f^6(^7F)5d (^8H)6s	^7H	8	17.0	2.141326		1.435	50	
4f^6(^7F)6s6p(^3P°)	^5G°	2	5.0	2.165058		0.755	74	
4f^6(^7F)6s6p(^3P°)	^7G°	4	9.0	2.170298		1.395	75	
4f^6(^7F)6s6p(^3P°)	^9F°	5	11.0	2.180567		1.545	68	
4f^6(^7F)6s6p(^3P°)	^9D°	6	13.0	2.188884		1.650	88	
4f^6(^7F)6s6p(^3P°)	°	1	3.0	2.203163		0.80:	26 | ^7F°	
4f^6(^7F)6s6p(^3P°)	^7F°	0	1.0	2.208264			65	
4f^6(^7F)6s6p(^3P°)	^7F°	3	7.0	2.210737		1.215	41	
4f^66s^2	^5D3	2	5.0	2.214890				
4f^6(^7F)6s6p(^3P°)	°	4	9.0	2.226666		1.52	30 | ^7D°	
4f^5(^6H°)5d6s^2	^7H°	2	5.0	2.241097		0.41	56	
4f^6(^7F)6s6p(^3P°)	^9G°	7	15.0	2.246452		1.49	98	
4f^6(^7F)5d (^6H)6s	^7H	2	5.0	2.253558		0.02	87	
4f^6(^7F)6s6p(^3P°)	^5G°	3	7.0	2.257633		1.39	36	
4f^6(^7F)6s6p(^3P°)	°	1	3.0	2.259628		0.695	31 | ^7F°	
4f^6(^7F)6s6p(^3P°)	^9F°	6	13.0	2.268700		1.52	62	
4f^5(^6H°)5d6s^2	^7F°	0	1.0	2.270029			74	
4f^5(^6H°)5d6s^2	^7I°	3	7.0	2.272462		0.33	88	
4f^6(^7F)6s6p(^3P°)	^7G°	5	11.0	2.275160		1.44	71	
4f^5(^6H°)5d6s^2	°	2	5.0	2.283370		1.08	15 | ^7H°	
4f^5(^6H°)5d6s^2	^7F°	1	3.0	2.290643		0.96	65	
4f^6(^7F)6s6p(^3P°)	^5G°	4	9.0	2.294140		1.365	41	
4f^5(^6H°)5d6s^2	^7F°	2	5.0	2.329425		1.280	31	
4f^6(^7F)6s6p(^3P°)	^5G°	5	11.0	2.332280		1.45	47	
4f^5(^6H°)5d6s^2	^7H°	3	7.0	2.349349		0.94	45	
4f^6(^7F)6s6p(^3P°)	^5F°	1	3.0	2.353927		0.18	58	
4f^6(^7F)6s6p(^3P°)	^9F°	7	15.0	2.356400		1.51	60	
4f^5(^6H°)5d6s^2	°	2	5.0	2.356880		0.945	37 | ^7G°	
4f^6(^7F)6s6p(^3P°)	^9G°	8	17.0	2.372909		1.50	100	
4f^5(^6H°)5d6s^2	^7I°	4	9.0	2.377377		0.96:	86	
