Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4p^6	^1S	0	1.0	0.00000	0.00015			L1771
4p^5(^2P°_3/2)4d	^2[^1/_2]°	0	1.0	21.875124	0.000006		99 | 4p^5(^2P°)4d | ^3P°	L1771,L2596
4p^5(^2P°_3/2)4d	^2[^1/_2]°	1	3.0	22.031768	0.000006		96 | 4p^5(^2P°)4d | ^3P°	L1771,L2596
4p^5(^2P°_3/2)4d	^2[^3/_2]°	2	5.0	22.343623	0.000006		89 | 4p^5(^2P°)4d | ^3P°	L1771,L2596
4p^5(^2P°_3/2)4d	^2[^7/_2]°	4	9.0	22.704410	0.000006		100 | 4p^5(^2P°)4d | ^3F°	L1771,L2596
4p^5(^2P°_3/2)4d	^2[^7/_2]°	3	7.0	22.950203	0.000006		88 | 4p^5(^2P°)4d | ^3F°	L1771,L2596
4p^5(^2P°_3/2)4d	^2[^5/_2]°	2	5.0	23.255059	0.000006		78 | 4p^5(^2P°)4d | ^3F°	L1771,L2596
4p^5(^2P°_3/2)5s	^2[^3/_2]°	2	5.0	23.886282	0.000006		94	L1771,L2596
4p^5(^2P°_3/2)4d	^2[^5/_2]°	3	7.0	23.942126	0.000006		62 | 4p^5(^2P°)4d | ^3D°	L1771,L2596
4p^5(^2P°_3/2)5s	^2[^3/_2]°	1	3.0	24.103949	0.000006		95	L1771,L2596
4p^5(^2P°_1/2)4d	^2[^5/_2]°	2	5.0	24.336873	0.000006		48 | 4p^5(^2P°)4d | ^1D°	L1771,L2596
4p^5(^2P°_3/2)4d	^2[^3/_2]°	1	3.0	24.452904	0.000006		96 | 4p^5(^2P°)4d | ^3D°	L1771,L2596
4p^5(^2P°_1/2)4d	^2[^3/_2]°	2	5.0	24.640389	0.000006		55 | 4p^5(^2P°)4d | ^3D°	L1771,L2596
4p^5(^2P°_1/2)4d	^2[^5/_2]°	3	7.0	24.786425	0.000006		55 | 4p^5(^2P°)4d | ^1F°	L1771,L2596
4p^5(^2P°_1/2)5s	^2[^1/_2]°	0	1.0	25.054893	0.000006		99	L1771,L2596
4p^5(^2P°_1/2)5s	^2[^1/_2]°	1	3.0	25.211195	0.000006		96	L1771,L2596
4p^5(^2P°_3/2)5p	^2[^1/_2]	1	3.0	27.499125	0.000006		92	L1771,L2596
4p^5(^2P°_3/2)5p	^2[^5/_2]	2	5.0	27.934963	0.000006		89	L1771,L2596
