Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4p^65s	^2S	^1/_2	2.0	0.000000	0	L3465		L3465
4p^64d	^2D	^3/_2	4.0	1.8047016	0.0000012	L3465		L3465
4p^64d	^2D	^5/_2	6.0	1.8394593	0.0000012	L3465		L3465
4p^65p	^2P°	^1/_2	2.0	2.9403088	0.0000012	L3465		L3465
4p^65p	^2P°	^3/_2	4.0	3.0396772	0.0000012	L3465		L3465
4p^66s	^2S	^1/_2	2.0	5.9185754	0.0000012	L3465		L3465
4p^65d	^2D	^3/_2	4.0	6.6066604	0.0000012	L3465		L3465
4p^65d	^2D	^5/_2	6.0	6.6174049	0.0000012	L3465		L3465
4p^66p	^2P°	^1/_2	2.0	6.91456	0.00004	L3465		L3465
4p^66p	^2P°	^3/_2	4.0	6.95029	0.00004	L3465		L3465
4p^64f	^2F°	^7/_2	8.0	7.561801	0.000012	L9487		L9487
4p^64f	^2F°	^5/_2	6.0	7.561962	0.000012	L9487		L9487
4p^67s	^2S	^1/_2	2.0	8.0545219	0.0000025	L3465		L3465
4p^66d	^2D	^3/_2	4.0	8.3717689	0.0000025	L3465		L3465
4p^66d	^2D	^5/_2	6.0	8.3767630	0.0000025	L3465		L3465
4p^67p	^2P°	^1/_2	2.0	8.515153	0.000025	L13983		L13983
4p^67p	^2P°	^3/_2	4.0	8.532235	0.000025	L13983		L13983
4p^65f	^2F°	^5/_2	6.0	8.811036	0.000012	L3465		L3465
4p^65f	^2F°	^7/_2	8.0	8.811036	0.000012	L3465		L3465
4p^65g	^2G	^7/_2	8.0	8.847240	0.000012	L3465		L3465
4p^65g	^2G	^9/_2	10.0	8.847240	0.000012	L3465		L3465
4p^68s	^2S	^1/_2	2.0	9.080243	0.000012	L3465		L3465
4p^67d	^2D	^3/_2	4.0	9.251862	0.000012	L3465		L3465
4p^67d	^2D	^5/_2	6.0	9.254565	0.000012	L3465		L3465
4p^68p	^2P°	^3/_2	4.0	9.337473	0.000012	L3465		L3465
4p^66f	^2F°	^7/_2	8.0	9.491412	0.000012	L3465		L3465
4p^66f	^2F°	^5/_2	6.0	9.491412	0.000012	L3465		L3465
4p^66g	^2G	^7/_2	8.0	9.514262	0.000012	L3465		L3465
4p^66g	^2G	^9/_2	10.0	9.514262	0.000012	L3465		L3465
4p^69s	^2S	^1/_2	2.0	9.653112	0.000012	L3465		L3465
4p^68d	^2D	^3/_2	4.0	9.756168	0.000012	L3465		L3465
4p^68d	^2D	^5/_2	6.0	9.757854	0.000012	L3465		L3465
4p^67f	^2F°	^5/_2	6.0	9.901539	0.000025	L3465		L3465
4p^67f	^2F°	^7/_2	8.0	9.901539	0.000025	L3465		L3465
4p^67g	^2G	^9/_2	10.0	9.916789	0.000012	L3465		L3465
4p^67g	^2G	^7/_2	8.0	9.916789	0.000012	L3465		L3465
4p^610s	^2S	^1/_2	2.0	10.005748	0.000012	L3465		L3465
4p^69d	^2D	^3/_2	4.0	10.072501	0.000012	L3465		L3465
4p^69d	^2D	^5/_2	6.0	[10.073592]	0.000012	L3465		L3465
4p^68f	^2F°	^5/_2	6.0	10.167436	0.000025	L3465		L3465
4p^68f	^2F°	^7/_2	8.0	10.167436	0.000025	L3465		L3465
4p^68g	^2G	^7/_2	8.0	10.177912	0.000012	L3465		L3465
4p^68g	^2G	^9/_2	10.0	10.177912	0.000012	L3465		L3465
4p^611s	^2S	^1/_2	2.0	10.238132	0.000025	L3465		L3465
4p^610d	^2D	^5/_2	6.0	10.28468	0.00004	L3465		L3465
4p^610d	^2D	^3/_2	4.0	10.28497	0.00004	L3465		L3465
4p^69f	^2F°	^5/_2	6.0	10.349296	0.000025	L3465		L3465
4p^69f	^2F°	^7/_2	8.0	10.349296	0.000025	L3465		L3465
4p^69g	^2G	^7/_2	8.0	[10.35687]	0.00004	L3465		L3465
4p^69g	^2G	^9/_2	10.0	[10.35687]	0.00004	L3465		L3465
4p^612s	^2S	^1/_2	2.0	10.399782	0.000025	L3465		L3465
4p^611d	^2D	^3/_2	4.0	10.43228	0.00004	L3465		L3465
4p^611d	^2D	^5/_2	6.0	10.43289	0.00004	L3465		L3465
4p^610f	^2F°	^5/_2	6.0	10.479268	0.000025	L3465		L3465
4p^610f	^2F°	^7/_2	8.0	10.479268	0.000025	L3465		L3465
4p^610g	^2G	^7/_2	8.0	10.484972	0.000025	L3465		L3465
4p^610g	^2G	^9/_2	10.0	10.484972	0.000025	L3465		L3465
4p^613s	^2S	^1/_2	2.0	10.516228	0.000025	L3465		L3465
4p^612d	^2D	^3/_2	4.0	10.54058	0.00004	L3465		L3465
4p^612d	^2D	^5/_2	6.0	10.54058	0.00004	L3465		L3465
4p^611f	^2F°	^7/_2	8.0	10.575207	0.000025	L3465		L3465
4p^611f	^2F°	^5/_2	6.0	10.575207	0.000025	L3465		L3465
4p^611g	^2G	^7/_2	8.0	10.579609	0.000025	L3465		L3465
4p^611g	^2G	^9/_2	10.0	10.579609	0.000025	L3465		L3465
4p^613d	^2D	^3/_2	4.0	10.62158	0.00004	L3465		L3465
4p^613d	^2D	^5/_2	6.0	10.62158	0.00004	L3465		L3465
4p^612f	^2F°	^5/_2	6.0	10.648246	0.000025	L3465		L3465
4p^612f	^2F°	^7/_2	8.0	10.648246	0.000025	L3465		L3465
4p^614d	^2D	^3/_2	4.0	10.68429	0.00004	L3465		L3465
4p^614d	^2D	^5/_2	6.0	10.68429	0.00004	L3465		L3465
