Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4s^24p^5	^2P°	^3/_2	4.0	0.00000	0.00007			L4311
4s^24p^5	^2P°	^1/_2	2.0	1.20611	0.00004			L4311
4s4p^6	^2S	^1/_2	2.0	18.660130	0.000025		70	L4311
4s^24p^4(^3P)4d	^4D	^7/_2	8.0	23.204923	0.000006		94	L4311
4s^24p^4(^3P)4d	^4D	^5/_2	6.0	23.209934	0.000006		91	L4311
4s^24p^4(^3P)4d	^4D	^3/_2	4.0	23.312019	0.000006		90	L4311
4s^24p^4(^3P)4d	^4D	^1/_2	2.0	23.447847	0.000006		90	L4311
4s^24p^4(^3P)4d	^4F	^9/_2	10.0	24.432330	0.000006		92	L4311
4s^24p^4(^3P)4d	^4F	^7/_2	8.0	24.838998	0.000006		78	L4311
4s^24p^4(^1D)4d	^2P	^1/_2	2.0	24.862458	0.000006		46	L4311
4s^24p^4(^3P)4d	^4F	^5/_2	6.0	25.211495	0.000006		95	L4311
4s^24p^4(^3P)4d	^4F	^3/_2	4.0	25.315058	0.000006		77	L4311
4s^24p^4(^3P)4d	^4P	^1/_2	2.0	25.384959	0.000006		91	L4311
4s^24p^4(^3P)4d	^4P	^3/_2	4.0	25.393073	0.000006		53	L4311
4s^24p^4(^1D)4d	^2D	^3/_2	4.0	25.605727	0.000006		39	L4311
4s^24p^4(^3P)4d	^2F	^7/_2	8.0	25.724022	0.000006		55	L4311
4s^24p^4(^3P)4d	^4P	^5/_2	6.0	25.904986	0.000006		80	L4311
4s^24p^4(^1D)4d	^2P	^3/_2	4.0	25.938867	0.000006		26	L4311
4s^24p^4(^1D)4d	^2D	^5/_2	6.0	26.281311	0.000006		37	L4311
4s^24p^4(^3P)4d	^2F	^5/_2	6.0	26.649909	0.000006		68	L4311
4s^24p^4(^1D)4d	^2G	^9/_2	10.0	26.679872	0.000006		92	L4311
4s^24p^4(^1D)4d	^2G	^7/_2	8.0	26.679955	0.000006		73	L4311
4s^24p^4(^1D)4d	^2F	^5/_2	6.0	28.004457	0.000006		85	L4311
4s^24p^4(^1D)4d	^2F	^7/_2	8.0	28.280514	0.000006		85	L4311
4s^24p^4(^3P_2)5s	^2[2]	^5/_2	6.0	28.349504	0.000006		93	L4311
4s^24p^4(^3P_2)5s	^2[2]	^3/_2	4.0	28.790424	0.000006		80	L4311
4s^24p^4(^3P_0)5s	^2[0]	^1/_2	2.0	29.374914	0.000006		58	L4311
4s^24p^4(^3P_1)5s	^2[1]	^3/_2	4.0	29.535265	0.000006		87	L4311
4s^24p^4(^3P_1)5s	^2[1]	^1/_2	2.0	30.015687	0.000006		63	L4311
4s^24p^4(^1S)4d	^2D	^3/_2	4.0	30.025448	0.000006		60	L4311
4s^24p^4(^1S)4d	^2D	^5/_2	6.0	30.467247	0.000006		70	L4311
4s^24p^4(^1D_2)5s	^2[2]	^5/_2	6.0	31.001847	0.000006		87	L4311
4s^24p^4(^1D_2)5s	^2[2]	^3/_2	4.0	31.058494	0.000006		85	L4311
4s^24p^4(^3P)4d	^2P	^3/_2	4.0	31.291872	0.000006		46	L4311
4s^24p^4(^3P)4d	^2P	^1/_2	2.0	31.396741	0.000006		31	L4311
4s^24p^4(^3P)4d	^2D	^5/_2	6.0	31.593772	0.000006		56	L4311
4s^24p^4(^1D)4d	^2S	^1/_2	2.0	31.906712	0.000006		41	L4311
4s^24p^4(^3P)4d	^2D	^3/_2	4.0	32.754340	0.000006		53	L4311
4s^24p^4(^3P_2)5p	^2[1]°	^3/_2	4.0	33.169401	0.000006		43	L4311
4s^24p^4(^3P_2)5p	^2[2]°	^5/_2	6.0	33.170400	0.000006		88	L4311
4s^24p^4(^3P_2)5p	^2[1]°	^1/_2	2.0	33.519165	0.000006		58	L4311
4s^24p^4(^3P_2)5p	^2[3]°	^7/_2	8.0	33.630647	0.000006		95	L4311
4s^24p^4(^3P_2)5p	^2[3]°	^5/_2	6.0	33.640454	0.000006		85	L4311
4s^24p^4(^1S_0)5s	^2[0]	^1/_2	2.0	34.056968	0.000006		87	L4311
4s^24p^4(^3P_1)5p	^2[0]°	^1/_2	2.0	34.226416	0.000006		64	L4311
4s^24p^4(^3P_2)5p	^2[2]°	^3/_2	4.0	34.239372	0.000006		39	L4311
4s^24p^4(^3P_0)5p	^2[1]°	^1/_2	2.0	34.456925	0.000006		66	L4311
4s^24p^4(^3P_1)5p	^2[2]°	^3/_2	4.0	34.477278	0.000006		38	L4311
4s^24p^4(^3P_1)5p	^2[2]°	^5/_2	6.0	34.612138	0.000006		95	L4311
4s^24p^4(^3P_0)5p	^2[1]°	^3/_2	4.0	34.906990	0.000006		72	L4311
4s^24p^4(^3P_1)5p	^2[1]°	^3/_2	4.0	35.006383	0.000006		64	L4311
4s^24p^4(^3P_1)5p	^2[1]°	^1/_2	2.0	35.018160	0.000006		59	L4311
4s^24p^4(^1D_2)5p	^2[3]°	^5/_2	6.0	35.788675	0.000006		91	L4311
4s^24p^4(^1D_2)5p	^2[3]°	^7/_2	8.0	35.994087	0.000006		95	L4311
4s^24p^4(^1D_2)5p	^2[1]°	^3/_2	4.0	36.259758	0.000006		67	L4311
4s^24p^4(^1D_2)5p	^2[2]°	^3/_2	4.0	36.558926	0.000006		81	L4311
4s^24p^4(^1D_2)5p	^2[2]°	^5/_2	6.0	36.590060	0.000006		94	L4311
4s^24p^4(^1D_2)5p	^2[1]°	^1/_2	2.0	36.910727	0.000006		68	L4311
4s^24p^4(^1S_0)5p	^2[1]°	^1/_2	2.0	39.013713	0.000006		90	L4311
4s^24p^4(^1S_0)5p	^2[1]°	^3/_2	4.0	39.153180	0.000006		91	L4311
4s^24p^4(^3P_2)5d	^2[3]	^7/_2	8.0	40.563485	0.000006		93	L4311
4s^24p^4(^3P_2)5d	^2[2]	^5/_2	6.0	40.579571	0.000006		60	L4311
4s^24p^4(^3P_2)5d	^2[2]	^3/_2	4.0	40.650190	0.000006		60	L4311
4s^24p^4(^3P)4f	^4F°	^9/_2	10.0	40.735183	0.000006		70	L4311
4s^24p^4(^3P_2)5d	^2[1]	^1/_2	2.0	40.757807	0.000006		79	L4311
4s^24p^4(^3P)4f	^4F°	^7/_2	8.0	40.779478	0.000006		68	L4311
4s^24p^4(^3P_2)5d	^2[4]	^9/_2	10.0	40.799299	0.000006		94	L4311
4s^24p^4(^3P)4f	^4F°	^5/_2	6.0	40.875242	0.000006		64	L4311
4s^24p^4(^3P_2)5d	^2[4]	^7/_2	8.0	40.911553	0.000006		90	L4311
4s^24p^4(^3P)4f	^4F°	^3/_2	4.0	41.015391	0.000006		59	L4311
4s^24p^4(^3P_2)5d	^2[0]	^1/_2	2.0	41.110046	0.000006		87	L4311
4s^24p^4(^3P_2)5d	^2[1]	^3/_2	4.0	41.290530	0.000006		65	L4311
4s^24p^4(^3P_2)5d	^2[3]	^5/_2	6.0	41.311037	0.000006		55	L4311
4s^24p^4(^3P_2)6s	^2[2]	^5/_2	6.0	41.428562	0.000006		94	L4311
4s4d(^3D)4p^5(^2P°)	^4P°	^1/_2	2.0	41.443902	0.000006		79	L4311
4s^24p^4(^3P)4f	^4G°	^11/_2	12.0	41.581709	0.000006		92	L4311
4s4d(^3D)4p^5(^2P°)	^4P°	^3/_2	4.0	41.582951	0.000006		61	L4311
4s^24p^4(^3P)4f	^4D°	^1/_2	2.0	41.588160	0.000006		68	L4311
4s^24p^4(^3P_2)6s	^2[2]	^3/_2	4.0	41.588873	0.000006		90	L4311
4s^24p^4(^3P)4f	^2F°	^5/_2	6.0	41.622345	0.000006		44	L4311
4s^24p^4(^3P)4f	^2G°	^9/_2	10.0	41.631408	0.000006		64	L4311
4s^24p^4(^3P)4f	^2F°	^7/_2	8.0	41.631458	0.000006		59	L4311
4s^24p^4(^3P_1)5d	^2[1]	^1/_2	2.0	41.700069	0.000006		84	L4311
4s^24p^4(^3P)4f	^4D°	^3/_2	4.0	41.748422	0.000006		38	L4311
4s^24p^4(^3P_1)5d	^2[3]	^7/_2	8.0	41.770061	0.000006		96	L4311
4s^24p^4(^3P_0)5d	^2[2]	^3/_2	4.0	41.788557	0.000006		63	L4311
4s^24p^4(^3P_0)5d	^2[2]	^5/_2	6.0	41.801436	0.000006		51	L4311
4s^24p^4(^3P_1)5d	^2[1]	^3/_2	4.0	41.902175	0.000006		46	L4311
4s4d(^3D)4p^5(^2P°)	^4P°	^5/_2	6.0	41.930754	0.000006		79	L4311
