Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^2	^1S	0	1.0	0.0000000	0	L15350		L15350
5s5p	^3P°	0	1.0	1.77514463	0.00000012	L15350		L15350
5s5p	^3P°	1	3.0	1.7983082	0.0000004	L15350		L15350
5s5p	^3P°	2	5.0	1.8471842	0.0000005	L15350		L15350
5s4d	^3D	1	3.0	2.2514340	0.0000004	L15350		L15350
5s4d	^3D	2	5.0	2.2588413	0.0000004	L15350		L15350
5s4d	^3D	3	7.0	2.2712989	0.0000005	L15350		L15350
5s4d	^1D	2	5.0	2.4982425	0.0000004	L15350		L15350
5s5p	^1P°	1	3.0	2.6902652	0.0000005	L15350		L15350
5s6s	^3S	1	3.0	3.6003490	0.0000005	L15350		L15350
5s6s	^1S	0	1.0	3.7929029	0.0000020	L15350		L15350
4d5p	^3F°	2	5.0	4.1245639	0.0000004	L15350		L15350
4d5p	^3F°	3	7.0	4.1645931	0.0000009	L15350		L15350
4d5p	^1D°	2	5.0	4.1940010	0.0000004	L15350		L15350
5s6p	^3P°	0	1.0	4.1972978	0.0000007	L15350		L15350
5s6p	^3P°	1	3.0	4.1991361	0.0000007	L15350		L15350
4d5p	^3F°	4	9.0	4.2054591	0.0000007	L15350		L15350
5s6p	^3P°	2	5.0	4.2121232	0.0000005	L15350		L15350
5s6p	^1P°	1	3.0	4.2276633	0.0000007	L15350		L15350
5s5d	^1D	2	5.0	4.3056547	0.0000006	L15350		L15350
5s5d	^3D	1	3.0	4.3403034	0.0000009	L15350		L15350
5s5d	^3D	2	5.0	4.3421732	0.0000015	L15350		L15350
5s5d	^3D	3	7.0	4.3450286	0.0000010	L15350		L15350
5p^2	^3P	0	1.0	4.3634307	0.0000024	L15350		L15350
5p^2	^3P	1	3.0	4.3890536	0.0000006	L15350		L15350
5p^2	^3P	2	5.0	4.4230913	0.0000010	L15350		L15350
4d5p	^3D°	1	3.0	4.4961817	0.0000010	L15350		L15350
4d5p	^3D°	2	5.0	4.5107616	0.0000010	L15350		L15350
4d5p	^3D°	3	7.0	4.5327993	0.0000007	L15350		L15350
4d^2	^1D	2	5.0	4.5825604	0.0000006	L15350,L9352		L15350,L9352
5p^2	^1S	0	1.0	4.6072818	0.0000006	L15350		L15350
4d5p	^3P°	0	1.0	4.6236279	0.0000009	L15350		L15350
4d5p	^3P°	1	3.0	4.6249492	0.0000007	L15350		L15350
4d5p	^3P°	2	5.0	4.6291473	0.0000005	L15350		L15350
5s7s	^3S	1	3.0	4.6400683	0.0000006	L15350		L15350
4d5p	^1F°	3	7.0	4.7123594	0.0000020	L15350		L15350
5s7s	^1S	0	1.0	4.7664501	0.0000009	L15350		L15350
5s4f	^3F°	2	5.0	4.8044398	0.0000009	L15350		L15350
5s4f	^3F°	3	7.0	4.8046865	0.0000009	L15350		L15350
5s4f	^3F°	4	9.0	4.8050293	0.0000010	L15350		L15350
5s7p	^1P°	1	3.0	4.8238356	0.0000012	L15350		L15350
5s7p	^3P°	0	1.0	4.8864242	0.0000010	L15350		L15350
5s7p	^3P°	1	3.0	4.8882558	0.0000010	L15350		L15350
5s7p	^3P°	2	5.0	4.8920920	0.0000010	L15350		L15350
5s4f	^1F°	3	7.0	4.9022128	0.0000009	L15350		L15350
5s6d	^3D	1	3.0	4.9204158	0.0000021	L15350		L15350
5s6d	^3D	2	5.0	4.9210323	0.0000011	L15350		L15350
5s6d	^3D	3	7.0	4.9225581	0.0000011	L15350		L15350
5s6d	^1D	2	5.0	4.9262725	0.0000011	L15350		L15350
5s8s	^3S	1	3.0	5.0537660	0.0000025	L15350		L15350
5s8s	^1S	0	1.0	5.0898395	0.0000024	L15350		L15350
4d5p	^1P°	1	3.0	5.1046841	0.0000017	L15350		L15350
5s5f	^3F°	2	5.0	5.1285570	0.0000022	L15350		L15350
5s5f	^3F°	3	7.0	5.128666	0.000003	L15350		L15350
5s5f	^3F°	4	9.0	5.12881	0.00003	L15350		L15350
5s5f	^1F°	3	7.0	5.147705	0.000024	L15350		L15350
5s8p	^3P°	0	1.0	5.171635	0.000006	L4542		L4542
5s8p	^3P°	1	3.0	5.172585	0.000006	L4542		L4542
5s8p	^3P°	2	5.0	5.174602	0.000006	L4542		L4542
5s7d	^1D	2	5.0	5.186439	0.000003	L15350		L15350
5s7d	^3D	1	3.0	5.1905184	0.0000010	L15350		L15350
5s7d	^3D	2	5.0	5.1911279	0.0000012	L15350		L15350
5s7d	^3D	3	7.0	5.1918208	0.0000012	L15350		L15350
5s9s	^3S	1	3.0	5.26327	0.00004	L15350		L15350
5s8p	^1P°	1	3.0	5.2646339	0.0000017	L15350		L15350
5s9s	^1S	0	1.0	5.281302	0.000003	L15350		L15350
5s6f	^3F°	2	5.0	5.303675	0.000003	L15350		L15350
5s6f	^3F°	3	7.0	5.3037399	0.0000022	L15350		L15350
5s6f	^3F°	4	9.0	5.3038110	0.0000011	L15350		L15350
5s6f	^1F°	3	7.0	5.311432	0.000003	L15350		L15350
5s9p	^3P°	0	1.0	5.329567	0.000009	L4542		L4542
5s9p	^3P°	1	3.0	5.330113	0.000009	L4542		L4542
5s9p	^3P°	2	5.0	5.331294	0.000009	L4542		L4542
5s8d	^1D	2	5.0	5.333931	0.000003	L15350		L15350
5s8d	^3D	2	5.0	5.3400327	0.0000011	L15350		L15350
5s8d	^3D	3	7.0	5.3405856	0.0000012	L15350		L15350
5s9p	^1P°	1	3.0	5.371992	0.000009	L15350		L15350
5s10s	^3S	1	3.0	5.384316	0.000024	L15350		L15350
5s10s	^1S	0	1.0	5.39482100	0.00000012	L5644		L5644
5s7f	^3F°	2	5.0	5.408674	0.000003	L15350		L15350
5s7f	^3F°	3	7.0	5.408712	0.000003	L15350		L15350
5s7f	^3F°	4	9.0	5.4087461	0.0000011	L15350		L15350
5s7f	^1F°	3	7.0	5.412681	0.000003	L15350		L15350
5s9d	^1D	2	5.0	5.425022	0.000003	L15350		L15350
5s10p	^3P°	0	1.0	5.425381	0.000009	L4542		L4542
5s10p	^3P°	1	3.0	5.425731	0.000009	L4542		L4542
5s10p	^3P°	2	5.0	5.426488	0.000009	L4542		L4542
5s9d	^3D	2	5.0	5.431114	0.000003	L15350		L15350
5s10p	^1P°	1	3.0	5.447643	0.000003	L15350		L15350
5s11s	^3S	1	3.0	5.460679	0.000025	L15350		L15350
5s11s	^1S	0	1.0	5.46734637	0.00000012	L5644		L5644
5s8f	^3F°	2	5.0	5.476481	0.000004	L15350		L15350
5s8f	^3F°	3	7.0	5.476505	0.000004	L15350		L15350
5s8f	^3F°	4	9.0	5.476546	0.000004	L15350		L15350
5s8f	^1F°	3	7.0	5.478848	0.000004	L15350		L15350
5s10d	^1D	2	5.0	5.48499335	0.00000012	L5644		L5644
5s11p	^3P°	0	1.0	5.487875	0.000009	L4542		L4542
5s11p	^3P°	1	3.0	5.488101	0.000009	L4542		L4542
5s11p	^3P°	2	5.0	5.488622	0.000009	L4542		L4542
5s10d	^3D	2	5.0	5.490877	0.000025	L9511		L9511
5s11p	^1P°	1	3.0	5.500735	0.000004	L15350		L15350
5s12s	^3S	1	3.0	5.51187	0.00003	L15350		L15350
5s12s	^1S	0	1.0	5.51640846	0.00000012	L5644		L5644
4d^2	^3P	0	1.0	5.5205003	0.0000012	L15350		L15350
5s9f	^3F°	2	5.0	5.522786	0.000004	L15350		L15350
5s9f	^3F°	3	7.0	5.522807	0.000004	L15350		L15350
5s9f	^3F°	4	9.0	5.522830	0.000004	L15350		L15350
5s9f	^1F°	3	7.0	5.524299	0.000004	L15350		L15350
5s11d	^1D	2	5.0	5.52705302	0.00000012	L5644		L5644
4d^2	^3P	1	3.0	5.5291894	0.0000011	L15350		L15350
5s12p	^3P°	0	1.0	5.530874	0.000005	L4542		L4542
5s12p	^3P°	1	3.0	5.531040	0.000005	L4542		L4542
5s12p	^3P°	2	5.0	5.531404	0.000005	L4542		L4542
5s11d	^3D	2	5.0	5.532155	0.000025	L9511		L9511
5s12p	^1P°	1	3.0	5.539085	0.000004	L15350		L15350
4d^2	^3P	2	5.0	5.5457669	0.0000012	L15350		L15350
5s13s	^3S	1	3.0	5.548002	0.000019	L5578		L5578
5s13s	^1S	0	1.0	5.55122767	0.00000012	L5644		L5644
5s10f	^3F°	2	5.0	5.555798	0.000005	L15350		L15350
5s10f	^3F°	3	7.0	5.555801	0.000005	L15350		L15350
5s10f	^3F°	4	9.0	5.555821	0.000005	L15350		L15350
5s10f	^1F°	3	7.0	5.556819	0.000004	L15350		L15350
5s12d	^1D	2	5.0	5.55817006	0.00000012	L5644		L5644
5s12d	^3D	1	3.0	5.561190	0.000019	L5578		L5578
5s13p	^3P°	0	1.0	5.561724	0.000004	L4542		L4542
5s13p	^3P°	1	3.0	5.561847	0.000004	L4542		L4542
