Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5d^36s^2	a ^4F	^3/_2	4.0	0.000000	0	0.447		L3466
5d^36s^2	a ^4F	^5/_2	6.0	0.249221		1.031		
5d^36s^2	a ^4F	^7/_2	8.0	0.491463		1.218		
5d^36s^2	a ^4F	^9/_2	10.0	0.696920		1.272		
5d^36s^2	a ^4P	^1/_2	2.0	0.750032		2.454		
5d^36s^2	a ^4P	^3/_2	4.0	0.752449		1.527		
5d^36s^2	a ^4P	^5/_2	6.0	1.147279		1.580		
5d^36s^2	a ^2G	^7/_2	8.0	1.203314		0.912		
5d^4(^5D)6s	a ^6D	^1/_2	2.0	1.209958		3.020		
5d^4(^5D)6s	a ^6D	^3/_2	4.0	1.236843		1.542		
5d^36s^2	a ^2G	^9/_2	10.0	1.325431		1.063		
5d^36s^2	a ^2P	^3/_2	4.0	1.357654		1.407		
5d^4(^5D)6s	a ^6D	^5/_2	6.0	1.394032		1.641		
5d^36s^2	a ^2P	^1/_2	2.0	1.462038		1.116		
5d^5	a ^6S	^5/_2	6.0	1.462535		2.134		
5d^4(^5D)6s	a ^6D	^7/_2	8.0	1.516917		1.578		
5d^36s^2	a ^2D	^5/_2	6.0	1.595177		1.214		
5d^4(^5D)6s	a ^6D	^9/_2	10.0	1.655369		1.533		
5d^4(^5D)6s	148	^5/_2	6.0	1.844352?				
5d^36s^2	a ^2H	^11/_2	12.0	1.873915		1.021		
5d^36s^2	a ^2H	^9/_2	10.0	1.908242		1.014		
5d^36s^2	a ^2D	^3/_2	4.0	1.971816		1.199		
5d^36s^2	a ^2F	^5/_2	6.0	2.135562		0.882		
5d^36s^2	a ^2F	^7/_2	8.0	2.155232		1.125		
5d^36s(^5F)6p	z ^6G°	^3/_2	4.0	2.155422				
5d^36s(^5F)6p	179°	^5/_2	6.0	2.230939		0.732		
5d^26s^2(^3F)6p	z ^4D°	^1/_2	2.0	2.294293		0.172		
5d^36s(^5F)6p	z ^6G°	^5/_2	6.0	2.377825		0.851		
5d^26s^2(^3F)6p	z ^4D°	^3/_2	4.0	2.437254		1.018		
5d^26s^2(^3P)6p	z ^2S°	^1/_2	2.0	2.521887		1.956		
5d^36s(^5F)6p	z ^6G°	^7/_2	8.0	2.549147		1.194		
5d^4(^3H)6s	a ^4H	^7/_2	8.0	2.559845		0.818		
5d^26s^2(^3P)6p	z ^2D°	^3/_2	4.0	2.575439		0.812		
5d^26s^2(^3P)6p	210	^5/_2	6.0	2.615016				
5d^4(^3H)6s	a ^4H	^9/_2	10.0	2.622679		1.089		
5d^26s^2(^3F)6p	z ^4D°	^5/_2	6.0	2.624449		1.120		
5d^4(^5D)6s	a ^4D	^3/_2	4.0	2.650907		1.020		
5d^4(^3G)6s	a ^4G	^5/_2	6.0	2.680900		0.894		
5d^36s(^5F)6p	z ^4F°	^3/_2	4.0	2.709683		0.666		
5d^26s^2(^3P)6p	z ^2D°	^5/_2	6.0	2.733535		1.179		
5d^4(^5D)6s	a ^4D	^1/_2	2.0	2.756909				
5d^4(^5D)6s	223°	^7/_2	8.0	2.774832		1.060		
5d^4(^3H)6s	a ^4H	^11/_2	12.0	2.780787		1.159		
5d^4(^3H)6s	224	^5/_2	6.0	2.781507				
5d^36s(^5F)6p	z ^6G°	^9/_2	10.0	2.812174		1.231		
5d^4(^3G)6s	a ^4G	^7/_2	8.0	2.822030		1.008		
5d^4(^3G)6s	228	^3/_2	4.0	2.832151		0.894		
5d^4(^3G)6s	231	^11/_2	12.0	2.86917?				
5d^36s(^5F)6p	z ^6F°	^1/_2	2.0	2.895702		-0.320		
5d^36s(^5F)6p	z ^4F°	^5/_2	6.0	2.896654		1.078		
5d^4(a ^3F)6s	b ^4F	^5/_2	6.0	2.915159		1.048		
5d^4(^3H)6s	a ^4H	^13/_2	14.0	2.915471		1.217		
5d^4(^3G)6s	a ^4G	^9/_2	10.0	2.964820		1.185		
5d^26s^2(^3F)6p	z ^4D°	^7/_2	8.0	2.966530		1.326		
5d^36s(^5F)6p	z ^6F°	^3/_2	4.0	3.005801		1.126		
5d^36s(^5F)6p	z ^6D°	^1/_2	2.0	3.039682		2.888		
5d^4(^5D)6s	a ^4D	^5/_2	6.0	3.043341		1.294		
5d^4(^5D)6s	246	^1/_2	2.0	3.062249				
5d^36s(^5F)6p	z ^6D°	^3/_2	4.0	3.067249		1.620		
5d^36s(^5F)6p	249	^7/_2	8.0	3.089426				
5d^36s(^5F)6p	249	^9/_2	10.0	3.091494				
5d^36s(^5F)6p	z ^4F°	^7/_2	8.0	3.097355		1.235		
5d^36s(^5F)6p	z ^6G°	^11/_2	12.0	3.100700		1.302		
5d^36s(^5F)6p	z ^6F°	^5/_2	6.0	3.122061		1.239		
5d^36s(^5F)6p	251°	^9/_2	10.0	3.122652				
5d^36s(^5F)6p	252	^5/_2	6.0	3.127385				
5d^36s(^5F)6p	253	^9/_2	10.0	3.146274				
5d^36s(^5F)6p	254	^3/_2	4.0	3.158907				
5d^36s(^5F)6p	y ^4D°	^1/_2	2.0	3.163163		0.028		
5d^36s(^5F)6p	z ^4F°	^9/_2	10.0	3.214456		1.292		
5d^4(^3G)6s	a ^4G	^11/_2	12.0	3.226409		1.260		
5d^26s^2(^3P)6p	z ^4P°?	^5/_2	6.0	3.250819		1.338		
5d^36s(^5F)6p	y ^4D°	^3/_2	4.0	3.268681		1.393		
5d^4(^5D)6s	a ^4D	^7/_2	8.0	3.294883		1.42		
5d^36s(^5F)6p	z ^6F°	^7/_2	8.0	3.296235		1.356		
5d^26s^2(^3P)6p	z ^4P°?	^3/_2	4.0	3.296744		1.576		
5d^26s^2(^3P)6p	266	^9/_2	10.0	3.30770?				
5d^36s(^5F)6p	z ^6D°	^5/_2	6.0	3.322127		1.416		
5d^26s^2(^3P)6p	z ^4P°?	^1/_2	2.0	3.330966		2.650		
5d^26s^2(^3P)6p	269°	^7/_2	8.0	3.342671		1.223		
5d^26s^2(^3P)6p	271	^5/_2	6.0	3.368380		1.606		
5d^36s(^5F)6p	z ^6F°	^9/_2	10.0	3.438507		1.390		
5d^36s(^5F)6p	z ^6D°	^7/_2	8.0	3.444358		1.374		
5d^36s(^5F)6p	277°	^11/_2	12.0	3.44465?		1.351		
5d^36s(^5F)6p	y ^4D°	^5/_2	6.0	3.488157		1.394		
5d^36s(^5F)6p	281°	^7/_2	8.0	3.494197		1.115		
5d^36s(^5F)6p	282	^11/_2	12.0	3.507016				
5d^36s(^5F)6p	286°	^3/_2	4.0	3.557021		1.356		
5d^36s(^5F)6p	z ^6D°	^9/_2	10.0	3.566610		1.337		
5d^36s(^5F)6p	288°	^5/_2	6.0	3.578433		1.247		
5d^36s(^5F)6p	293°	^5/_2	6.0	3.638125		0.814		
5d^36s(^5F)6p	297°	^7/_2	8.0	3.685176		1.217		
5d^36s(^5P)6p	y ^6D°	^1/_2	2.0	3.707409		2.994		
5d^36s(^5P)6p	300°	^7/_2	8.0	3.721461				
5d^36s(^5P)6p	300°	^9/_2	10.0	3.722154		1.186		
5d^36s(^5F)6p	z ^6F°	^11/_2	12.0	3.764312		1.334		
5d^36s(^5F)6p	305°	^7/_2	8.0	3.792794		1.043		
