Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^25p^2	^3P	0	1.0	0.0000	0			L3466
5s^25p^2	^3P	1	3.0	0.5890				
5s^25p^2	^3P	2	5.0	1.0123				
5s^25p^2	^1D	2	5.0	2.1521				
5s5p^3	1°	1	3.0	10.27652				
5s5p^3	2°	1	3.0	11.44385				
5s5p^3	3°	2	5.0	11.61810				
5s5p^3	^3P°	2	5.0	11.78155				
5s5p^3	^3P°	1	3.0	11.97370				
5s5p^3	^1D°	2	5.0	12.45587		1.13		
5s5p^3	4°	1	3.0	12.54088				
5s^25p5d	^3F°	2	5.0	12.98224				
5s^25p5d	^3F°	3	7.0	13.18021		1.07		
5s^25p6s	^3P°	0	1.0	13.32360				
5s^25p6s	^3P°	1	3.0	13.35529		1.37		
5s^25p6s	5°	2	5.0	13.51503				
5s^25p6s	^1P°	1	3.0	14.16022		1.00		
5s^25p6s	^3P°	2	5.0	14.30976		1.28		
5s^25p5d	^3D°	1	3.0	14.34986				
5s^25p5d	^3P°	2	5.0	14.47043		1.34		
5s^25p5d	^3P°	1	3.0	14.60402		1.26		
5s^25p5d	^3D°	3	7.0	14.98928		1.35		
5s^25p5d	6°	1 or 2	3.0	15.14110				
5s^25p5d	^3D°	2	5.0	15.18932				
5s^25p5d	^1D°	2	5.0	15.47116				
5s^25p5d	^1P°	1	3.0	15.76876				
5s^25p5d	^1F°	3	7.0	15.77597				
5s^25p6p	^3D	1	3.0	15.94659		0.68		
5s^25p6p	^3P	1	3.0	16.38038		1.24		
5s^25p6p	^3P	0	1.0	16.39845				
5s^25p6p	^3D	2	5.0	16.40672		1.16		
5s^25p6p	^1P	1	3.0	17.14574		1.02		
5s^25p6p	^3P	2	5.0	17.31619		1.43		
5s^25p6p	^3D	3	7.0	17.35155		1.28		
5s^25p6p	^3S	1	3.0	17.58133		1.76		
5s^25p6p	^1D	2	5.0	17.72751		1.14		
5s^25p6d	^3P°	1	3.0	19.98534		1.43		
5s^25p6d	^3F°	2	5.0	20.17692				
5s^25p6d	^3D°	1	3.0	20.24971				
5s^25p6d	^3F°	3	7.0	20.29949				
5s^25p6d	^3D°	2	5.0	20.65718				
5s^25p6d	^1F°	3	7.0	20.83826				
5s^25p6d	^3F°	4	9.0	20.89676?				
5s^25p6d	^3P°	2	5.0	21.07883				
5s^25p7s	^3P°	1	3.0	21.14965				
5s^25p6d	^3D°	3	7.0	21.20897				
5s^25p6d	^1D°	2	5.0	21.32062				
5s^25p6d	7°	1 or 2	3.0	21.43548				
5s^25p6d	^1P°	1	3.0	21.51991				
5s^25p7s	^1P°	1	3.0	21.63493				
5s^25p7s	^3P°	2	5.0	22.12013				
