Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^25p^3	^4S°	^3/_2	4.0	0.0000000	0	1.93	92	L2581
5s^25p^3	^2D°	^3/_2	4.0	1.2674142	0.0000005		81	L2581
5s^25p^3	^2D°	^5/_2	6.0	1.5401136	0.0000005		99	L2581
5s^25p^3	^2P°	^1/_2	2.0	2.5474526	0.0000005		99	L2581
5s^25p^3	^2P°	^3/_2	4.0	2.9796000	0.0000005	1.27	78	L2581
5s(^2S)5p^4(^3P)	^4P	^5/_2	6.0	8.8267483	0.0000009	1.59	77	L2581
5s(^2S)5p^4(^3P)	^4P	^3/_2	4.0	9.285598	0.000025	1.71	75	L3546
5s(^2S)5p^4(^3P)	^4P	^1/_2	2.0	9.460102	0.000025	2.63	67	L3546
5s^25p^2(^3P)6s	^4P	^1/_2	2.0	9.726340	0.000025	2.29	66	L3546
5s^25p^2(^3P)5d	^2P	^3/_2	4.0	10.153739	0.000025	1.12	25	L3546
5s^25p^2(^3P)6s	^4P	^3/_2	4.0	10.258865	0.000025	1.45	71	L3546
5s^25p^2(^3P)6s	^2P	^1/_2	2.0	10.362278	0.000025	1.06	65	L3546
5s^25p^2(^3P)5d	^4F	^5/_2	6.0	10.544783	0.000025	1.09	69	L3546
5s^25p^2(^3P)5d	^4F	^3/_2	4.0	10.558452	0.000025	0.88	48	L3546
5s^25p^2(^3P)6s	^4P	^5/_2	6.0	10.612034	0.000025	1.50	69	L3546
5s(^2S)5p^4(^1D)	^2D	^3/_2	4.0	10.756857	0.000025	0.94	30	L3546
5s(^2S)5p^4(^1D)	^2D	^5/_2	6.0	10.836782	0.000025	1.25	39	L3546
5s^25p^2(^3P)5d	^4F	^7/_2	8.0	10.898194	0.000025	1.26	84	L3546
5s^25p^2(^3P)5d	^2P	^1/_2	2.0	11.009321	0.000025	0.35	34	L3546
5s^25p^2(^3P)5d	^2F	^5/_2	6.0	11.025271	0.000025	0.94	39	L3546
5s^25p^2(^3P)6s	^2P	^3/_2	4.0	11.029769	0.000025	1.17	28	L3546
5s^25p^2(^3P)5d	^4F	^9/_2	10.0	11.223009	0.000025	1.31	89	L3546
5s^25p^2(^1D)5d	^2F	^7/_2	8.0	11.257419	0.000025	1.25	30	L3546
5s^25p^2(^3P)5d	^4D	^3/_2	4.0	11.430286	0.000025	1.13	61	L3546
5s^25p^2(^3P)5d	^4D	^1/_2	2.0	11.492283	0.000025	0.42	51	L3546
5s^25p^2(^3P)5d	^4D	^5/_2	6.0	11.504893	0.000025	1.24	54	L3546
5s^25p^2(^3P)6p	^4D°	^1/_2	2.0	11.651902	0.000025	0.79	50	L3546
5s^25p^2(^1D)6s	^2D	^5/_2	6.0	11.761219	0.000025	1.27	75	L3546
5s^25p^2(^1D)6s	^2D	^3/_2	4.0	11.804333	0.000025	0.98	60	L3546
5s^25p^2(^3P)6p	^4D°	^3/_2	4.0	11.920429	0.000025	1.32	49	L3546
5s^25p^2(^3P)5d	^4D	^7/_2	8.0	11.96877	0.00010	1.24	43	L15043
5s^25p^2(^3P)6p	^2S°	^1/_2	2.0	12.123186	0.000025	1.26	52	L3546
5s^25p^2(^3P)5d	^4P	^5/_2	6.0	12.302912	0.000025	1.51	66	L3546
5s^25p^2(^3P)6p	^4S°	^3/_2	4.0	12.346916	0.000025	1.26	16	L3546
5s^25p^2(^3P)6p	^4D°	^5/_2	6.0	12.412318	0.000025	1.40	79	L3546
5s^25p^2(^3P)5d	^4P	^3/_2	4.0	12.490261	0.000025	1.56	58	L3546
5s^25p^2(^1D)5d	^2G	^7/_2	8.0	12.50205	0.00011	0.98	74	L15043
5s^25p^2(^1D)5d	^2S	^1/_2	2.0	12.530509	0.000025	2.12	42	L3546
5s^25p^2(^3P)6p	^2D°	^3/_2	4.0	12.549801	0.000025	1.31	52	L3546
5s^25p^2(^3P)6p	^4P°	^1/_2	2.0	12.568385	0.000025	2.33	79	L3546
5s^25p^2(^3P)5d	^4P	^1/_2	2.0	12.662162	0.000025	2.26	53	L3546
5s^25p^2(^3P)5d	^2D	^3/_2	4.0	12.676715	0.000025	0.95	63	L3546
5s^25p^2(^3P)6p	^4P°	^5/_2	6.0	12.686620	0.000025	1.31	33	L3546
5s^25p^2(^3P)5d	^2D	^5/_2	6.0	12.73361	0.00005	1.12	49	L15043
5s^25p^2(^3P)6p	^4D°	^7/_2	8.0	12.783497	0.000025	1.38	82	L3546
5s^25p^2(^3P)6p	^4P°	^3/_2	4.0	12.886409	0.000025	1.74	44	L3546
5s^25p^2(^3P)6p	^2P°	^3/_2	4.0	13.019095	0.000025	1.21	63	L3546
5s^25p^2(^3P)6p	^2D°	^5/_2	6.0	13.090626	0.000025	1.29	46	L3546
5s^25p^2(^3P)6p	^2P°	^1/_2	2.0	13.157104	0.000025	0.87	73	L3546
5s^25p^2(^3P)5d	^2F	^7/_2	8.0	13.29661	0.00012	1.19	47	L15043
5s^25p^2(^1D)5d	^2P	^1/_2	2.0	13.33100	0.00006		75	L15043
5s^25p^2(^1D)5d	^2F	^5/_2	6.0	13.49189	0.00006		29	L15043
5s^25p^2(^1S)6s	^2S	^1/_2	2.0	13.51500	0.00007		67	L15043
5s^25p^2(^1D)5d	^2P	^3/_2	4.0	13.65516	0.00005		70	L15043
5s^25p^2(^1D)5d	^2D	^3/_2	4.0	13.86839	0.00006		45	L15043
5s^25p^2(^1D)6p	^2D°	^5/_2	6.0	13.879621	0.000025	1.19	62	L3546
5s^25p^2(^1D)6p	^2D°	^3/_2	4.0	13.920007	0.000025	1.09	49	L3546
5s^25p^2(^1D)6p	^2F°	^5/_2	6.0	13.954278	0.000025	1.06	58	L3546
5s^25p^2(^1D)6p	^2F°	^7/_2	8.0	13.983991	0.000025	1.20	82	L3546
5s^25p^2(^3P)7s	^4P	^1/_2	2.0	13.988385	0.000025	2.16	68	L3546
5s^25p^2(^1D)5d	^2D	^5/_2	6.0	14.08020	0.00007		57	L15043
5s^25p^2(^1D)6p	^2P°	^1/_2	2.0	14.142694	0.000025	0.77	89	L3546
5s^25p^2(^3P)6d	^2P	^3/_2	4.0	14.345041	0.000025	0.91	21	L3546
5s^25p^2(^1D)6p	^2P°	^3/_2	4.0	14.394777	0.000025	1.29	54	L3546
5s^25p^2(^3P)6d	^4P	^5/_2	6.0	14.485980	0.000025	1.20	15	L3546
5s(^2S)5p^4(^3P)	^2P	^1/_2	2.0	14.530003	0.000025		27	L3546
5s^25p^2(^3P)6d	^4F	^3/_2	4.0	14.538886	0.000025	0.98	33	L3546
5s^25p^2(^3P)7s	^4P	^3/_2	4.0	14.548269	0.000025	1.60	87	L3546
5s^25p^2(^3P)4f	^4G°	^5/_2	6.0	14.591183	0.000025	0.85	45	L3546
5s^25p^2(^3P)4f	^4G°	^7/_2	8.0	14.612661	0.000025	1.13	20	L3546
5s^25p^2(^3P)7s	^2P	^1/_2	2.0	14.631254	0.000025	1.16	59	L3546
5s^25p^2(^1S)5d	^2D	^3/_2	4.0	14.67049	0.00007		58	L15043
5s^25p^2(^1S)5d	^2D	^5/_2	6.0	14.68228	0.00010		73	L15043
5s^25p^2(^3P)7s	^4P	^5/_2	6.0	14.954618	0.000025	1.51	71	L3546
5s^25p^2(^3P)6d	^4F	^7/_2	8.0	14.96086	0.00016		61	L15043
5s^25p^2(^3P)6d	^4F	^5/_2	6.0	15.009998	0.000025	1.2	51	L3546
5s^25p^2(^3P)6d	^4D	^1/_2	2.0	15.015256	0.000025	0.52	71	L3546
5s^25p^2(^3P)7s	^2P	^3/_2	4.0	15.023654	0.000025	1.23	55	L3546
5s^25p^2(^3P)6d	^4D	^3/_2	4.0	15.066427	0.000025	1.20	45	L3546
5s^25p^2(^3P)4f	^2D°	^5/_2	6.0	15.129515	0.000025	0.95	39	L3546
5s^25p^2(^3P)4f	^4D°	^7/_2	8.0	15.143170	0.000025	1.18	49	L3546
5s^25p^2(^3P)6d	^2F	^5/_2	6.0	15.150477	0.000025	1.07	61	L3546
5s^25p^2(^3P)4f	^4G°	^9/_2	10.0	15.179013	0.000025	1.25	58	L3546
5s^25p^2(^3P)4f	^2G°	^7/_2	8.0	15.202527	0.000025	0.98	50	L3546
5s^25p^2(^3P)4f	^4F°	^3/_2	4.0	15.222185	0.000025	0.71	48	L3546
5s^25p^2(^3P)4f	^4D°	^5/_2	6.0	15.236123	0.000025	1.16	40	L3546
5s^25p^2(^3P)6d	^4F	^9/_2	10.0	15.330636	0.000025	1.30	80	L3546
5s^25p^2(^3P)6d	^4D	^7/_2	8.0	15.331212	0.000025	1.26	36	L3546
5s(^2S)5p^4(^1S)	^2S	^1/_2	2.0	15.331571	0.000025	1.15	23	L3546
5s^25p^2(^3P)7p	^4D°	^5/_2	6.0	15.359836	0.000025	1.38	64	L3546
5s(^2S)5p^4(^3P)	^2P	^3/_2	4.0	15.384216	0.000025	1.10	19	L3546
5s^25p^2(^3P)6d	^4D	^5/_2	6.0	15.454183	0.000025	1.32	47	L3546
5s^25p^2(^3P)6d	^4P	^3/_2	4.0	15.506215	0.000025	1.52	56	L3546
5s^25p^2(^3P)4f	^4D°	^1/_2	2.0	15.533648	0.000025	0.86	46	L3546
5s^25p^2(^3P)4f	^2D°	^3/_2	4.0	15.552883	0.000025	1.21	25	L3546
5s^25p^2(^3P)6d	^4P	^1/_2	2.0	15.55724	0.00011		74	L15043
5s^25p^2(^3P)4f	^4G°	^11/_2	12.0	15.55945	0.00003	1.31	82	L3546
5s^25p^2(^3P)4f	^4F°	^9/_2	10.0	15.577913	0.000025	1.19	25	L3546
5s^25p^2(^3P)6d	^2D	^5/_2	6.0	15.610358	0.000025	1.17	45	L3546
5s^25p^2(^3P)6d	^2F	^7/_2	8.0	15.617930	0.000025	1.15	56	L3546
5s^25p^2(^3P)4f	^4F°	^7/_2	8.0	15.619998	0.000025	1.20	56	L3546
5s^25p^2(^1S)6p	^2P°	^1/_2	2.0	15.627959	0.000025	0.29	46	L3546
5s^25p^2(^3P)4f	^4F°	^5/_2	6.0	15.629821	0.000025	1.11	49	L3546
5s^25p^2(^3P)4f	^4D°	^3/_2	4.0	15.639162	0.000025	0.91	22	L3546
5s^25p^2(^3P)4f	^2F°	^7/_2	8.0	15.642370	0.000025	1.12	52	L3546
5s^25p^2(^3P)8s	^4P	^1/_2	2.0	15.648294	0.000025	2.03	62	L3546
5s^25p^2(^3P)4f	^2F°	^5/_2	6.0	15.649282	0.000025	0.97	46	L3546
5s^25p^2(^1S)6p	^2P°	^3/_2	4.0	15.660388	0.000025	1.02	50	L3546
5s^25p^2(^3P)6d	^2D	^3/_2	4.0	15.686091	0.000025	0.98	36	L3546
5s^25p^2(^3P)6d	^2P	^1/_2	2.0	15.88021	0.00011		35	L15043
5s^25p^2(^3P)7d	^4F	^5/_2	6.0	15.91312	0.00015		27	L15043
5s^25p^2(^1D)7s	^2D	^3/_2	4.0	16.09181	0.00011		70	L15043
5s^25p^2(^1D)7s	^2D	^5/_2	6.0	16.105203	0.000025	1.29	74	L3546
5s^25p^2(^3P)5f?	130°	^3/_2	4.0	16.22125?	0.00004			L3546
5s^25p^2(^1D)6d	^2F	^7/_2	8.0	16.4951	0.0003		49	L15043
5s^25p^2(^1D)6d	^2G	^7/_2	8.0	16.585242	0.000025	1.04	53	L3546
5s^25p^2(^1D)6d	^2F	^5/_2	6.0	16.60207	0.00012		23	L15043
5s^25p^2(^1D)6d	^2P	^1/_2	2.0	16.62922	0.00021		74	L15043
5s^25p^2(^1D)6d	^2D	^3/_2	4.0	16.67529	0.00015		34	L15043
5s^25p^2(^1D)6d	^2D	^5/_2	6.0	16.74941	0.00011		37	L15043
5s^25p^2(^1D)4f	^2D°	^5/_2	6.0	16.78787	0.00004		63	L3546
5s^25p^2(^1D)6d	^2P	^3/_2	4.0	16.81005	0.00012		25	L15043
5s^25p^2(^3P)7d	^2D	^5/_2	6.0	16.97117	0.00014		38	L15043
5s^25p^2(^3P)7d	^2P	^1/_2	2.0	16.97213	0.00017		47	L15043
5s^25p^2(^3P)6f?	137°	^7/_2	8.0	17.077545	0.000025			L3546
5s^25p^2(^1S)7s	^2S	^1/_2	2.0	17.59269	0.00016		89	L15043
5s^25p^2(^1S)6d	^2D	^3/_2	4.0	18.23873	0.00022		86	L15043
5s^25p^2(^1S)6d	^2D	^5/_2	6.0	18.33356	0.00021		83	L15043
