Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5s^25p	^2P°	^1/_2	2.0	0.0000	0			L3466
5s^25p	^2P°	^3/_2	4.0	1.1435				
5s5p^2	^2D	^3/_2	4.0	11.5023				
5s5p^2	^2D	^5/_2	6.0	11.7551				
5s5p^2	^2S	^1/_2	2.0	13.5807				
5s5p^2	^2P	^1/_2	2.0	14.7552				
5s5p^2	^2P	^3/_2	4.0	14.8726				
5s^25d	^2D	^3/_2	4.0	15.80117				
5s^25d	^2D	^5/_2	6.0	15.89682				
5s^26s	^2S	^1/_2	2.0	16.54644		2.02		
5s^26p	^2P°	^1/_2	2.0	20.00354		0.66		
5s^26p	^2P°	^3/_2	4.0	20.32833				
5s^26d	^2D	^3/_2	4.0	25.16153				
5s^26d	^2D	^5/_2	6.0	25.21253				
5s^27s	^2S	^1/_2	2.0	25.45936				
