Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
5p^4	^3P	2	5.0	0.0000000	0.0000004	1.460(4)	93	L3680
5p^4	^3P	0	1.0	0.5835310	0.0000004		90	L3682
5p^4	^3P	1	3.0	0.5890132	0.0000004	1.514(10)	100	L3682
5p^4	^1D	2	5.0	1.3090099	0.0000004	1.037(3)	93	L3682
5p^4	^1S	0	1.0	2.8762340	0.0000004		90	L2104
5p^3(^4S°)6s	^5S°	2	5.0	5.4866727	0.0000006	1.960(3)	92	L3682
5p^3(^4S°)6s	^3S°	1	3.0	5.7842023	0.0000006	1.909(3)	91	L3682
5p^3(^4S°)6p	^5P	1	3.0	6.7149958	0.0000006	2.388(2)	89	L3682
5p^3(^4S°)6p	^5P	2	5.0	6.7198347	0.0000006	1.762(1)	84	L3682
5p^3(^4S°)6p	^5P	3	7.0	6.7615210	0.0000006	1.636(3)	93	L3682
5p^3(^2D°)6s	^3D°	1	3.0	6.7799378	0.0000006	0.674(5)	74	L3682
5p^3(^2D°)6s	^3D°	2	5.0	6.8042615	0.0000006	1.224(5)	62	L3682
5p^3(^4S°)6p	^3P	1	3.0	6.8632286	0.0000006	1.504(3)	84	L3682
5p^3(^4S°)6p	^3P	2	5.0	6.9019224	0.0000006	1.496(5)	85	L3682
5p^3(^4S°)5d	^5D°	3	7.0	6.9031577	0.0000006		77	L3682
5p^3(^4S°)6p	^3P	0	1.0	6.9194505	0.0000006		94	L3682
5p^3(^4S°)5d	^5D°	4	9.0	6.9203292	0.0000006	1.47(2)	90	L3682
5p^3(^4S°)5d	^5D°	2	5.0	6.9204646	0.0000006	1.428(14)	79	L3682
5p^3(^4S°)5d	^5D°	0	1.0	6.9216086	0.0000006		91	L3682
5p^3(^4S°)5d	^5D°	1	3.0	6.9247076	0.0000006		88	L3682
5p^3(^2D°)6s	^3D°	3	7.0	7.0475765	0.0000006	1.352(5)	83	L3682
5p^3(^2D°)6s	^1D°	2	5.0	7.0812591	0.0000006	1.08(3)	51	L3682
5p^3(^4S°)5d	^3D°	2	5.0	7.2645360	0.0000006	1.112(1)	59	L3682
5p^3(^4S°)5d	^3D°	1	3.0	7.2835849	0.0000006	0.532(4)	88	L3682
5p^3(^4S°)5d	^3D°	3	7.0	7.2936124	0.0000006	1.310(10)	86	L3682
5p^3(^4S°)7s	^5S°	2	5.0	7.5171358	0.0000006	1.957(2)	92	L3682
5p^3(^4S°)7s	^3S°	1	3.0	7.5795580	0.0000006	1.920(1)	90	L3682
5p^3(^2D°)5d	^3P°	2	5.0	7.8478059	0.0000006	1.456(3)	38	L3682
5p^3(^4S°)7p	a ^5P	1	3.0	7.8800274	0.0000006	1.704(4)	44 | 5p^3(^4S°)7p | ^5P	L3682
5p^3(^4S°)7p	^5P	2	5.0	7.8867364	0.0000006	1.709(10)	80	L3682
5p^3(^4S°)7p	b ^5P	1	3.0	7.8940670	0.0000006	1.764(15)	46 | 5p^3(^4S°)7p | ^5P	L3682
5p^3(^4S°)7p	^5P	3	7.0	7.9028907	0.0000006	1.63(2)	93	L3682
5p^3(^4S°)7p	^3P	2	5.0	7.9252541	0.0000006	1.47(3)	80	L3682
5p^3(^4S°)6d	^5D°	0	1.0	7.9306631	0.0000006		90	L3682
5p^3(^4S°)7p	^3P	0	1.0	7.9328144	0.0000006		89	L3682
5p^3(^4S°)6d	^5D°	1	3.0	7.9341885	0.0000006	1.475(5)	88	L3682
