Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d^2	^3F	2	5.0	0.00000	0		100	L7185
3p^63d^2	^3F	3	7.0	0.02292			100	
3p^63d^2	^3F	4	9.0	0.05212			100	
3p^63d^2	^1D	2	5.0	1.05058			99	
3p^63d^2	^3P	0	1.0	1.30660			100	
3p^63d^2	^3P	1	3.0	1.31468			100	
3p^63d^2	^3P	2	5.0	1.32926			99	
3p^63d^2	^1G	4	9.0	1.78507			100	
3p^63d^2	^1S	0	1.0	4.02645			100	
3p^63d4s	^3D	1	3.0	4.719378				
3p^63d4s	^3D	2	5.0	4.736066				
3p^63d4s	^3D	3	7.0	4.764216				
3p^63d4s	^1D	2	5.0	5.170670				
3p^63d4p	^1D°	2	5.0	9.323390			98	
3p^63d4p	^3D°	1	3.0	9.546812			100	
3p^63d4p	^3D°	2	5.0	9.567542			89	
3p^63d4p	^3F°	2	5.0	9.599087			88	
3p^63d4p	^3D°	3	7.0	9.599408			86	
3p^63d4p	^3F°	3	7.0	9.639330			87	
3p^63d4p	^3F°	4	9.0	9.690433			100	
3p^63d4p	^3P°	1	3.0	10.035181			99	
3p^63d4p	^3P°	0	1.0	10.035885			100	
3p^63d4p	^3P°	2	5.0	10.045754			100	
3p^63d4p	^1F°	3	7.0	10.305186			100	
3p^63d4p	^1P°	1	3.0	10.389487			98	
3p^64s^2	^1S	0	1.0	12.728856				
3p^63d4d	^1F	3	7.0	15.844011			98	
3p^63d4d	^3D	1	3.0	15.923712			96	
3p^63d4d	^3D	2	5.0	15.937720			100	
3p^63d4d	^3D	3	7.0	15.955486			98	
3p^63d4d	^3G	3	7.0	16.005527			99	
3p^63d4d	^3G	4	9.0	16.025297			100	
3p^63d4d	^1P	1	3.0	16.025380			96	
3p^63d4d	^3G	5	11.0	16.052156			100	
3p^63d4d	^3S	1	3.0	16.209672			99	
3p^63d4d	^3F	2	5.0	16.497987			100	
3p^63d4d	^3F	3	7.0	16.515576			100	
3p^63d4d	^3F	4	9.0	16.535905			100	
3p^63d5s	^3D	1	3.0	16.601298			100	
3p^63d5s	^3D	2	5.0	16.613857			91	
3p^63d5s	^3D	3	7.0	16.647993			100	
3p^63d5s	^1D	2	5.0	16.683046			60	
3p^63d4d	^1D	2	5.0	16.788114			57	
3p^63d4d	^3P	0	1.0	16.804999			100	
3p^63d4d	^3P	1	3.0	16.812440			100	
3p^63d4d	^3P	2	5.0	16.827323			88	
3p^63d4d	^1G	4	9.0	16.903973			100	
3p^64s4p	^3P°	0	1.0	17.01793			100	
3p^64s4p	^3P°	1	3.0	17.04631			100	
3p^64s4p	^3P°	2	5.0	17.10501			100	
3p^63d4d	^1S	0	1.0	17.360173			100	
3p^63d5p	^1D°	2	5.0	18.252057			90	
3p^63d5p	^3D°	1	3.0	18.295374			99	
3p^63d5p	^3D°	2	5.0	18.318652			92	
3p^63d5p	^3F°	2	5.0	18.341165			92	
3p^63d5p	^3D°	3	7.0	18.342157			99	
3p^63d5p	^3F°	3	7.0	18.363436			99	
3p^63d5p	^3F°	4	9.0	18.400525			100	
3p^63d5p	^3P°	1	3.0	18.471007			71	
3p^63d5p	^3P°	0	1.0	18.476094			100	
3p^63d5p	^3P°	2	5.0	18.506872			99	
3p^63d5p	^1P°	1	3.0	18.523676			64	
3p^63d5p	^1F°	3	7.0	18.554951			99	
3p^64s4p	^1P°	1	3.0	19.490832			60	
3p^63d4f	^1G°	4	9.0	19.624881			81	
3p^63d4f	^3F°	2	5.0	19.656037			93	
3p^63d4f	^3F°	3	7.0	19.658657			67	
3p^63d4f	^3F°	4	9.0	19.675158			46	
3p^63d4f	^3G°	3	7.0	19.681366			60	
3p^63d4f	^3G°	4	9.0	19.696753			29	
3p^63d4f	^3G°	5	11.0	19.701529			70	
3p^63d4f	^3H°	4	9.0	19.716331			58	
3p^63d4f	^1D°	2	5.0	19.728834			89	
3p^63d4f	^3H°	5	11.0	19.729474			69	
3p^63d4f	^1F°	3	7.0	19.735834			75	
3p^63d4f	^3H°	6	13.0	19.746905			100	
3p^63d4f	^3D°	1	3.0	19.762448			97	
3p^63d4f	^3D°	2	5.0	19.763566			89	
3p^63d4f	^3D°	3	7.0	19.773242			86	
3p^63d4f	^3P°	2	5.0	19.836423			92	
3p^63d4f	^1H°	5	11.0	19.844278			97	
3p^63d4f	^3P°	1	3.0	19.850442			97	
3p^63d4f	^3P°	0	1.0	19.858185			100	
3p^63d4f	^1P°	1	3.0	20.067368			67	
3p^63d5d	^1F	3	7.0	20.795137			92	
3p^63d5d	^3D	1	3.0	20.817590			86	
3p^63d5d	^3D	2	5.0	20.833083			99	
3p^63d5d	^3G	3	7.0	20.848216			60	
3p^63d5d	^3D	3	7.0	20.854984			56	
3p^63d5d	^3G	4	9.0	20.867416			99	
3p^63d5d	^1P	1	3.0	20.871949			82	
3p^63d5d	^3G	5	11.0	20.893882			100	
3p^63d5d	^3S	1	3.0	20.945002			96	
3p^63d5d	^3F	2	5.0	21.029595			97	
3p^63d5d	^3F	3	7.0	21.048690			99	
3p^63d6s	^3D	1	3.0	21.061880			100	
3p^63d5d	^3F	4	9.0	21.066417			99	
3p^63d6s	^3D	2	5.0	21.068734			72	
3p^63d6s	^3D	3	7.0	21.108899			100	
3p^63d6s	^1D	2	5.0	21.110792			47	
3p^63d5d	^3P	0	1.0	21.149220			99	
3p^63d5d	^3P	1	3.0	21.159109			99	
3p^63d5d	^3P	2	5.0	21.160004			56	
