Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^2(^3F)4s	a ^4F	^3/_2	4.0	0.00000000	0.00000007		100	L17885
3d^2(^3F)4s	a ^4F	^5/_2	6.0	0.01166867	0.00000015		100	L17885
3d^2(^3F)4s	a ^4F	^7/_2	8.0	0.02798372	0.00000007		100	L17885
3d^2(^3F)4s	a ^4F	^9/_2	10.0	0.04878107	0.00000009		100	L17885
3d^3	b ^4F	^3/_2	4.0	0.11257359	0.00000010		100	L17885
3d^3	b ^4F	^5/_2	6.0	0.12199000	0.00000007		100	L17885
3d^3	b ^4F	^7/_2	8.0	0.13481497	0.00000007		100	L17885
3d^3	b ^4F	^9/_2	10.0	0.15074407	0.00000009		100	L17885
3d^2(^3F)4s	a ^2F	^5/_2	6.0	0.57388034	0.00000021		99	L17885
3d^2(^3F)4s	a ^2F	^7/_2	8.0	0.60723963	0.00000007		99	L17885
3d^2(^1D)4s	a ^2D	^3/_2	4.0	1.07997273	0.00000009	0.80	72	L17885
3d^2(^1D)4s	a ^2D	^5/_2	6.0	1.08416006	0.00000009		74	L17885
3d^3	a ^2G	^7/_2	8.0	1.11558346	0.00000011		96	L17885
3d^3	a ^2G	^9/_2	10.0	1.13052324	0.00000014		96	L17885
3d^3	a ^4P	^1/_2	2.0	1.16095611	0.00000015	2.63	96	L17885
3d^3	a ^4P	^3/_2	4.0	1.16493098	0.00000020	1.74	93	L17885
3d^3	a ^4P	^5/_2	6.0	1.18010040	0.00000014		100	L17885
3d^3	a ^2P	^1/_2	2.0	1.22137014	0.00000012	0.66	62	L17885
3d^2(^3P)4s	b ^4P	^1/_2	2.0	1.2240835	0.0000004	2.60	90	L17885
3d^2(^3P)4s	b ^4P	^3/_2	4.0	1.23125938	0.00000009		72	L17885
3d^3	a ^2P	^3/_2	4.0	1.23686629	0.00000009	1.33	48	L17885
3d^2(^3P)4s	b ^4P	^5/_2	6.0	1.24291690	0.00000009		99	L17885
3d^3	b ^2D2	^3/_2	4.0	1.56577729	0.00000011		53	L17885
3d^3	a ^2H	^9/_2	10.0	1.57176070	0.00000015		100	L17885
3d^3	b ^2D2	^5/_2	6.0	1.58182260	0.00000009		54	L17885
3d^3	a ^2H	^11/_2	12.0	1.58387542	0.00000016		100	L17885
3d^2(^1G)4s	b ^2G	^9/_2	10.0	1.89169544	0.00000011		96	L17885
3d^2(^1G)4s	b ^2G	^7/_2	8.0	1.89270559	0.00000012		96	L17885
3d^2(^3P)4s	b ^2P	^1/_2	2.0	2.04771507	0.00000017	0.66	72	L17885
3d^2(^3P)4s	b ^2P	^3/_2	4.0	2.06126756	0.00000011	1.33	72	L17885
3d^3	b ^2F	^7/_2	8.0	2.59025181	0.00000014		99	L17885
3d^3	b ^2F	^5/_2	6.0	2.59768656	0.00000017		99	L17885
3d4s^2	c ^2D	^3/_2	4.0	3.09479326	0.00000011		73	L17885
3d4s^2	c ^2D	^5/_2	6.0	3.12352957	0.00000016		71	L17885
3d^2(^3F)4p	z ^4G°	^5/_2	6.0	3.66304545	0.00000007		98	L17885
3d^2(^3F)4p	z ^4G°	^7/_2	8.0	3.68662310	0.00000009		99	L17885
3d^2(^3F)4p	z ^4G°	^9/_2	10.0	3.71559942	0.00000009		100	L17885
3d^2(^3F)4p	z ^4G°	^11/_2	12.0	3.74939866	0.00000011		100	L17885
3d^2(^3F)4p	z ^4F°	^3/_2	4.0	3.82322944	0.00000009		97	L17885
3d^2(^3F)4p	z ^4F°	^5/_2	6.0	3.83837530	0.00000007		98	L17885
3d^2(^3F)4p	z ^4F°	^7/_2	8.0	3.85760423	0.00000007		98	L17885
3d^2(^3F)4p	z ^2F°	^5/_2	6.0	3.86923825	0.00000009		85	L17885
3d^2(^3F)4p	z ^4F°	^9/_2	10.0	3.88083749	0.00000009		99	L17885
3d^2(^3F)4p	z ^2F°	^7/_2	8.0	3.90437619	0.00000007		88	L17885
3d^2(^3F)4p	z ^2D°	^3/_2	4.0	3.93732163	0.00000011	0.92	82	L17885
3d^2(^1S)4s	a ^2S	^1/_2	2.0	3.9412015	0.0000004		100	L17885
3d^2(^3F)4p	z ^2D°	^5/_2	6.0	3.97066729	0.00000009	1.20	77	L17885
3d^3	d ^2D1	^3/_2	4.0	4.00165030	0.00000020		58	L17885
3d^3	d ^2D1	^5/_2	6.0	4.00876907	0.00000012		57	L17885
3d^2(^3F)4p	z ^4D°	^1/_2	2.0	4.03349786	0.00000010	0.00	97	L17885
3d^2(^3F)4p	z ^4D°	^3/_2	4.0	4.04221051	0.00000007	1.20	94	L17885
3d^2(^3F)4p	z ^4D°	^5/_2	6.0	4.05404799	0.00000007	1.37	90	L17885
3d^2(^3F)4p	z ^4D°	^7/_2	8.0	4.06261454	0.00000012		96	L17885
3d^2(^3F)4p	z ^2G°	^7/_2	8.0	4.28283327	0.00000010		95	L17885
