Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d	^2D	^3/_2	4.0	0.00000	0	L7185		L7185
3p^63d	^2D	^5/_2	6.0	0.04737				
3p^64s	^2S	^1/_2	2.0	9.966956				
3p^64p	^2P°	^1/_2	2.0	15.860227				
3p^64p	^2P°	^3/_2	4.0	15.961675				
3p^64d	^2D	^3/_2	4.0	24.400620				
3p^64d	^2D	^5/_2	6.0	24.411244				
3p^65s	^2S	^1/_2	2.0	26.335154				
3p^65p	^2P°	^1/_2	2.0	28.591858				
3p^65p	^2P°	^3/_2	4.0	28.630974				
3p^64f	^2F°	^5/_2	6.0	29.277045				
3p^64f	^2F°	^7/_2	8.0	29.277914				
3p^65d	^2D	^3/_2	4.0	32.091881				
3p^65d	^2D	^5/_2	6.0	32.096667				
3p^66s	^2S	^1/_2	2.0	32.960879				
3p^66p	^2P°	^1/_2	2.0	34.061719				
3p^53d^2	^2F°	^5/_2	6.0	34.075795				
3p^66p	^2P°	^3/_2	4.0	34.080926				
3p^65f	^2F°	^5/_2	6.0	34.200670				
3p^65f	^2F°	^7/_2	8.0	34.202522				
3p^65g	^2G	^7/_2	8.0	34.530917				
3p^65g	^2G	^9/_2	10.0	34.530992				
3p^66d	^2D	^3/_2	4.0	35.854493				
3p^66d	^2D	^5/_2	6.0	35.857089				
3p^67s	^2S	^1/_2	2.0	36.327313				
3p^66g	^2G	^7/_2	8.0	37.20095				
3p^66g	^2G	^9/_2	10.0	37.20099				
3p^66h	^2H°	^9/_2	10.0	37.214943				
3p^66h	^2H°	^11/_2	12.0	37.214943				
3p^67d	^2D	^3/_2	4.0	37.988224				
3p^67d	^2D	^5/_2	6.0	37.989787				
3p^67g	^2G	^7/_2	8.0	38.81126				
3p^67g	^2G	^9/_2	10.0	38.81128				
3p^67h	^2H°	^9/_2	10.0	38.820782				
3p^67h	^2H°	^11/_2	12.0	38.820782				
3p^67i	^2I	^11/_2	12.0	38.823254				
3p^67i	^2I	^13/_2	14.0	38.823254				
3p^68i	^2I	^11/_2	12.0	39.86480				
3p^68i	^2I	^13/_2	14.0	39.86480				
