Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^24s^2	a ^3F	2	5.0	0.00000000	0.00000025	0.666	100	L17885
3d^24s^2	a ^3F	3	7.0	0.02109378	0.00000024	1.083	100	L17885
3d^24s^2	a ^3F	4	9.0	0.04796626	0.00000025	1.250	100	L17885
3d^3(^4F)4s	a ^5F	1	3.0	0.8129437	0.0000004	0.00	100	L17885
3d^3(^4F)4s	a ^5F	2	5.0	0.8181426	0.0000004	0.99	100	L17885
3d^3(^4F)4s	a ^5F	3	7.0	0.82585949	0.00000025	1.25	100	L17885
3d^3(^4F)4s	a ^5F	4	9.0	0.83599520	0.00000025	1.35	100	L17885
3d^3(^4F)4s	a ^5F	5	11.0	0.8484192	0.0000004	1.41	100	L17885
3d^24s^2	a ^1D	2	5.0	0.8995494	0.0000004	1.02	96	L17885
3d^24s^2	a ^3P	0	1.0	1.0460073	0.0000005		92	L17885
3d^24s^2	a ^3P	1	3.0	1.05292613	0.00000025	1.50	92	L17885
3d^24s^2	a ^3P	2	5.0	1.06655474	0.00000024	1.49	90	L17885
3d^3(^4F)4s	b ^3F	2	5.0	1.42975614	0.00000025	0.67	100	L17885
3d^3(^4F)4s	b ^3F	3	7.0	1.44315262	0.00000024	1.08	100	L17885
3d^3(^4F)4s	b ^3F	4	9.0	1.46013860	0.00000025	1.26	98	L17885
3d^24s^2	a ^1G	4	9.0	1.5024892	0.0000004	0.98	90	L17885
3d^3(^4P)4s	a ^5P	1	3.0	1.7335189	0.0000004	2.50	100	L17885
3d^3(^4P)4s	a ^5P	2	5.0	1.7393044	0.0000004	1.82	100	L17885
3d^3(^4P)4s	a ^5P	3	7.0	1.7488757	0.0000004	1.66	100	L17885
3d^3(^2G)4s	a ^3G	3	7.0	1.87316703	0.00000025	0.74	100	L17885
3d^3(^2G)4s	a ^3G	4	9.0	1.87920395	0.00000025	1.06	100	L17885
3d^3(^2G)4s	a ^3G	5	11.0	1.8870882	0.0000004	1.21	100	L17885
3d^2(^3F)4s4p(^3P°)	z ^5G°	2	5.0	1.9685072	0.0000004	0.336	100	L17885
3d^2(^3F)4s4p(^3P°)	z ^5G°	3	7.0	1.9807258	0.0000004	0.921	100	L17885
3d^2(^3F)4s4p(^3P°)	z ^5G°	4	9.0	1.9968989	0.0000004	1.152	100	L17885
3d^2(^3F)4s4p(^3P°)	z ^5G°	5	11.0	2.0169105	0.0000004	1.258	100	L17885
3d^2(^3F)4s4p(^3P°)	z ^5G°	6	13.0	2.0406151	0.0000005	1.333	100	L17885
3d^2(^3F)4s4p(^3P°)	z ^5F°	1	3.0	2.0850621	0.0000004	0.001	96	L17885
3d^2(^3F)4s4p(^3P°)	z ^5F°	2	5.0	2.0922487	0.0000004	1.001	95	L17885
3d^2(^3F)4s4p(^3P°)	z ^5F°	3	7.0	2.1029508	0.0000004	1.251	97	L17885
3d^2(^3F)4s4p(^3P°)	z ^5F°	4	9.0	2.1170622	0.0000004	1.346	98	L17885
3d^2(^3F)4s4p(^3P°)	z ^5F°	5	11.0	2.1344363	0.0000004	1.401	99	L17885
3d^3(^2D2)4s	a ^3D	1	3.0	2.1535471	0.0000004	0.49	67	L17885
3d^3(^2D2)4s	a ^3D	2	5.0	2.16028282	0.00000025	1.17	67	L17885
3d^3(^2D2)4s	a ^3D	3	7.0	2.17470615	0.00000025	1.34	67	L17885
3d^3(^2P)4s	b ^3P	0	1.0	2.2311560	0.0000005		86	L17885
3d^3(^2H)4s	a ^3H	4	9.0	2.2363294	0.0000004	0.80	52	L17885
3d^3(^2P)4s	b ^3P	1	3.0	2.23932659	0.00000025		87	L17885
3d^3(^2H)4s	a ^3H	5	11.0	2.2492302	0.0000005	1.02	100	L17885
3d^3(^2P)4s	b ^3P	2	5.0	2.24972874	0.00000025		87	L17885
3d^3(^2H)4s	a ^3H	6	13.0	2.2555912	0.0000005	1.17	100	L17885
3d^3(^2G)4s	b ^1G	4	9.0	2.2673677	0.0000004	1.02	48	L17885
3d^2(^3F)4s4p(^3P°)	z ^5D°	0	1.0	2.2890858	0.0000009		95	L17885
