Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^13	^2F°	^7/_2	8.0	0.000000	0			L3974
4f^13	^2F°	^5/_2	6.0	1.087840				
4f^12(^3H_6)5d_3/2	(6,^3/_2)	^9/_2	10.0	2.838924			84 | or	
4f^12(^3H_6)6s_1/2	(6,^1/_2)	^13/_2	14.0	3.137129			99 | or	
4f^12(^3H_6)5d_3/2	(6,^3/_2)	^15/_2	16.0	3.208567			96 | or	
4f^12(^3H_6)6s_1/2	(6,^1/_2)	^11/_2	12.0	3.213767			94 | or	
4f^12(^3H_6)5d_3/2	(6,^3/_2)	^11/_2	12.0	3.254883			72 | or	
4f^12(^3H_6)5d_5/2	(6,^5/_2)	^7/_2	8.0	3.415424			53 | or	
4f^12(^3H_6)5d_5/2	(6,^5/_2)	^17/_2	18.0	3.416754			92 | or	
4f^12(^3H_6)5d_3/2	(6,^3/_2)	^13/_2	14.0	3.560934			92 | or	
4f^12(^3H_6)5d_5/2	(6,^5/_2)	^11/_2	12.0	3.785528			61 | or	
4f^12(^3H_6)5d_5/2	(6,^5/_2)	^9/_2	10.0	3.785943			60 | or	
4f^12(^3H_6)5d_5/2	(6,^5/_2)	^15/_2	16.0	3.801973			96 | or	
4f^12(^3F_4)6s_1/2	(4,^1/_2)	^9/_2	10.0	3.848162			63 | or	
4f^12(^3H_6)5d_5/2	(6,^5/_2)	^13/_2	14.0	3.883614			72 | or	
4f^12(^3F_4)6s_1/2	(4,^1/_2)	^7/_2	8.0	3.889209			58 | or	
4f^12(^3F_4)5d_3/2	(4,^3/_2)	^5/_2	6.0	3.914243			44 | or	
4f^12(^3F_4)5d_3/2	(4,^3/_2)	^7/_2	8.0	4.000087			47 | or	
4f^12(^3F_4)5d_3/2	(4,^3/_2)	^9/_2	10.0	4.066394			52 | or	
4f^12(^3F_4)5d_3/2	(4,^3/_2)	^11/_2	12.0	4.120754			30 | or	
4f^12(^3H_5)5d_5/2	(5,^5/_2)	^5/_2	6.0	4.166539			42 | or	
4f^12(^3H_5)5d_3/2	(5,^3/_2)	^7/_2	8.0	4.169673			55 | or	
4f^12(^3H_5)6s_1/2	(5,^1/_2)	^11/_2	12.0	4.191013			95 | or	
4f^12(^3H_5)6s_1/2	(5,^1/_2)	^9/_2	10.0	4.194622			99 | or	
4f^12(^3H_5)5d_3/2	(5,^3/_2)	^13/_2	14.0	4.230862			86 | or	
4f^12(^3F_4)5d_5/2	(4,^5/_2)	^11/_2	12.0	4.317977			56 | or	
4f^12(^3F_4)5d_5/2	(4,^5/_2)	^9/_2	10.0	4.432578			57 | or	
4f^12(^3F_4)5d_5/2		^13/_2	14.0	4.509196			33 | (4,^5/_2) | or	
4f^12(^3F_4)5d_3/2		^5/_2	6.0	4.512001			23 | (4,^3/_2) | or	
4f^12(^3H_5)5d_5/2	(5,^5/_2)	^7/_2	8.0	4.513766			41 | or	
4f^12(^3H_5)5d_5/2	(5,^5/_2)	^15/_2	16.0	4.521262			99 | or	
4f^12(^3H_5)5d_3/2	(5,^3/_2)	^11/_2	12.0	4.563873			85 | or	
4f^12(^3H_5)5d_3/2	(5,^3/_2)	^9/_2	10.0	4.590996			65 | or	
4f^12(^3H_5)5d_5/2		^7/_2	8.0	4.633032			30 | (5,^5/_2) | or	
4f^12(^3H_4)6s_1/2		^9/_2	10.0	4.711816			36 | (4,^1/_2)	
4f^12(^3H_4)6s_1/2	(4,^1/_2)	^7/_2	8.0	4.718284			58 | or	
4f^12(^3F_4)5d_5/2		^3/_2	4.0	4.733141			35 | (4,^5/_2) | or	
4f^12(^3H_5)5d_5/2	(5,^5/_2)	^9/_2	10.0	4.787070			43	
4f^12(^3H_4)5d_3/2	(4,^3/_2)	^11/_2	12.0	4.853051			51 | or	
4f^12(^3H_5)5d_5/2		^5/_2	6.0	4.869922			25 | (5,^5/_2) | or	
4f^12(^3H_5)5d_5/2	(5,^5/_2)	^13/_2	14.0	4.896920			90 | or	
4f^12(^3H_5)5d_5/2	(5,^5/_2)	^11/_2	12.0	4.910299			79 | or	
4f^12(^3F_3)6s_1/2	(3,^1/_2)	^5/_2	6.0	4.944815			79 | or	
4f^12(^3F_3)6s_1/2	(3,^1/_2)	^7/_2	8.0	4.951273			94	
4f^12(^3F_3)5d_3/2	(3,^3/_2)	^7/_2	8.0	4.968119			48 | or	
4f^12(^3H_4)5d_3/2	(4,^3/_2)	^9/_2	10.0	5.009073			50	
4f^12(^3F_2)6s_1/2	(2,^1/_2)	^3/_2	4.0	5.009407			78 | or	
4f^12(^3F_2)6s_1/2		^5/_2	6.0	5.052874			38 | (2,^1/_2)	
4f^12(^3F_2)5d_3/2		^7/_2	8.0	5.112288			22 | (2,^3/_2) | or	
4f^12(^3F_3)5d_3/2		^3/_2	4.0	5.157205			30 | (3,^3/_2) | or	
4f^12(^3H_4)5d_5/2	(4,^5/_2)	^13/_2	14.0	5.190515			55 | or	
4f^12(^3F_3)5d_3/2		^9/_2	10.0	5.290396			36 | (3,^3/_2) | or	
4f^12(^3F_3)5d_3/2		^5/_2	6.0	5.320791			39 | (3,^3/_2) | or	
4f^12(^3H_4)5d_5/2		^11/_2	12.0	5.325490			44 | (4,^5/_2) | or	
4f^12(^3F_3)5d_5/2		^9/_2	10.0	5.334085			33 | (3,^5/_2) | or	
4f^12(^3F_3)5d_5/2	(3,^5/_2)	^7/_2	8.0	5.348616			38 | or	
4f^12(^3F_3)5d_3/2		^3/_2	4.0	5.351230			34 | (3,^3/_2) | or	
4f^12(^3F_3)5d_5/2	(3,^5/_2)	^5/_2	6.0	5.426590			64 | or	
4f^12(^3F_3)5d_5/2	(3,^5/_2)	^9/_2	10.0	5.516775			52 | or	
4f^12(^3F_3)5d_5/2		^7/_2	8.0	5.516848			27 | (3,^5/_2) | or	
4f^12(^3H_4)5d_3/2		^7/_2	8.0	5.670122			26 | (4,^3/_2) | or	
4f^12(^1G_4)5d_5/2		^7/_2	8.0	5.677809			24 | (4,^5/_2) | or	
4f^12(^1G_4)6s_1/2	(4,^1/_2)	^7/_2	8.0	5.800841			55 | or	
4f^12(^1G_4)6s_1/2	(4,^1/_2)	^9/_2	10.0	5.804542			54 | or	
4f^12(^3F_2)5d_5/2	(2,^5/_2)	^9/_2	10.0	5.836003			54 | or	
4f^12(^1G_4)5d_3/2	(4,^3/_2)	^11/_2	12.0	5.902083			55 | or	
4f^12(^3F_2)5d_5/2		^5/_2	6.0	5.904646			43 | (2,^5/_2) | or	
4f^12(^1G_4)5d_3/2	(4,^3/_2)	^9/_2	10.0	6.100852			47	
4f^12(^1G_4)5d_5/2		^7/_2	8.0	6.268961			35 | (4,^5/_2) | or	
4f^12(^1G_4)5d_3/2		^7/_2	8.0	6.332028			33 | (4,^3/_2) | or	
4f^12(^1G_4)5d_5/2	(4,^5/_2)	^9/_2	10.0	6.401827			47 | or	
4f^12(^1D_2)5d_3/2		^5/_2	6.0	6.531450			20 | (2,^3/_2) | or	
4f^12(^3P_2)6s_1/2		^5/_2	6.0	6.641266			41 | (2,^1/_2) | or	
