Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^13(^2F°_7/2)6s_1/2	(^7/_2,^1/_2)°	4	9.0	0.000000	0	1.250	100 | or	L3974
4f^13(^2F°_7/2)6s_1/2	(^7/_2,^1/_2)°	3	7.0	0.029378		1.035	or	
4f^13(^2F°_5/2)6s_1/2	(^5/_2,^1/_2)°	2	5.0	1.087302		0.667	100 | or	
4f^13(^2F°_5/2)6s_1/2	(^5/_2,^1/_2)°	3	7.0	1.110585		1.055	or	
4f^12(^3H)6s^2	^3H	6	13.0	1.544507		1.165	96	
4f^12(^3H_6)5d6s(^3D_1)	(6,1)	5	11.0	2.054104		1.374	64	
4f^13(^2F°_7/2)5d_3/2	(^7/_2,^3/_2)°	2	5.0	2.185178		1.48	75 | or	
4f^12(^3F)6s^2	^3F	4	9.0	2.228529		1.175		
4f^12(^3H_6)5d6s(^3D_2)	(6,2)	4	9.0	2.267841		1.25	64	
4f^12(^3H_6)5d6s(^3D_2)	(6,2)	6	13.0	2.421017		1.313	44	
4f^12(^3H_6)5d6s(^3D_1)	(6,1)	7	15.0	2.432456		1.02	86	
4f^12(^3H_6)5d6s(^3D_2)	(6,2)	8	17.0	2.440377		1.09	91	
4f^13(^2F°_7/2)5d_3/2	(^7/_2,^3/_2)°	5	11.0	2.508045		1.020	95 | or	
4f^12(^3H_6)5d6s(^3D_3)	(6,3)	9	19.0	2.537438		1.225	100	
4f^12(^3H)6s^2	^3H	5	11.0	2.556436				
4f^125d6s		5	11.0	2.606393		1.178	88	
4f^13(^2F°_7/2)5d_5/2	(^7/_2,^5/_2)°	6	13.0	2.620242		1.167	100 | or	
4f^12(^3H_6)5d6s(^3D_3)	(6,3)	3	7.0	2.679083		1.10	69	
4f^13(^2F°_7/2)5d_3/2	(^7/_2,^3/_2)°	3	7.0	2.692161		1.22	84 | or	
4f^13(^2F°_7/2)5d_5/2	(^7/_2,^5/_2)°	2	5.0	2.725020		1.02	76 | or	
