Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^13(^2F°)6s^2	^2F°	^7/_2	8.0	0.0000000	0	1.14119		L3974
4f^13(^2F°)6s^2	^2F°	^5/_2	6.0	1.0874955		0.855		
4f^12(^3H_6)5d_3/26s^2	(6,^3/_2)	^9/_2	10.0	1.6266243		1.305	86	
4f^12(^3H_6)5d_3/26s^2	(6,^3/_2)	^15/_2	16.0	1.8933629		1.08	96	
4f^12(^3H_6)5d_3/26s^2	(6,^3/_2)	^11/_2	12.0	1.9326423		1.255	76	
4f^12(^3H_6)5d_5/26s^2	(6,^5/_2)	^17/_2	18.0	2.0403972		1.175	99	
4f^13(^2F°_7/2)6s6p(^3P°_0)	(^7/_2,0)	^7/_2	8.0	2.0757728		1.325	78	
4f^12(^3H_6)5d_5/26s^2	(6,^5/_2)	^7/_2	8.0	2.1024008		1.1722	70	
4f^13(^2F°_7/2)6s6p(^3P°_1)	(^7/_2,1)	^7/_2	8.0	2.1503043		1.02153	77	
4f^12(^3H_6)5d_3/26s^2	(6,^3/_2)	^13/_2	14.0	2.1641216		1.15	95	
4f^13(^2F°_7/2)6s6p(^3P°_1)	(^7/_2,1)	^9/_2	10.0	2.1838154		1.18598	94	
4f^13(^2F°_7/2)6s6p(^3P°_1)	(^7/_2,1)	^5/_2	6.0	2.2010461		1.186	88	
4f^12(^3H_6)5d_5/26s^2	(6,^5/_2)	^15/_2	16.0	2.3176458		1.18	97	
4f^12(^3H_6)5d_5/26s^2	(6,^5/_2)	^9/_2	10.0	2.3355381		1.1318	76	
4f^12(^3H_6)5d_5/26s^2	(6,^5/_2)	^11/_2	12.0	2.3375761		1.15	48	
4f^13(^2F°_7/2)6s6p(^3P°_2)	(^7/_2,2)	^11/_2	12.0	2.3545103		1.215	68	
4f^13(^2F°_7/2)6s6p(^3P°_2)	(^7/_2,2)	^3/_2	4.0	2.3720961		0.88	99	
4f^12(^3H_6)5d_5/26s^2	(6,^5/_2)	^13/_2	14.0	2.4135586		1.15	85	
4f^13(^2F°_7/2)6s6p(^3P°_2)	(^7/_2,2)	^5/_2	6.0	2.4237465		0.983	90	
4f^13(^2F°_7/2)6s6p(^3P°_2)	(^7/_2,2)	^9/_2	10.0	2.4485073		1.29	97	
4f^13(^2F°_7/2)6s6p(^3P°_2)	(^7/_2,2)	^7/_2	8.0	2.4491628		1.1839	95	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^3/_2]°	^5/_2	6.0	2.5301257		1.58	97	
4f^12(^3F_4)5d_3/26s^2	(4,^3/_2)	^7/_2	8.0	2.6186499		1.17372	54	
4f^12(^3F_4)5d_3/26s^2	(4,^3/_2)	^5/_2	6.0	2.6236793		1.14	49	
4f^12(^3F_4)5d_3/26s^2	(4,^3/_2)	^9/_2	10.0	2.6951295		1.1210	61	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^3/_2]°	^3/_2	4.0	2.7027787		1.45	72	
4f^12(^3F_4)5d_3/26s^2	(4,^3/_2)	^11/_2	12.0	2.7273391		1.06	40	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^11/_2]°	^9/_2	10.0	2.7796965		0.934	98	
4f^12(^3H_6)6s^26p_1/2	(6,^1/_2)°	^11/_2	12.0	2.7856827		1.21	74	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^11/_2]°	^11/_2	12.0	2.7970218		1.15	79	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^11/_2]°	^13/_2	14.0	2.8197450		1.198	90	
4f^12(^3H_5)5d_3/26s^2	(5,^3/_2)	^7/_2	8.0	2.8257457		1.1427	75	
4f^12(^3H_6)6s^26p_1/2	(6,^1/_2)°	^13/_2	14.0	2.8395019		1.138	88	
4f^12(^3H_5)5d_5/26s^2		^5/_2	6.0	2.8429226		1.152	27 | (5,^5/_2)	
4f^12(^3F_4)5d_5/26s^2	(4,^5/_2)	^11/_2	12.0	2.8900691		1.11	56	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^5/_2]°	^7/_2	8.0	2.8931850		1.362	79	
4f^12(^3H_5)5d_3/26s^2	(5,^3/_2)	^13/_2	14.0	2.8980911		0.98	87	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^5/_2]°	^5/_2	6.0	2.9051784		1.22	82	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^5/_2]°	^3/_2	4.0	2.9228549		0.83	94	
4f^12(^3F_4)5d_5/26s^2	(4,^5/_2)	^9/_2	10.0	2.9485548		1.1499	49	
4f^12(^3F_4)5d_5/26s^2		^7/_2	8.0	2.9599004		1.135	37 | (4,^5/_2)	
4f^12(^3F_4)5d_5/26s^2		^3/_2	4.0	2.961041			37 | (4,^5/_2)	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^7/_2]°	^9/_2	10.0	2.9683145		1.29	82	
4f^12(^3F_4)5d_5/26s^2		^13/_2	14.0	2.9926309		1.128	43 | (4,^5/_2)	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^3/_2]°	^1/_2	2.0	2.995536		1.010	93	
4f^13(^2F°_7/2)5d6s(^3D)	^3[^9/_2]°	^7/_2	8.0	3.0061736		1.02	55	
4f^12(^3H_5)5d_3/26s^2	(5,^3/_2)	^9/_2	10.0	3.0188531		1.12	44	
4f^13(^2F°_7/2)6s6p(^1P°_1)	(^7/_2,1)	^5/_2	6.0	3.0274484		1.06	50	
