Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^3	a ^4F	^3/_2	4.0	0.00000	0		100	L7185
3d^3	a ^4F	^5/_2	6.0	0.01804			100	
3d^3	a ^4F	^7/_2	8.0	0.04234			100	
3d^3	a ^4F	^9/_2	10.0	0.07238			100	
3d^3	a ^4P	^1/_2	2.0	1.42753			100	
3d^3	a ^4P	^3/_2	4.0	1.43720			99	
3d^3	a ^4P	^5/_2	6.0	1.45926			100	
3d^3	a ^2G	^7/_2	8.0	1.48363			100	
3d^3	a ^2G	^9/_2	10.0	1.51100			100	
3d^3	a ^2P	^3/_2	4.0	1.92799			67	
3d^3	a ^2P	^1/_2	2.0	1.93165			100	
3d^3	a ^2D2	^3/_2	4.0	2.02472			52	
3d^3	a ^2D2	^5/_2	6.0	2.03020			77	
3d^3	a ^2H	^9/_2	10.0	2.08429			100	
3d^3	a ^2H	^11/_2	12.0	2.10495			100	
3d^3	a ^2F	^7/_2	8.0	3.43781			100	
3d^3	a ^2F	^5/_2	6.0	3.45256			100	
3d^3	b ^2D1	^5/_2	6.0	5.24049			77	
3d^3	b ^2D1	^3/_2	4.0	5.25336			77	
3d^2(^3F)4s	b ^4F	^3/_2	4.0	5.448174				
3d^2(^3F)4s	b ^4F	^5/_2	6.0	5.468948				
3d^2(^3F)4s	b ^4F	^7/_2	8.0	5.498181				
3d^2(^3F)4s	b ^4F	^9/_2	10.0	5.535518				
3d^2(^3F)4s	b ^2F	^5/_2	6.0	6.115860				
3d^2(^3F)4s	b ^2F	^7/_2	8.0	6.175069				
3d^2(^1D)4s	c ^2D	^5/_2	6.0	6.963005				
3d^2(^1D)4s	c ^2D	^3/_2	4.0	6.974948				
3d^2(^3P)4s	b ^4P	^1/_2	2.0	7.008740				
3d^2(^3P)4s	b ^4P	^3/_2	4.0	7.026067				
3d^2(^3P)4s	b ^4P	^5/_2	6.0	7.057491				
3d^2(^3P)4s	b ^2P	^1/_2	2.0	7.634791				
3d^2(^3P)4s	b ^2P	^3/_2	4.0	7.659390				
3d^2(^1G)4s	b ^2G	^9/_2	10.0	7.848587				
3d^2(^1G)4s	b ^2G	^7/_2	8.0	7.850066				
3d^2(^3F)4p	z ^4G°	^5/_2	6.0	10.603625			98	
3d^2(^3F)4p	z ^4G°	^7/_2	8.0	10.647235			99	
3d^2(^1S)4s	a ^2S	^1/_2	2.0	10.70033				
3d^2(^3F)4p	z ^4G°	^9/_2	10.0	10.700630			100	
3d^2(^3F)4p	z ^4F°	^3/_2	4.0	10.751518			98	
3d^2(^3F)4p	z ^4G°	^11/_2	12.0	10.762993			100	
3d^2(^3F)4p	z ^4F°	^5/_2	6.0	10.778939			99	
