Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^4	a ^5D	0	1.0	0.0000000	0.0000004		100	L20009
3d^4	a ^5D	1	3.0	0.00447604	0.00000015		100	L20009
3d^4	a ^5D	2	5.0	0.01322194	0.00000012		100	L20009
3d^4	a ^5D	3	7.0	0.02588667	0.00000010		100	L20009
3d^4	a ^5D	4	9.0	0.04204622	0.00000016		100	L20009
3d^3(^4F)4s	a ^5F	1	3.0	0.32298380	0.00000015		100	L20009
3d^3(^4F)4s	a ^5F	2	5.0	0.33317145	0.00000011	0.97	100	L20009,L8201
3d^3(^4F)4s	a ^5F	3	7.0	0.34826653	0.00000010	1.20	100	L20009,L8201
3d^3(^4F)4s	a ^5F	4	9.0	0.36803324	0.00000012	1.30?	100	L20009,L8201
3d^3(^4F)4s	a ^5F	5	11.0	0.3921580	0.0000003	1.28?	100	L20009,L8201
3d^3(^4F)4s	a ^3F	2	5.0	1.07126862	0.00000012	0.65	93	L20009,L8201
3d^3(^4F)4s	a ^3F	3	7.0	1.09627457	0.00000007	1.04	93	L20009,L8201
3d^3(^4F)4s	a ^3F	4	9.0	1.12799449	0.00000010	1.22	92	L20009,L8201
3d^4	a ^3P2	0	1.0	1.4004649	0.0000004		54	L20009
3d^4	a ^3P2	1	3.0	1.42765133	0.00000017	1.48	54	L20009,L8201
3d^4	a ^3P2	2	5.0	1.47643598	0.00000017	1.49	54	L20009,L8201
3d^4	a ^3H	4	9.0	1.55539447	0.00000015	0.83?	98	L20009,L8201
3d^4	a ^3H	5	11.0	1.56486479	0.00000016	1.02	98	L20009,L8201
3d^4	a ^3H	6	13.0	1.57535312	0.00000014	1.27?	99	L20009,L8201
3d^4	b ^3F2	2	5.0	1.67265648	0.00000014	0.59	68	L20009,L8201
3d^3(^4P)4s	a ^5P	1	3.0	1.67524961	0.00000024	2.39	100	L20009,L8201
3d^4	b ^3F2	3	7.0	1.67907412	0.00000016	1.06	68	L20009,L8201
3d^3(^4P)4s	a ^5P	2	5.0	1.6855312	0.0000004	1.78	99	L20009,L8201
3d^4	b ^3F2	4	9.0	1.68729343	0.00000011	1.19	67	L20009,L8201
3d^3(^4P)4s	a ^5P	3	7.0	1.7037461	0.0000003	1.62	100	L20009,L8201
3d^4	a ^3G	3	7.0	1.79302842	0.00000019	0.74	60	L20009,L8201
3d^4	a ^3G	4	9.0	1.80472253	0.00000012	1.00	60	L20009,L8201
