Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3p^63d^2	^3F	2	5.0	0.00000	0			L7185
3p^63d^2	^3F	3	7.0	0.04034				
3p^63d^2	^3F	4	9.0	0.09109				
3p^63d^2	^1D	2	5.0	1.35878				
3p^63d^2	^3P	0	1.0	1.62702				
3p^63d^2	^3P	1	3.0	1.64145				
3p^63d^2	^3P	2	5.0	1.66862				
3p^63d^2	^1G	4	9.0	2.28022				
3p^63d^2	^1S	0	1.0	5.26463				
3p^63d4s	^3D	1	3.0	11.92680				
3p^63d4s	^3D	2	5.0	11.95358				
3p^63d4s	^3D	3	7.0	12.00142				
3p^63d4s	^1D	2	5.0	12.42330				
3p^63d4p	^1D°	2	5.0	17.88758			96	
3p^63d4p	^3D°	1	3.0	18.11629			99	
3p^63d4p	^3D°	2	5.0	18.15492			95	
3p^63d4p	^3D°	3	7.0	18.20771			93	
3p^63d4p	^3F°	2	5.0	18.24244			94	
3p^63d4p	^3F°	3	7.0	18.30707			94	
3p^63d4p	^3F°	4	9.0	18.39544			100	
3p^63d4p	^3P°	1	3.0	18.77456			98	
3p^63d4p	^3P°	0	1.0	18.77730			100	
3p^63d4p	^3P°	2	5.0	18.79195			99	
3p^63d4p	^1F°	3	7.0	19.08349			99	
3p^63d4p	^1P°	1	3.0	19.28766			98	
3p^63d4d	^1F	3	7.0	26.77534			97	
3p^63d4d	^3D	1	3.0	26.89279			94	
3p^63d4d	^3D	2	5.0	26.91796			100	
3p^63d4d	^3D	3	7.0	26.94797			98	
3p^63d4d	^3G	3	7.0	27.00826			99	
3p^63d4d	^1P	1	3.0	27.02740			93	
3p^63d4d	^3G	4	9.0	27.04095			100	
3p^63d4d	^3G	5	11.0	27.08603			100	
3p^63d4d	^3S	1	3.0	27.31911			99	
3p^63d4d	^3F	2	5.0	27.62301			99	
3p^63d4d	^3F	3	7.0	27.65257			100	
3p^63d4d	^3F	4	9.0	27.68624			100	
3p^63d4d	^1D	2	5.0	27.99614			95	
3p^63d4d	^3P	0	1.0	28.08510			100	
3p^63d4d	^3P	1	3.0	28.09694			100	
3p^63d4d	^3P	2	5.0	28.11916			96	
3p^63d4d	^1G	4	9.0	28.23275			100	
3p^63d4d	^1S	0	1.0	29.02740			100	
3p^63d5s	^3D	1	3.0	29.27869			100	
3p^63d5s	^3D	2	5.0	29.30024			94	
3p^63d5s	^3D	3	7.0	29.35535			100	
3p^63d5s	^1D	2	5.0	29.46346			94	
3p^63d5p	^1D°	2	5.0	31.55011			85	
3p^63d5p	^3D°	1	3.0	31.59416			99	
3p^63d5p	^3D°	2	5.0	31.63417			88	
3p^63d5p	^3D°	3	7.0	31.67121			99	
3p^63d5p	^3F°	2	5.0	31.67341			88	
3p^63d5p	^3F°	3	7.0	31.70866			99	
3p^63d5p	^3F°	4	9.0	31.77116			100	
3p^63d5p	^3P°	0	1.0	31.83169			100	
3p^63d5p	^3P°	1	3.0	31.83689			94	
3p^63d5p	^3P°	2	5.0	31.88169			99	
3p^63d5p	^1F°	3	7.0	31.94959			99	
3p^63d5p	^1P°	1	3.0	32.02373			93	
3p^63d4f	^1G°	4	9.0	32.62166			82	
3p^63d4f	^3F°	2	5.0	32.68137			88	
3p^63d4f	^3F°	3	7.0	32.68326			53	
3p^63d4f	^3G°	4	9.0	32.70981			39 | ^3G°	
3p^63d4f	^3G°	3	7.0	32.71972			49	
3p^63d4f	^3F°	4	9.0	32.74585			53	
3p^63d4f	^3G°	5	11.0	32.75189			67	
3p^63d4f	^3H°	4	9.0	32.78166			48	
3p^63d4f	^1D°	2	5.0	32.79169			87	
3p^63d4f	^3H°	5	11.0	32.80521			66	
3p^63d4f	^3H°	6	13.0	32.83668			100	
3p^63d4f	^1F°	3	7.0	32.84369			60	
3p^63d4f	^3D°	1	3.0	32.85826			96	
3p^63d4f	^3D°	2	5.0	32.86417			90	
3p^63d4f	^3D°	3	7.0	32.88949			67	
3p^63d4f	^3P°	2	5.0	32.96482			94	
3p^63d4f	^1H°	5	11.0	33.05422			98	
3p^63d5d	^1F	3	7.0	35.14449			89	
3p^63d5d	^3D	1	3.0	35.17713			84	
3p^63d5d	^3D	2	5.0	35.20412			99	
3p^63d5d	^3G	3	7.0	35.22405			83	
3p^63d5d	^3D	3	7.0	35.23962			78	
3p^63d5d	^3G	4	9.0	35.25368			99	
3p^63d5d	^1P	1	3.0	35.25685?			80	
3p^63d5d	^3G	5	11.0	35.29821			100	
3p^63d5d	^3S	1	3.0	35.37252			95	
3p^63d5d	^3F	2	5.0	35.43455			97	
3p^63d5d	^3F	3	7.0	35.46654			98	
3p^63d5d	^3F	4	9.0	35.49500			99	
3p^63d5d	^1D	2	5.0	35.61092			83	
3p^63d5d	^3P	2	5.0	35.67439			86	
3p^63d5d	^1G	4	9.0	35.72327			99	
3p^63d6s	^3D	1	3.0	36.17809			100	
3p^63d6s	^3D	2	5.0	36.19323			85	
3p^63d6s	^3D	3	7.0	36.25516			100	
3p^63d6s	^1D	2	5.0	36.29844			84	
3p^63d(^2D_3/2)5g	^2[^7/_2]	3	7.0	37.97922			98	
3p^63d(^2D_3/2)5g	^2[^7/_2]	4	9.0	37.97979			98	
3p^63d(^2D_5/2)5g	^2[^9/_2]	5	11.0	38.04715			100	
3p^63d(^2D_5/2)5g	^2[^9/_2]	4	9.0	38.04781			100	
