Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
3d^34s^2	a ^4F	^3/_2	4.0	0.00000000	0.00000025	0.39848	92	L20010,L193
3d^34s^2	a ^4F	^5/_2	6.0	0.01703332	0.00000017	1.02839	94	L15916,L20010,L193
3d^34s^2	a ^4F	^7/_2	8.0	0.04010046	0.00000016	1.23821	92	L15916,L20010,L193
3d^34s^2	a ^4F	^9/_2	10.0	0.06855768	0.00000025	1.33360	94	L15916,L20010,L193
3d^4(^5D)4s	a ^6D	^1/_2	2.0	0.26188959	0.00000025	3.33847	98	L15916,L20010,L193
3d^4(^5D)4s	a ^6D	^3/_2	4.0	0.26696538	0.00000025	1.86829	98	L15916,L20010,L193
3d^4(^5D)4s	a ^6D	^5/_2	6.0	0.27526426	0.00000025	1.65831	10	L15916,L20010,L193
3d^4(^5D)4s	a ^6D	^7/_2	8.0	0.28657323	0.00000025	1.58833	10	L15916,L20010,L193
3d^4(^5D)4s	a ^6D	^9/_2	10.0	0.30063800	0.00000025	1.55647	98	L15916,L20010,L193
3d^4(^5D)4s	a ^4D	^1/_2	2.0	1.04308018	0.00000025	0.00	94	L15916,L20010,L14162
3d^4(^5D)4s	a ^4D	^3/_2	4.0	1.05091908	0.00000016	1.19	94	L15916,L20010,L14162
3d^4(^5D)4s	a ^4D	^5/_2	6.0	1.06360365	0.00000017	1.35	94	L15916,L20010,L14162
3d^4(^5D)4s	a ^4D	^7/_2	8.0	1.08061491	0.00000025	1.39	94	L15916,L20010,L14162
3d^34s^2	a ^4P	^1/_2	2.0	1.18338392	0.00000025	2.59	77	L15916,L20010,L14162
3d^34s^2	a ^4P	^3/_2	4.0	1.19484056	0.00000025	1.70	76	L15916,L20010,L14162
3d^34s^2	a ^4P	^5/_2	6.0	1.21809838	0.00000025	1.55	79	L15916,L20010,L14162
3d^34s^2	a ^2G	^7/_2	8.0	1.3505004	0.0000004	0.88	92	L15916,L20010,L14162
3d^34s^2	a ^2G	^9/_2	10.0	1.37629850	0.00000025	1.13	90	L15916,L20010,L14162
3d^34s^2	a ^2P	^3/_2	4.0	1.7111742	0.0000006	1.20	58	L15916,L20010,L14162
3d^34s^2	a ^2P	^1/_2	2.0	1.7123346	0.0000004	0.64	79	L15916,L20010,L14162
3d^34s^2	^2D2	^3/_2	4.0	1.7996004	0.0000005	0.97	63	L15916,L20010,L14162
3d^34s^2	^2D2	^5/_2	6.0	1.8038233	0.0000004	1.17	86	L15916,L20010,L14162
3d^4(^3H)4s	a ^4H	^7/_2	8.0	1.84859919	0.00000025	0.65	96	L15916,L20010,L14162
